"ResponseId","sam_R1","sam_R2","sam_R3","sam_R4","sam_M1","sam_scenario","sam_condition","sam_diagnostic12","sam_R_tot","robin_R1","robin_R2","robin_R3","robin_R4","robin_M1","robin_scenario","robin_condition","robin_diagnostic12","robin_R_tot","francis_R1","francis_R2","francis_R3","francis_R4","francis_M1","francis_scenario","francis_condition","francis_diagnostic12","francis_R_tot","alex_R1","alex_R2","alex_R3","alex_R4","alex_M1","alex_scenario","alex_condition","alex_diagnostic12","alex_R_tot","age","gender","Sample","attn_chk_1Q","attn_chk_2_Q"
"R_2tzLH1WngFBOXtB",6,5,4,5,50,"sam","non-diagnostic","ND1",5,7,6,6,6,92,"robin","diagnostic","NA",6.25,6,5,4,4,51,"francis","diagnostic","NA",4.75,6,6,4,5,71,"alex","non-diagnostic","ND2",5.25,42,2,"student",2,2
"R_z1gLupG5xXMzDzj",7,7,7,7,100,"sam","non-diagnostic","ND1",7,6,7,6,7,96,"robin","non-diagnostic","ND2",6.5,7,7,7,7,90,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","diagnostic","NA",7,19,1,"student",1,5
"R_3r39nxVRYe0ITAy",5,5,5,6,80,"sam","non-diagnostic","ND1",5.25,5,5,4,6,77,"robin","diagnostic","NA",5,6,6,6,6,80,"francis","diagnostic","NA",6,6,6,4,6,80,"alex","non-diagnostic","ND2",5.5,28,1,"student",5,5
"R_aaZhqLYBU2GHiUh",6,6,6,6,70,"sam","non-diagnostic","ND1",6,7,6,6,6,75,"robin","diagnostic","NA",6.25,6,6,6,6,60,"francis","diagnostic","NA",6,7,7,7,7,86,"alex","non-diagnostic","ND2",7,18,3,"student",7,5
"R_2SeouOHoDzU13uf",7,7,7,7,90,"sam","non-diagnostic","ND1",7,7,7,7,7,96,"robin","non-diagnostic","ND2",7,7,7,7,7,94,"francis","diagnostic","NA",7,7,7,7,7,96,"alex","diagnostic","NA",7,21,2,"student",7,5
"R_1o0RXJqHqcbv93F",6,7,6,6,85,"sam","non-diagnostic","ND1",6.25,6,7,6,6,88,"robin","non-diagnostic","ND2",6.25,5,4,4,4,50,"francis","diagnostic","NA",4.25,5,5,5,5,62,"alex","diagnostic","NA",5,20,2,"student",7,2
"R_2QXncmGHZCCnipN",7,7,6,7,81,"sam","non-diagnostic","ND1",6.75,7,7,7,7,82,"robin","diagnostic","NA",7,6,6,6,6,82,"francis","diagnostic","NA",6,7,6,6,6,76,"alex","non-diagnostic","ND2",6.25,55,1,"student",1,5
"R_3O2rrh7jsfWyJow",5,6,6,7,85,"sam","non-diagnostic","ND1",6,5,4,5,4,60,"robin","non-diagnostic","ND2",4.5,4,4,3,3,43,"francis","diagnostic","NA",3.5,5,6,5,5,70,"alex","diagnostic","NA",5.25,20,2,"student",7,2
"R_1et42SBx1sj4yeA",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","diagnostic","NA",7,7,7,7,4,90,"francis","diagnostic","NA",6.25,7,7,7,6,83,"alex","non-diagnostic","ND2",6.75,39,1,"student",1,2
"R_1gpYw292iNt5jv6",7,7,7,7,98,"sam","non-diagnostic","ND1",7,7,7,7,7,90,"robin","diagnostic","NA",7,7,7,7,7,79,"francis","diagnostic","NA",7,7,7,7,7,98,"alex","non-diagnostic","ND2",7,21,2,"student",1,2
"R_3sh9EzPrKqqQmTM",5,6,6,5,90,"sam","non-diagnostic","ND1",5.5,7,6,5,7,90,"robin","diagnostic","NA",6.25,5,4,4,4,79,"francis","diagnostic","NA",4.25,6,5,5,5,85,"alex","non-diagnostic","ND2",5.25,19,2,"student",5,2
"R_2OMVvlcv4uRxh9o",7,4,4,7,80,"sam","non-diagnostic","ND1",5.5,7,7,4,7,100,"robin","non-diagnostic","ND2",6.25,4,5,4,4,85,"francis","diagnostic","NA",4.25,6,7,5,7,90,"alex","diagnostic","NA",6.25,37,1,"student",7,2
"R_1PTdT179GB28ynU",6,5,7,7,75,"sam","non-diagnostic","ND1",6.25,7,7,6,7,64,"robin","diagnostic","NA",6.75,5,5,6,6,60,"francis","diagnostic","NA",5.5,6,5,7,7,83,"alex","non-diagnostic","ND2",6.25,22,2,"student",2,2
"R_1gcMMiU9DdsK1l4",6,6,6,6,85,"sam","non-diagnostic","ND1",6,6,6,6,7,85,"robin","diagnostic","NA",6.25,6,6,6,6,85,"francis","diagnostic","NA",6,6,6,6,6,85,"alex","non-diagnostic","ND2",6,21,2,"student",7,5
"R_z6xUg4rrM2Kp841",7,7,7,7,86,"sam","non-diagnostic","ND1",7,7,7,7,7,88,"robin","non-diagnostic","ND2",7,7,7,7,7,89,"francis","diagnostic","NA",7,7,7,7,7,86,"alex","diagnostic","NA",7,22,2,"student",7,2
"R_3Ejtn27sLUVh5zr",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","non-diagnostic","ND2",7,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","diagnostic","NA",7,46,2,"student",6,5
"R_1rkswCOIRUjW9Au",7,7,7,7,97,"sam","non-diagnostic","ND1",7,7,7,7,7,97,"robin","diagnostic","NA",7,7,7,7,7,96,"francis","diagnostic","NA",7,7,7,7,7,99,"alex","non-diagnostic","ND2",7,24,2,"student",7,5
"R_1K0wfRDPz7eiPII",6,6,6,6,82,"sam","non-diagnostic","ND1",6,6,5,5,5,80,"robin","diagnostic","NA",5.25,6,5,5,5,78,"francis","diagnostic","NA",5.25,6,6,6,6,83,"alex","non-diagnostic","ND2",6,22,2,"student",7,2
"R_xhiyA4lor1hsX73",7,7,7,7,91,"sam","non-diagnostic","ND1",7,7,7,7,7,92,"robin","non-diagnostic","ND2",7,7,7,7,7,91,"francis","diagnostic","NA",7,7,7,7,7,95,"alex","diagnostic","NA",7,20,1,"student",7,2
"R_1rvRB3bUM9FoRJU",7,5,6,7,85,"sam","non-diagnostic","ND1",6.25,5,6,4,3,75,"robin","diagnostic","NA",4.5,7,7,4,4,76,"francis","diagnostic","NA",5.5,7,7,7,7,94,"alex","non-diagnostic","ND2",7,20,2,"student",7,2
"R_1qhdI0z1vZbYSCL",7,7,7,7,95,"sam","non-diagnostic","ND1",7,7,7,7,7,93,"robin","non-diagnostic","ND2",7,7,7,7,7,94,"francis","diagnostic","NA",7,7,7,7,7,95,"alex","diagnostic","NA",7,22,2,"student",7,2
"R_3m7wfirF9omsZdM",7,7,7,7,98,"sam","non-diagnostic","ND1",7,7,7,7,7,98,"robin","non-diagnostic","ND2",7,7,7,7,7,98,"francis","diagnostic","NA",7,7,7,7,7,98,"alex","diagnostic","NA",7,21,2,"student",7,2
"R_ZrhnQ4E6eMrLiCZ",6,6,7,6,90,"sam","non-diagnostic","ND1",6.25,7,6,1,6,90,"robin","diagnostic","NA",5,6,1,7,6,90,"francis","diagnostic","NA",5,6,6,6,6,90,"alex","non-diagnostic","ND2",6,22,2,"student",7,5
"R_2YFL90vKsbtVoO2",6,6,6,6,90,"sam","non-diagnostic","ND1",6,6,6,6,6,90,"robin","non-diagnostic","ND2",6,6,5,5,6,85,"francis","diagnostic","NA",5.5,6,6,5,5,80,"alex","diagnostic","NA",5.5,23,1,"student",7,2
"R_DAVPXgVOnkCjEjL",7,7,7,7,99,"sam","non-diagnostic","ND1",7,7,7,7,7,95,"robin","diagnostic","NA",7,7,7,7,6,91,"francis","diagnostic","NA",6.75,7,7,7,7,98,"alex","non-diagnostic","ND2",7,19,2,"student",1,2
"R_1rOgYopgqDRfzX2",7,7,6,7,100,"sam","non-diagnostic","ND1",6.75,7,7,6,7,100,"robin","non-diagnostic","ND2",6.75,7,6,7,7,92,"francis","diagnostic","NA",6.75,7,7,6,7,100,"alex","diagnostic","NA",6.75,19,2,"student",7,5
"R_25RE8jWLDf4Ve0e",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","diagnostic","NA",7,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","non-diagnostic","ND2",7,21,2,"student",7,2
"R_110kSkq8iwgOVcV",6,6,4,6,82,"sam","non-diagnostic","ND1",5.5,6,6,4,6,82,"robin","non-diagnostic","ND2",5.5,6,6,4,6,83,"francis","diagnostic","NA",5.5,6,6,4,6,82,"alex","diagnostic","NA",5.5,50,2,"student",2,5
"R_3iUVqPwLt5tTdQa",7,7,7,7,95,"sam","non-diagnostic","ND1",7,7,7,7,7,95,"robin","diagnostic","NA",7,7,7,7,7,95,"francis","diagnostic","NA",7,7,7,7,7,95,"alex","non-diagnostic","ND2",7,19,1,"student",7,2
"R_3fCO8cjlvpc0I95",7,6,7,6,88,"sam","non-diagnostic","ND1",6.5,7,7,6,6,91,"robin","diagnostic","NA",6.5,6,6,6,6,82,"francis","diagnostic","NA",6,6,6,6,6,85,"alex","non-diagnostic","ND2",6,19,2,"student",7,5
"R_2OGDWwrtTHIhwei",6,7,6,5,88,"sam","non-diagnostic","ND1",6,4,6,4,6,75,"robin","non-diagnostic","ND2",5,4,5,4,4,60,"francis","diagnostic","NA",4.25,6,7,4,6,95,"alex","diagnostic","NA",5.75,20,3,"student",7,2
"R_3mkT2aWvEX94uTM",7,7,1,7,81,"sam","non-diagnostic","ND1",5.5,7,7,7,7,80,"robin","diagnostic","NA",7,7,7,7,6,80,"francis","diagnostic","NA",6.75,7,7,7,7,83,"alex","non-diagnostic","ND2",7,21,2,"student",7,2
"R_1MSUbnClp4Arzje",7,7,6,7,90,"sam","non-diagnostic","ND1",6.75,7,7,6,7,90,"robin","non-diagnostic","ND2",6.75,7,7,6,7,90,"francis","diagnostic","NA",6.75,7,7,6,7,90,"alex","diagnostic","NA",6.75,21,2,"student",7,2
"R_ZsMSSN9cotDK305",6,6,5,6,78,"sam","non-diagnostic","ND1",5.75,6,6,4,7,75,"robin","non-diagnostic","ND2",5.75,5,6,6,5,70,"francis","diagnostic","NA",5.5,6,6,4,5,75,"alex","diagnostic","NA",5.25,21,1,"student",7,2
"R_3MssHNEWbrFq7f6",6,6,6,7,90,"sam","non-diagnostic","ND1",6.25,7,6,7,7,90,"robin","diagnostic","NA",6.75,6,7,4,3,90,"francis","diagnostic","NA",5,6,6,4,7,90,"alex","non-diagnostic","ND2",5.75,19,1,"student",7,2
"R_3ExQqmZ2sQ8OUW4",5,6,5,5,80,"sam","non-diagnostic","ND1",5.25,5,6,6,5,84,"robin","non-diagnostic","ND2",5.5,6,7,6,4,92,"francis","diagnostic","NA",5.75,6,7,5,6,90,"alex","diagnostic","NA",6,21,2,"student",7,2
"R_1dBvvASeuYVVQaP",7,6,7,7,83,"sam","non-diagnostic","ND1",6.75,7,7,7,6,97,"robin","diagnostic","NA",6.75,7,6,6,5,78,"francis","diagnostic","NA",6,7,7,7,7,100,"alex","non-diagnostic","ND2",7,23,2,"student",7,2
"R_3PTt5SbSM9Uwdxg",7,7,7,6,79,"sam","non-diagnostic","ND1",6.75,7,7,7,7,95,"robin","non-diagnostic","ND2",7,6,7,6,6,84,"francis","diagnostic","NA",6.25,7,7,6,7,89,"alex","diagnostic","NA",6.75,19,1,"student",7,2
"R_Dd8rMq8j4Ek6MSd",6,4,6,4,87,"sam","non-diagnostic","ND1",5,6,7,4,7,100,"robin","diagnostic","NA",6,7,7,5,7,100,"francis","diagnostic","NA",6.5,7,7,7,7,100,"alex","non-diagnostic","ND2",7,34,1,"student",7,5
"R_xsZVE9a2KRbglgJ",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","diagnostic","NA",7,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","non-diagnostic","ND2",7,41,2,"student",6,2
"R_2CTklVJoixZHLyk",6,7,7,7,80,"sam","non-diagnostic","ND1",6.75,7,7,6,7,85,"robin","non-diagnostic","ND2",6.75,5,5,6,4,56,"francis","diagnostic","NA",5,7,7,7,7,90,"alex","diagnostic","NA",7,18,1,"student",7,2
"R_1eFXgT41gfqLWYV",7,7,1,7,80,"sam","non-diagnostic","ND1",5.5,6,6,6,6,80,"robin","diagnostic","NA",6,6,6,6,6,81,"francis","diagnostic","NA",6,6,6,6,6,80,"alex","non-diagnostic","ND2",6,19,2,"student",7,2
"R_cNnic0zFcqnJXhv",6,6,7,6,82,"sam","non-diagnostic","ND1",6.25,6,6,5,6,88,"robin","non-diagnostic","ND2",5.75,6,7,7,7,94,"francis","diagnostic","NA",6.75,6,7,7,6,98,"alex","diagnostic","NA",6.5,19,2,"student",3,5
"R_3ikfYs54xax5hjL",7,5,6,4,80,"sam","non-diagnostic","ND1",5.5,7,7,7,7,51,"robin","non-diagnostic","ND2",7,7,5,4,4,76,"francis","diagnostic","NA",5,7,7,7,7,92,"alex","diagnostic","NA",7,18,3,"student",7,5
"R_3rUvJC8ac8Zlcmn",7,6,6,6,91,"sam","non-diagnostic","ND1",6.25,5,5,7,7,95,"robin","diagnostic","NA",6,5,5,5,6,87,"francis","diagnostic","NA",5.25,6,6,6,5,90,"alex","non-diagnostic","ND2",5.75,19,2,"student",7,5
"R_2qwmirW4dWNvXzs",7,7,7,7,84,"sam","non-diagnostic","ND1",7,7,7,7,7,85,"robin","diagnostic","NA",7,7,7,7,7,76,"francis","diagnostic","NA",7,7,7,7,7,80,"alex","non-diagnostic","ND2",7,20,2,"student",2,2
"R_2RWCFs3hTbi3aSY",5,5,4,5,60,"sam","non-diagnostic","ND1",4.75,5,5,4,6,70,"robin","non-diagnostic","ND2",5,5,5,4,5,60,"francis","diagnostic","NA",4.75,5,5,4,5,60,"alex","diagnostic","NA",4.75,29,2,"student",7,5
"R_2dEEX5hZ992hUCB",7,7,6,5,88,"sam","non-diagnostic","ND1",6.25,6,6,6,7,81,"robin","non-diagnostic","ND2",6.25,6,7,6,4,84,"francis","diagnostic","NA",5.75,7,6,7,7,91,"alex","diagnostic","NA",6.75,18,1,"student",7,5
"R_1l3JWPL3GdWHIXO",6,6,6,6,80,"sam","non-diagnostic","ND1",6,6,6,6,6,80,"robin","non-diagnostic","ND2",6,6,6,6,6,80,"francis","diagnostic","NA",6,6,6,6,6,80,"alex","diagnostic","NA",6,22,2,"student",7,2
"R_2PeaNGRlnNs3VSJ",7,7,7,7,87,"sam","non-diagnostic","ND1",7,6,7,7,5,67,"robin","diagnostic","NA",6.25,7,7,7,7,100,"francis","diagnostic","NA",7,6,5,6,7,88,"alex","non-diagnostic","ND2",6,18,1,"student",2,5
"R_2f9Xje6toaKaUaz",5,5,5,6,80,"sam","non-diagnostic","ND1",5.25,6,6,6,7,75,"robin","non-diagnostic","ND2",6.25,3,4,5,3,42,"francis","diagnostic","NA",3.75,5,6,6,7,79,"alex","diagnostic","NA",6,22,1,"student",6,2
"R_3snWyjS1piFeUjc",7,6,7,6,95,"sam","non-diagnostic","ND1",6.5,6,7,7,7,95,"robin","diagnostic","NA",6.75,6,7,7,5,95,"francis","diagnostic","NA",6.25,6,6,7,7,95,"alex","non-diagnostic","ND2",6.5,21,1,"student",7,2
"R_2AKJ7iCFSiXXAuK",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,66,"robin","non-diagnostic","ND2",7,7,7,7,7,91,"francis","diagnostic","NA",7,7,7,7,7,76,"alex","diagnostic","NA",7,18,2,"student",7,2
"R_1EguvaMu3WXGhKx",7,7,7,7,95,"sam","non-diagnostic","ND1",7,6,6,6,7,94,"robin","non-diagnostic","ND2",6.25,6,7,7,7,97,"francis","diagnostic","NA",6.75,7,7,7,7,98,"alex","diagnostic","NA",7,18,2,"student",7,2
"R_2VfO5tJr8onwRTW",7,7,6,6,90,"sam","non-diagnostic","ND1",6.5,7,7,6,7,95,"robin","diagnostic","NA",6.75,7,6,5,5,80,"francis","diagnostic","NA",5.75,7,6,5,7,85,"alex","non-diagnostic","ND2",6.25,21,2,"student",7,5
"R_1pWPBYe39axAg17",7,6,4,7,90,"sam","non-diagnostic","ND1",6,7,6,7,7,95,"robin","diagnostic","NA",6.75,5,5,6,5,80,"francis","diagnostic","NA",5.25,6,5,5,6,88,"alex","non-diagnostic","ND2",5.5,22,2,"student",7,5
"R_1gkHo0LtS2YZk0K",6,6,6,7,80,"sam","non-diagnostic","ND1",6.25,7,5,2,6,89,"robin","diagnostic","NA",5,7,6,7,6,77,"francis","diagnostic","NA",6.5,7,6,2,6,89,"alex","non-diagnostic","ND2",5.25,19,2,"student",2,2
"R_3QJi2DAHRnqBhku",7,7,6,6,83,"sam","non-diagnostic","ND1",6.5,7,5,7,7,80,"robin","non-diagnostic","ND2",6.5,7,7,5,5,87,"francis","diagnostic","NA",6,7,7,7,7,94,"alex","diagnostic","NA",7,60,2,"student",1,2
"R_1laDcySdHrymTKF",6,5,5,6,65,"sam","non-diagnostic","ND1",5.5,6,5,6,7,82,"robin","diagnostic","NA",6,4,4,6,5,40,"francis","diagnostic","NA",4.75,7,4,5,6,52,"alex","non-diagnostic","ND2",5.5,19,1,"student",7,2
"R_3JK2LfHoHoP079u",4,3,2,3,15,"sam","non-diagnostic","ND1",3,6,6,6,5,88,"robin","non-diagnostic","ND2",5.75,3,1,2,4,25,"francis","diagnostic","NA",2.5,7,6,6,7,94,"alex","diagnostic","NA",6.5,39,1,"student",5,2
"R_1Nfcv1tCenz3YJc",7,7,7,7,89,"sam","non-diagnostic","ND1",7,7,7,7,7,90,"robin","diagnostic","NA",7,7,7,7,7,89,"francis","diagnostic","NA",7,7,7,7,7,93,"alex","non-diagnostic","ND2",7,32,2,"student",7,5
"R_C7xoktiIBc6WV57",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,96,"robin","non-diagnostic","ND2",7,7,7,7,6,94,"francis","diagnostic","NA",6.75,7,6,7,7,99,"alex","diagnostic","NA",6.75,19,2,"student",7,5
"R_w1Y5JlwRyJzLssx",7,7,7,7,94,"sam","non-diagnostic","ND1",7,7,7,7,6,90,"robin","diagnostic","NA",6.75,7,7,7,6,86,"francis","diagnostic","NA",6.75,7,7,5,7,96,"alex","non-diagnostic","ND2",6.5,20,1,"student",1,2
"R_3lYnZr5BcWBT8wk",6,6,6,6,62,"sam","non-diagnostic","ND1",6,6,6,4,7,82,"robin","diagnostic","NA",5.75,5,5,6,5,66,"francis","diagnostic","NA",5.25,6,6,4,4,67,"alex","non-diagnostic","ND2",5,51,1,"student",7,2
"R_3NIiE6GGudXdz7Y",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","non-diagnostic","ND2",7,7,7,1,2,95,"francis","diagnostic","NA",4.25,7,7,7,7,100,"alex","diagnostic","NA",7,18,2,"student",4,2
"R_3VN4mnsuvV4lisF",7,7,4,7,75,"sam","non-diagnostic","ND1",6.25,7,7,4,7,76,"robin","diagnostic","NA",6.25,7,7,5,7,85,"francis","diagnostic","NA",6.5,7,7,5,5,91,"alex","non-diagnostic","ND2",6,56,2,"student",2,5
"R_Y60GbYK8v9Wk7YJ",6,5,6,6,75,"sam","non-diagnostic","ND1",5.75,5,5,5,5,65,"robin","non-diagnostic","ND2",5,4,4,4,4,50,"francis","diagnostic","NA",4,5,5,5,5,65,"alex","diagnostic","NA",5,30,1,"student",7,5
"R_1HhIJke1oz0JlhS",7,7,7,7,85,"sam","non-diagnostic","ND1",7,7,6,6,6,75,"robin","diagnostic","NA",6.25,6,7,7,6,80,"francis","diagnostic","NA",6.5,7,7,7,7,85,"alex","non-diagnostic","ND2",7,54,2,"student",2,5
"R_1ezPSXdbAyey6Ss",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","non-diagnostic","ND2",7,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","diagnostic","NA",7,57,2,"student",7,5
"R_XEWdlylUzYSs5LX",6,6,4,6,71,"sam","non-diagnostic","ND1",5.5,7,7,4,7,100,"robin","diagnostic","NA",6.25,7,7,5,4,100,"francis","diagnostic","NA",5.75,6,6,4,7,87,"alex","non-diagnostic","ND2",5.75,28,1,"student",7,5
"R_s6hx6eTLFcdsgsV",5,6,5,6,62,"sam","non-diagnostic","ND1",5.5,6,5,6,6,66,"robin","non-diagnostic","ND2",5.75,6,5,4,5,60,"francis","diagnostic","NA",5,5,5,5,5,50,"alex","diagnostic","NA",5,20,2,"student",7,5
"R_6PTK9Yeq2tV29AR",7,7,7,7,100,"sam","non-diagnostic","ND1",7,6,7,5,6,80,"robin","diagnostic","NA",6,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","non-diagnostic","ND2",7,22,1,"student",7,5
"R_1rcgtsX6k6GGg4Z",6,6,6,6,77,"sam","non-diagnostic","ND1",6,6,6,6,7,83,"robin","non-diagnostic","ND2",6.25,6,6,6,6,73,"francis","diagnostic","NA",6,7,7,6,7,90,"alex","diagnostic","NA",6.75,23,2,"student",7,2
"R_6JS3kR4N5cEEKGd",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","diagnostic","NA",7,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","non-diagnostic","ND2",7,21,2,"student",7,2
"R_0jr9hSPEj4blmIF",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,99,"robin","non-diagnostic","ND2",7,7,7,7,7,93,"francis","diagnostic","NA",7,7,4,7,7,94,"alex","diagnostic","NA",6.25,67,2,"student",7,2
"R_3J5e6n3qvjiOzHf",7,7,7,7,79,"sam","non-diagnostic","ND1",7,7,6,6,7,68,"robin","diagnostic","NA",6.5,7,6,6,6,65,"francis","diagnostic","NA",6.25,7,7,5,7,73,"alex","non-diagnostic","ND2",6.5,19,2,"student",7,2
"R_9FyMAvGtSgfILBL",7,7,1,7,87,"sam","non-diagnostic","ND1",5.5,7,7,7,7,83,"robin","diagnostic","NA",7,7,7,7,7,84,"francis","diagnostic","NA",7,7,7,6,7,86,"alex","non-diagnostic","ND2",6.75,20,2,"student",7,2
"R_115vCYbwZ0Y8TiC",6,6,5,5,75,"sam","non-diagnostic","ND1",5.5,5,5,4,6,63,"robin","diagnostic","NA",5,6,6,4,4,70,"francis","diagnostic","NA",5,6,6,4,6,71,"alex","non-diagnostic","ND2",5.5,19,2,"student",5,2
"R_1op9oGYc6RvrqwE",6,7,6,6,91,"sam","non-diagnostic","ND1",6.25,7,7,7,7,92,"robin","non-diagnostic","ND2",7,6,6,7,6,87,"francis","diagnostic","NA",6.25,6,7,7,6,90,"alex","diagnostic","NA",6.5,26,2,"student",7,5
"R_2U9tlG0USs1BGmp",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","non-diagnostic","ND2",7,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","diagnostic","NA",7,19,1,"student",7,2
"R_1lgGf2DGVwrpOaK",7,6,6,6,80,"sam","non-diagnostic","ND1",6.25,7,7,7,7,100,"robin","diagnostic","NA",7,7,6,7,6,100,"francis","diagnostic","NA",6.5,7,7,6,7,90,"alex","non-diagnostic","ND2",6.75,22,3,"student",7,5
"R_1r8G3Ayo6EWkpi8",6,6,7,6,95,"sam","non-diagnostic","ND1",6.25,6,6,6,7,95,"robin","diagnostic","NA",6.25,6,6,5,5,85,"francis","diagnostic","NA",5.5,7,6,7,7,94,"alex","non-diagnostic","ND2",6.75,19,2,"student",7,2
"R_2QyXT9xOOrndf7W",5,5,5,6,75,"sam","non-diagnostic","ND1",5.25,6,6,7,7,80,"robin","non-diagnostic","ND2",6.5,6,6,6,6,76,"francis","diagnostic","NA",6,5,5,5,6,75,"alex","diagnostic","NA",5.25,20,1,"student",7,2
"R_3nuCD0LdfoOmtw0",6,6,6,6,90,"sam","non-diagnostic","ND1",6,6,6,6,6,89,"robin","diagnostic","NA",6,7,7,1,4,90,"francis","diagnostic","NA",4.75,6,6,2,7,90,"alex","non-diagnostic","ND2",5.25,20,2,"student",7,2
