"ResponseId","sam_R1","sam_R2","sam_R3","sam_R4","sam_M1","sam_scenario","sam_condition","sam_diagnostic12","sam_valence","sam_R_tot","robin_R1","robin_R2","robin_R3","robin_R4","robin_M1","robin_scenario","robin_condition","robin_diagnostic12","robin_valence","robin_R_tot","francis_R1","francis_R2","francis_R3","francis_R4","francis_M1","francis_scenario","francis_condition","francis_diagnostic12","francis_valence","francis_R_tot","alex_R1","alex_R2","alex_R3","alex_R4","alex_M1","alex_scenario","alex_condition","alex_diagnostic12","alex_valence","alex_R_tot","age","gender","attn_chk_1Q","attn_chk_2_Q","att1_fail","att2_fail","att_fail"
"R_8d27RkxCw8YKmsh",7,7,7,6,87,"sam","non-diagnostic","ND1","good",6.75,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,2,3,3,32,"francis","non-diagnostic","ND2","bad",2.25,1,2,4,3,50,"alex","diagnostic","NA","bad",2.5,25,2,5,2,TRUE,FALSE,FALSE
"R_3iL7GNs9sunk8UR",7,7,7,7,98,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,3,1,4,1,26,"francis","diagnostic","NA","bad",2.25,2,3,4,4,43,"alex","non-diagnostic","ND2","bad",3.25,22,2,2,5,TRUE,FALSE,FALSE
"R_3fwy5E4KCfBdzPE",7,7,5,5,87,"sam","non-diagnostic","ND1","good",6,7,7,6,7,96,"robin","diagnostic","NA","good",6.75,1,1,1,1,0,"francis","diagnostic","NA","bad",1,2,2,2,4,7,"alex","non-diagnostic","ND2","bad",2.5,22,2,7,5,FALSE,FALSE,FALSE
"R_2CVV8zWX6mMvHng",6,5,5,6,78,"sam","non-diagnostic","ND1","good",5.5,6,6,6,6,87,"robin","diagnostic","NA","good",6,2,2,5,2,30,"francis","diagnostic","NA","bad",2.75,4,4,6,4,62,"alex","non-diagnostic","ND2","bad",4.5,24,2,2,5,TRUE,FALSE,FALSE
"R_2qqsfCTY8DZaAdv",7,1,1,1,95,"sam","non-diagnostic","ND1","good",2.5,6,6,7,6,85,"robin","diagnostic","NA","good",6.25,1,1,1,1,0,"francis","diagnostic","NA","bad",1,1,1,1,1,0,"alex","non-diagnostic","ND2","bad",1,22,1,2,2,TRUE,FALSE,FALSE
"R_4ONu92stbpKK1J7",7,7,6,7,90,"sam","non-diagnostic","ND1","good",6.75,7,7,6,7,95,"robin","diagnostic","NA","good",6.75,3,4,4,3,35,"francis","non-diagnostic","ND2","bad",3.5,1,2,1,1,40,"alex","diagnostic","NA","bad",1.25,17,1,4,5,TRUE,FALSE,FALSE
"R_3KBkHxT3C52iNqq",7,7,7,7,91,"sam","non-diagnostic","ND1","good",7,6,6,6,6,92,"robin","diagnostic","NA","good",6,2,2,2,2,8,"francis","non-diagnostic","ND2","bad",2,2,2,1,1,20,"alex","diagnostic","NA","bad",1.5,26,5,7,5,FALSE,FALSE,FALSE
"R_CleAgQKC1lRPQ9H",6,5,7,6,85,"sam","non-diagnostic","ND1","good",6,6,7,6,7,90,"robin","diagnostic","NA","good",6.5,2,2,3,2,20,"francis","non-diagnostic","ND2","bad",2.25,2,2,3,1,15,"alex","diagnostic","NA","bad",2,19,2,2,5,TRUE,FALSE,FALSE
"R_2nHTYZz23SYvkyJ",7,7,7,7,99,"sam","non-diagnostic","ND1","good",7,7,7,7,7,88,"robin","diagnostic","NA","good",7,1,1,1,1,0,"francis","non-diagnostic","ND2","bad",1,1,1,1,1,0,"alex","diagnostic","NA","bad",1,18,1,7,5,FALSE,FALSE,FALSE
"R_BSsl2IBjz3gekw1",5,5,5,6,80,"sam","non-diagnostic","ND1","good",5.25,6,6,5,6,87,"robin","diagnostic","NA","good",5.75,2,2,2,1,11,"francis","diagnostic","NA","bad",1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,FALSE,NA,FALSE
"R_2WvapPd05LsAbjr",7,6,6,7,90,"sam","non-diagnostic","ND1","good",6.5,7,7,5,7,92,"robin","diagnostic","NA","good",6.5,1,2,2,2,22,"francis","non-diagnostic","ND2","bad",1.75,1,2,3,2,18,"alex","diagnostic","NA","bad",2,19,2,7,2,FALSE,FALSE,FALSE
"R_32RxK4UfFCGqx1S",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,1,1,0,"francis","non-diagnostic","ND2","bad",1,1,1,1,1,0,"alex","diagnostic","NA","bad",1,19,1,7,2,FALSE,FALSE,FALSE
"R_OHyOjofCUMKbcZ3",7,5,4,5,73,"sam","non-diagnostic","ND1","good",5.25,7,7,7,7,87,"robin","diagnostic","NA","good",7,3,5,4,4,78,"francis","diagnostic","NA","bad",4,2,4,4,4,60,"alex","non-diagnostic","ND2","bad",3.5,19,2,2,2,TRUE,FALSE,FALSE
"R_2zOU6ncFdxQNv90",6,6,5,4,64,"sam","non-diagnostic","ND1","good",5.25,6,6,6,6,77,"robin","diagnostic","NA","good",6,2,2,1,2,27,"francis","non-diagnostic","ND2","bad",1.75,2,2,2,2,25,"alex","diagnostic","NA","bad",2,18,2,7,5,FALSE,FALSE,FALSE
"R_2PA9OgM1SQ8lV5s",6,7,7,7,84,"sam","non-diagnostic","ND1","good",6.75,7,7,7,7,83,"robin","diagnostic","NA","good",7,2,2,1,1,25,"francis","non-diagnostic","ND2","bad",1.5,3,3,3,2,81,"alex","diagnostic","NA","bad",2.75,18,2,7,5,FALSE,FALSE,FALSE
"R_2bK5pi7lY427sdo",7,5,7,5,68,"sam","non-diagnostic","ND1","good",6,7,7,4,6,86,"robin","diagnostic","NA","good",6,2,2,3,1,7,"francis","diagnostic","NA","bad",2,3,3,4,2,21,"alex","non-diagnostic","ND2","bad",3,18,2,7,5,FALSE,FALSE,FALSE
"R_bHm3UkJj0AyS1oZ",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,2,1,2,1,0,"francis","diagnostic","NA","bad",1.5,2,2,2,2,0,"alex","non-diagnostic","ND2","bad",2,42,2,7,2,FALSE,FALSE,FALSE
"R_Rf6VMLsqm5NuRjj",6,6,7,6,74,"sam","non-diagnostic","ND1","good",6.25,7,6,6,6,83,"robin","diagnostic","NA","good",6.25,2,2,4,3,30,"francis","non-diagnostic","ND2","bad",2.75,3,4,4,4,38,"alex","diagnostic","NA","bad",3.75,21,2,7,2,FALSE,FALSE,FALSE
"R_2zoPMfZcKRetaUM",6,6,6,6,84,"sam","non-diagnostic","ND1","good",6,6,6,6,6,82,"robin","diagnostic","NA","good",6,3,2,2,3,40,"francis","diagnostic","NA","bad",2.5,2,2,4,2,62,"alex","non-diagnostic","ND2","bad",2.5,19,1,1,2,TRUE,FALSE,FALSE
"R_OdHRq2DjzG6zxE5",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,4,2,13,"francis","non-diagnostic","ND2","bad",2,1,1,4,1,5,"alex","diagnostic","NA","bad",1.75,47,1,7,2,FALSE,FALSE,FALSE
"R_vJsD5LQohCse7iV",6,6,6,6,81,"sam","non-diagnostic","ND1","good",6,6,7,6,7,92,"robin","diagnostic","NA","good",6.5,3,3,4,4,29,"francis","non-diagnostic","ND2","bad",3.5,2,2,3,3,32,"alex","diagnostic","NA","bad",2.5,19,2,7,2,FALSE,FALSE,FALSE
"R_3HnVGH2uTRpiY8a",7,6,6,7,100,"sam","non-diagnostic","ND1","good",6.5,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,2,2,5,"francis","non-diagnostic","ND2","bad",1.5,1,1,1,1,5,"alex","diagnostic","NA","bad",1,17,1,1,5,TRUE,FALSE,FALSE
"R_a5aj7UG1qAenJWp",6,6,6,6,77,"sam","non-diagnostic","ND1","good",6,5,7,7,7,67,"robin","diagnostic","NA","good",6.5,3,2,2,2,27,"francis","diagnostic","NA","bad",2.25,3,2,5,3,31,"alex","non-diagnostic","ND2","bad",3.25,19,2,7,5,FALSE,FALSE,FALSE
"R_2CZJ5iPThlyFTCP",7,7,7,7,90,"sam","non-diagnostic","ND1","good",7,7,7,7,7,90,"robin","diagnostic","NA","good",7,1,1,1,1,10,"francis","non-diagnostic","ND2","bad",1,1,1,1,1,10,"alex","diagnostic","NA","bad",1,19,2,7,5,FALSE,FALSE,FALSE
"R_1nW20RSp1CBPV82",4,4,5,5,70,"sam","non-diagnostic","ND1","good",4.5,6,7,7,7,90,"robin","diagnostic","NA","good",6.75,3,3,3,3,27,"francis","non-diagnostic","ND2","bad",3,3,4,4,4,50,"alex","diagnostic","NA","bad",3.75,19,2,7,2,FALSE,FALSE,FALSE
"R_Pu19oMpCM7f6jCx",7,7,7,7,93,"sam","non-diagnostic","ND1","good",7,7,7,7,7,80,"robin","diagnostic","NA","good",7,1,1,4,2,18,"francis","non-diagnostic","ND2","bad",2,1,1,3,2,12,"alex","diagnostic","NA","bad",1.75,22,2,6,2,TRUE,FALSE,FALSE
"R_1l3ilkKpqvA21Km",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,2,2,2,2,25,"francis","non-diagnostic","ND2","bad",2,1,1,3,1,19,"alex","diagnostic","NA","bad",1.5,21,1,7,2,FALSE,FALSE,FALSE
"R_1EaD8fgdDRyjQbu",7,7,7,7,98,"sam","non-diagnostic","ND1","good",7,7,7,7,7,99,"robin","diagnostic","NA","good",7,2,2,3,2,20,"francis","diagnostic","NA","bad",2.25,2,2,2,2,20,"alex","non-diagnostic","ND2","bad",2,21,2,7,2,FALSE,FALSE,FALSE
"R_1HiwQfn0El3pbnx",6,6,5,5,84,"sam","non-diagnostic","ND1","good",5.5,6,5,4,6,79,"robin","diagnostic","NA","good",5.25,2,2,3,2,16,"francis","non-diagnostic","ND2","bad",2.25,2,2,4,3,16,"alex","diagnostic","NA","bad",2.75,22,1,7,5,FALSE,FALSE,FALSE
"R_elZDjcKCVOxBmSJ",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,1,1,0,"francis","non-diagnostic","ND2","bad",1,1,1,4,1,0,"alex","diagnostic","NA","bad",1.75,36,1,7,2,FALSE,FALSE,FALSE
"R_6tg8tgJzbAbt4Vr",7,7,7,7,95,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,3,1,9,"francis","non-diagnostic","ND2","bad",1.5,1,1,1,1,0,"alex","diagnostic","NA","bad",1,23,2,5,5,TRUE,FALSE,FALSE
"R_22E2xJDPk2RA6fO",7,7,7,7,84,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,1,1,0,"francis","diagnostic","NA","bad",1,1,1,1,1,0,"alex","non-diagnostic","ND2","bad",1,27,1,7,2,FALSE,FALSE,FALSE
"R_22lycM9PfPbxAPb",7,7,5,6,95,"sam","non-diagnostic","ND1","good",6.25,7,7,5,7,90,"robin","diagnostic","NA","good",6.5,2,2,1,3,20,"francis","non-diagnostic","ND2","bad",2,1,1,3,1,10,"alex","diagnostic","NA","bad",1.5,22,1,5,2,TRUE,FALSE,FALSE
"R_DVj0aY3pAUzaSKB",6,7,7,6,81,"sam","non-diagnostic","ND1","good",6.5,5,7,4,5,78,"robin","diagnostic","NA","good",5.25,2,2,3,2,11,"francis","diagnostic","NA","bad",2.25,3,2,4,3,20,"alex","non-diagnostic","ND2","bad",3,22,2,2,2,TRUE,FALSE,FALSE
"R_9ojxPmxwFdDOhbj",7,7,7,6,85,"sam","non-diagnostic","ND1","good",6.75,6,7,5,5,86,"robin","diagnostic","NA","good",5.75,3,2,2,1,25,"francis","diagnostic","NA","bad",2,1,1,2,2,20,"alex","non-diagnostic","ND2","bad",1.5,19,1,7,2,FALSE,FALSE,FALSE
"R_2S82U7qdsJxGgpI",6,6,3,6,75,"sam","non-diagnostic","ND1","good",5.25,7,5,5,6,80,"robin","diagnostic","NA","good",5.75,2,3,3,2,36,"francis","non-diagnostic","ND2","bad",2.5,3,3,4,3,30,"alex","diagnostic","NA","bad",3.25,21,2,3,2,TRUE,FALSE,FALSE
"R_3PiYahrMglTXHIp",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,2,2,1,20,"francis","non-diagnostic","ND2","bad",1.5,2,3,3,3,30,"alex","diagnostic","NA","bad",2.75,19,2,2,2,TRUE,FALSE,FALSE
"R_3OpFEwRwECRxbM8",5,5,4,4,60,"sam","non-diagnostic","ND1","good",4.5,5,6,4,5,70,"robin","diagnostic","NA","good",5,3,2,4,2,30,"francis","diagnostic","NA","bad",2.75,3,3,4,4,40,"alex","non-diagnostic","ND2","bad",3.5,29,1,7,5,FALSE,FALSE,FALSE
"R_2v32RWZJpnG2RAT",7,7,7,7,95,"sam","non-diagnostic","ND1","good",7,7,7,7,7,99,"robin","diagnostic","NA","good",7,1,1,1,1,12,"francis","non-diagnostic","ND2","bad",1,1,1,1,1,14,"alex","diagnostic","NA","bad",1,21,2,7,2,FALSE,FALSE,FALSE
"R_2wQuHekJVnLdgsm",7,7,7,7,92,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,1,1,11,"francis","diagnostic","NA","bad",1,2,4,7,7,69,"alex","non-diagnostic","ND2","bad",5,35,2,6,2,TRUE,FALSE,FALSE
"R_2aJreDkB6IxSXwa",6,6,6,6,80,"sam","non-diagnostic","ND1","good",6,6,7,7,7,90,"robin","diagnostic","NA","good",6.75,3,3,4,3,30,"francis","non-diagnostic","ND2","bad",3.25,2,2,2,2,15,"alex","diagnostic","NA","bad",2,22,1,7,5,FALSE,FALSE,FALSE
"R_yxMBFWiuAJWcuGZ",7,7,6,7,95,"sam","non-diagnostic","ND1","good",6.75,7,5,7,6,85,"robin","diagnostic","NA","good",6.25,1,1,1,1,15,"francis","diagnostic","NA","bad",1,1,1,1,1,5,"alex","non-diagnostic","ND2","bad",1,40,2,7,5,FALSE,FALSE,FALSE
"R_20PqyD22eLwMt6z",7,7,7,6,90,"sam","non-diagnostic","ND1","good",6.75,6,6,6,7,85,"robin","diagnostic","NA","good",6.25,3,2,3,2,30,"francis","diagnostic","NA","bad",2.5,2,2,4,3,17,"alex","non-diagnostic","ND2","bad",2.75,23,2,7,5,FALSE,FALSE,FALSE
"R_2tLOCcghGeNLSR8",7,7,5,7,92,"sam","non-diagnostic","ND1","good",6.5,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,4,3,18,"francis","non-diagnostic","ND2","bad",2.25,1,1,4,3,22,"alex","diagnostic","NA","bad",2.25,20,2,5,5,TRUE,FALSE,FALSE
"R_1jHTr8ek0eS4aqT",7,7,7,7,87,"sam","non-diagnostic","ND1","good",7,7,7,7,7,85,"robin","diagnostic","NA","good",7,3,3,2,2,38,"francis","non-diagnostic","ND2","bad",2.5,3,3,2,2,29,"alex","diagnostic","NA","bad",2.5,21,2,7,5,FALSE,FALSE,FALSE
"R_wWTvjIurkBCHzoZ",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,2,2,3,1,3,"francis","diagnostic","NA","bad",2,1,2,3,1,3,"alex","non-diagnostic","ND2","bad",1.75,22,2,7,5,FALSE,FALSE,FALSE
"R_3DuRTPf4YqUfwM9",6,6,6,6,90,"sam","non-diagnostic","ND1","good",6,7,7,7,7,91,"robin","diagnostic","NA","good",7,1,1,1,1,3,"francis","diagnostic","NA","bad",1,1,1,1,1,0,"alex","non-diagnostic","ND2","bad",1,18,2,7,2,FALSE,FALSE,FALSE
"R_3iVHlnVkO3s0Ieu",6,5,6,7,80,"sam","non-diagnostic","ND1","good",6,5,4,7,4,74,"robin","diagnostic","NA","good",5,1,1,1,2,0,"francis","diagnostic","NA","bad",1.25,1,1,1,1,5,"alex","non-diagnostic","ND2","bad",1,21,5,7,5,FALSE,FALSE,FALSE
"R_2PA7WLq2bB6O8r4",6,6,2,6,85,"sam","non-diagnostic","ND1","good",5,6,6,6,6,90,"robin","diagnostic","NA","good",6,2,2,3,2,10,"francis","non-diagnostic","ND2","bad",2.25,3,2,3,3,45,"alex","diagnostic","NA","bad",2.75,54,2,7,2,FALSE,FALSE,FALSE
"R_1ezAQjmdqwl78iY",5,6,2,2,80,"sam","non-diagnostic","ND1","good",3.75,5,5,6,5,75,"robin","diagnostic","NA","good",5.25,2,3,4,3,25,"francis","non-diagnostic","ND2","bad",3,2,2,3,2,20,"alex","diagnostic","NA","bad",2.25,23,1,5,2,TRUE,FALSE,FALSE
"R_1NwQUitjfo8ex8R",6,6,6,6,70,"sam","non-diagnostic","ND1","good",6,5,6,6,7,65,"robin","diagnostic","NA","good",6,2,2,3,2,20,"francis","diagnostic","NA","bad",2.25,3,3,4,2,30,"alex","non-diagnostic","ND2","bad",3,22,1,7,2,FALSE,FALSE,FALSE
"R_24JcH403LrceBi3",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,1,1,91,"francis","non-diagnostic","ND2","bad",1,1,1,2,1,10,"alex","diagnostic","NA","bad",1.25,27,1,7,2,FALSE,FALSE,FALSE
"R_1IQbx4uFlQYQrqQ",6,6,6,7,90,"sam","non-diagnostic","ND1","good",6.25,6,6,6,7,90,"robin","diagnostic","NA","good",6.25,2,2,4,2,20,"francis","non-diagnostic","ND2","bad",2.5,2,2,4,2,15,"alex","diagnostic","NA","bad",2.5,24,2,7,2,FALSE,FALSE,FALSE
"R_1K1IZr2vO0YuTRs",5,7,6,6,68,"sam","non-diagnostic","ND1","good",6,7,7,7,7,89,"robin","diagnostic","NA","good",7,1,2,2,2,14,"francis","non-diagnostic","ND2","bad",1.75,1,1,1,1,0,"alex","diagnostic","NA","bad",1,19,3,7,2,FALSE,FALSE,FALSE
"R_rfGhCxczzktDQT7",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,81,"robin","diagnostic","NA","good",7,1,2,4,3,30,"francis","non-diagnostic","ND2","bad",2.5,1,2,4,3,40,"alex","diagnostic","NA","bad",2.5,22,2,7,2,FALSE,FALSE,FALSE
"R_2tnAAbfisgqVnoe",6,6,5,6,71,"sam","non-diagnostic","ND1","good",5.75,6,6,5,6,76,"robin","diagnostic","NA","good",5.75,3,4,4,4,50,"francis","diagnostic","NA","bad",3.75,3,3,4,4,27,"alex","non-diagnostic","ND2","bad",3.5,57,1,7,2,FALSE,FALSE,FALSE
"R_2691d0vMgAFJgyf",6,6,7,6,80,"sam","non-diagnostic","ND1","good",6.25,6,6,7,7,85,"robin","diagnostic","NA","good",6.5,2,2,5,2,22,"francis","diagnostic","NA","bad",2.75,3,2,6,3,20,"alex","non-diagnostic","ND2","bad",3.5,19,2,7,2,FALSE,FALSE,FALSE
"R_1gGRJJmn7ECEt7g",7,7,4,7,98,"sam","non-diagnostic","ND1","good",6.25,7,7,7,7,84,"robin","diagnostic","NA","good",7,4,4,7,2,56,"francis","diagnostic","NA","bad",4.25,1,2,1,2,12,"alex","non-diagnostic","ND2","bad",1.5,47,2,2,5,TRUE,FALSE,FALSE
"R_agRrUGMVUTN4Qxz",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,3,2,18,"francis","non-diagnostic","ND2","bad",1.75,1,1,3,1,20,"alex","diagnostic","NA","bad",1.5,23,2,5,2,TRUE,FALSE,FALSE
"R_2X0SoHlkq3Pz7bc",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,93,"robin","diagnostic","NA","good",7,2,2,2,2,11,"francis","diagnostic","NA","bad",2,3,3,6,4,50,"alex","non-diagnostic","ND2","bad",4,19,1,5,5,TRUE,FALSE,FALSE
"R_1n12toO5WorJZuD",6,6,6,6,88,"sam","non-diagnostic","ND1","good",6,7,7,7,7,93,"robin","diagnostic","NA","good",7,2,2,3,2,21,"francis","non-diagnostic","ND2","bad",2.25,2,2,2,3,18,"alex","diagnostic","NA","bad",2.25,20,2,7,5,FALSE,FALSE,FALSE
"R_12DAT5YU3OZEJeA",6,6,6,6,89,"sam","non-diagnostic","ND1","good",6,6,6,6,6,90,"robin","diagnostic","NA","good",6,2,2,2,2,15,"francis","non-diagnostic","ND2","bad",2,2,2,2,2,15,"alex","diagnostic","NA","bad",2,21,2,4,5,TRUE,FALSE,FALSE
"R_32Yn7uQEHdBLpEL",7,7,6,7,98,"sam","non-diagnostic","ND1","good",6.75,7,7,7,7,99,"robin","diagnostic","NA","good",7,1,1,2,2,5,"francis","diagnostic","NA","bad",1.5,1,1,2,1,3,"alex","non-diagnostic","ND2","bad",1.25,19,2,7,2,FALSE,FALSE,FALSE
"R_9Y7yYUMUJD6iE6Z",5,5,4,6,60,"sam","non-diagnostic","ND1","good",5,7,7,7,7,85,"robin","diagnostic","NA","good",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,19,"alex","diagnostic","NA","bad",2.25,NA,NA,7,5,FALSE,FALSE,FALSE
"R_1GJt2pfAungW6Rq",6,6,5,3,76,"sam","non-diagnostic","ND1","good",5,7,7,5,6,87,"robin","diagnostic","NA","good",6.25,2,2,2,3,35,"francis","non-diagnostic","ND2","bad",2.25,3,2,4,3,35,"alex","diagnostic","NA","bad",3,21,1,7,2,FALSE,FALSE,FALSE
"R_1IXwDFlhFGhbUru",6,6,6,6,81,"sam","non-diagnostic","ND1","good",6,6,6,6,6,79,"robin","diagnostic","NA","good",6,2,2,2,2,19,"francis","diagnostic","NA","bad",2,2,2,2,2,18,"alex","non-diagnostic","ND2","bad",2,42,2,7,2,FALSE,FALSE,FALSE
"R_2XbO0v7r92kcTSl",7,6,6,6,90,"sam","non-diagnostic","ND1","good",6.25,7,7,6,7,93,"robin","diagnostic","NA","good",6.75,2,1,2,2,1,"francis","non-diagnostic","ND2","bad",1.75,2,1,3,2,13,"alex","diagnostic","NA","bad",2,24,2,7,2,FALSE,FALSE,FALSE
"R_33wL2fe9LwlPn40",6,6,4,7,84,"sam","non-diagnostic","ND1","good",5.75,5,7,4,6,91,"robin","diagnostic","NA","good",5.5,2,1,3,3,23,"francis","diagnostic","NA","bad",2.25,2,1,4,3,27,"alex","non-diagnostic","ND2","bad",2.5,20,2,7,5,FALSE,FALSE,FALSE
"R_1FJPmnBr47jKSuH",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,1,1,0,"francis","non-diagnostic","ND2","bad",1,3,3,4,3,30,"alex","diagnostic","NA","bad",3.25,19,2,7,5,FALSE,FALSE,FALSE
