"ResponseId","sam_R1","sam_R2","sam_R3","sam_R4","sam_M1","sam_scenario","sam_condition","sam_diagnostic12","sam_R_tot","robin_R1","robin_R2","robin_R3","robin_R4","robin_M1","robin_scenario","robin_condition","robin_diagnostic12","robin_R_tot","francis_R1","francis_R2","francis_R3","francis_R4","francis_M1","francis_scenario","francis_condition","francis_diagnostic12","francis_R_tot","alex_R1","alex_R2","alex_R3","alex_R4","alex_M1","alex_scenario","alex_condition","alex_diagnostic12","alex_R_tot","age","gender","attn_chk_1Q","attn_chk_2_Q"
"R_3sc93x9Lx1dr87A",2,3,5,3,25,"sam","non-diagnostic","ND1",3.25,1,1,1,1,0,"robin","diagnostic","NA",1,2,2,4,2,13,"francis","diagnostic","NA",2.5,2,3,6,4,26,"alex","non-diagnostic","ND2",3.75,43,2,7,2
"R_UhwSe3QCnhIZVgR",1,2,4,5,5,"sam","non-diagnostic","ND1",3,1,3,7,4,11,"robin","diagnostic","NA",3.75,3,4,2,5,30,"francis","diagnostic","NA",3.5,1,2,4,6,13,"alex","non-diagnostic","ND2",3.25,19,1,7,5
"R_3GANMJBV8H3rnuz",1,2,4,2,10,"sam","non-diagnostic","ND1",2.25,1,1,1,1,0,"robin","non-diagnostic","ND2",1,1,1,1,1,0,"francis","diagnostic","NA",1,1,1,1,1,0,"alex","diagnostic","NA",1,19,2,7,5
"R_32PxGG5eD0x01TC",2,2,2,2,15,"sam","non-diagnostic","ND1",2,2,2,1,2,14,"robin","non-diagnostic","ND2",1.75,3,3,4,2,25,"francis","diagnostic","NA",3,1,1,1,1,0,"alex","diagnostic","NA",1,20,1,6,2
"R_9uz4MJIsnh3jrQR",2,2,4,2,31,"sam","non-diagnostic","ND1",2.5,1,1,1,1,9,"robin","diagnostic","NA",1,4,4,7,3,31,"francis","diagnostic","NA",4.5,4,1,3,3,29,"alex","non-diagnostic","ND2",2.75,25,2,1,2
"R_czN6Qigc97HtlZL",1,2,5,3,31,"sam","non-diagnostic","ND1",2.75,3,5,2,3,33,"robin","non-diagnostic","ND2",3.25,1,3,5,4,24,"francis","diagnostic","NA",3.25,2,2,3,5,34,"alex","diagnostic","NA",3,24,2,5,5
"R_1gNGE5ykgUEDWcY",3,3,4,3,36,"sam","non-diagnostic","ND1",3.25,3,3,2,3,20,"robin","non-diagnostic","ND2",2.75,1,1,4,3,29,"francis","diagnostic","NA",2.25,3,3,4,3,38,"alex","diagnostic","NA",3.25,20,2,7,2
"R_vUp0wWKzEDv6He1",3,3,3,3,41,"sam","non-diagnostic","ND1",3,3,4,1,2,29,"robin","non-diagnostic","ND2",2.5,3,3,3,3,39,"francis","diagnostic","NA",3,3,3,4,3,44,"alex","diagnostic","NA",3.25,19,2,5,5
"R_24c1FvMygBLZIw8",3,4,4,3,59,"sam","non-diagnostic","ND1",3.5,3,2,1,2,70,"robin","non-diagnostic","ND2",2,3,4,4,4,69,"francis","diagnostic","NA",3.75,2,1,3,2,72,"alex","diagnostic","NA",2,23,2,5,5
"R_72SNUy2aZuQPReh",2,2,3,3,2,"sam","non-diagnostic","ND1",2.5,1,2,1,1,4,"robin","non-diagnostic","ND2",1.25,2,3,4,2,5,"francis","diagnostic","NA",2.75,2,2,3,2,3,"alex","diagnostic","NA",2.25,20,2,7,2
"R_1n8BBA0fBhClX73",4,4,4,3,47,"sam","non-diagnostic","ND1",3.75,3,3,2,3,45,"robin","diagnostic","NA",2.75,3,3,3,1,42,"francis","diagnostic","NA",2.5,4,4,4,4,49,"alex","non-diagnostic","ND2",4,22,1,7,5
"R_3QDJk5NXE4jleMt",3,3,3,3,35,"sam","non-diagnostic","ND1",3,2,3,2,3,22,"robin","diagnostic","NA",2.5,2,3,3,3,30,"francis","diagnostic","NA",2.75,2,3,2,2,18,"alex","non-diagnostic","ND2",2.25,18,1,6,2
"R_3D1MzU6kDixR5zo",1,2,1,3,21,"sam","non-diagnostic","ND1",1.75,2,1,2,3,24,"robin","non-diagnostic","ND2",2,2,3,4,4,28,"francis","diagnostic","NA",3.25,1,1,3,2,21,"alex","diagnostic","NA",1.75,21,2,2,2
"R_1MJPhcL3N9Kccjf",3,2,6,3,32,"sam","non-diagnostic","ND1",3.5,1,1,2,2,20,"robin","diagnostic","NA",1.5,2,3,4,3,30,"francis","diagnostic","NA",3,2,3,3,3,32,"alex","non-diagnostic","ND2",2.75,20,2,7,5
"R_33ppReim6tFZ1We",2,2,4,1,19,"sam","non-diagnostic","ND1",2.25,1,1,1,1,3,"robin","diagnostic","NA",1,4,3,5,4,47,"francis","diagnostic","NA",4,1,1,1,1,0,"alex","non-diagnostic","ND2",1,29,2,7,2
"R_3s0sCCHOsde5O7B",3,3,5,2,29,"sam","non-diagnostic","ND1",3.25,2,1,2,1,9,"robin","non-diagnostic","ND2",1.5,3,3,5,4,32,"francis","diagnostic","NA",3.75,1,1,2,1,6,"alex","diagnostic","NA",1.25,22,1,2,2
"R_2tEHtMJoHLETs4P",3,3,4,3,26,"sam","non-diagnostic","ND1",3.25,3,3,2,3,36,"robin","diagnostic","NA",2.75,4,3,4,3,40,"francis","diagnostic","NA",3.5,2,2,3,2,15,"alex","non-diagnostic","ND2",2.25,19,2,7,5
"R_1o0i1uDM6FsInIR",1,4,3,3,16,"sam","non-diagnostic","ND1",2.75,1,1,1,1,8,"robin","diagnostic","NA",1,1,2,1,1,10,"francis","diagnostic","NA",1.25,1,1,1,1,13,"alex","non-diagnostic","ND2",1,39,1,7,2
"R_2zYlvtLPBRb7d83",3,2,3,2,25,"sam","non-diagnostic","ND1",2.5,2,2,2,3,22,"robin","non-diagnostic","ND2",2.25,4,3,4,3,32,"francis","diagnostic","NA",3.5,3,2,4,3,28,"alex","diagnostic","NA",3,27,2,6,5
"R_3R1vkXH6eQFbxK0",1,1,3,1,5,"sam","non-diagnostic","ND1",1.5,1,1,1,1,0,"robin","non-diagnostic","ND2",1,1,1,2,1,0,"francis","diagnostic","NA",1.25,1,1,1,1,0,"alex","diagnostic","NA",1,22,1,3,2
"R_C1UhsYjvX8gMSbL",2,4,2,2,28,"sam","non-diagnostic","ND1",2.5,2,2,2,2,32,"robin","non-diagnostic","ND2",2,2,2,2,2,23,"francis","diagnostic","NA",2,2,2,2,2,28,"alex","diagnostic","NA",2,18,1,7,2
"R_1lztGgtiNw6zBKk",1,3,4,3,70,"sam","non-diagnostic","ND1",2.75,4,6,2,4,94,"robin","non-diagnostic","ND2",4,2,2,4,5,70,"francis","diagnostic","NA",3.25,2,2,4,3,81,"alex","diagnostic","NA",2.75,28,2,7,2
"R_2X0C0re5nCnCWDF",3,3,3,3,47,"sam","non-diagnostic","ND1",3,1,1,1,1,23,"robin","diagnostic","NA",1,2,2,2,2,29,"francis","diagnostic","NA",2,3,3,3,3,42,"alex","non-diagnostic","ND2",3,43,2,7,2
"R_qW3gqZr9y6P7QTn",2,3,5,2,18,"sam","non-diagnostic","ND1",3,1,2,2,3,8,"robin","diagnostic","NA",2,2,2,4,2,10,"francis","diagnostic","NA",2.5,1,2,4,1,10,"alex","non-diagnostic","ND2",2,21,2,6,2
"R_ROZXdVTcNqJwOEF",4,4,4,4,45,"sam","non-diagnostic","ND1",4,3,4,3,3,43,"robin","non-diagnostic","ND2",3.25,4,4,4,4,44,"francis","diagnostic","NA",4,2,3,3,4,40,"alex","diagnostic","NA",3,21,1,7,2
"R_3jdJCom3XWu5iLb",3,3,4,2,35,"sam","non-diagnostic","ND1",3,1,1,1,1,8,"robin","diagnostic","NA",1,4,3,4,4,37,"francis","diagnostic","NA",3.75,2,1,4,1,10,"alex","non-diagnostic","ND2",2,45,2,7,5
"R_2uwaIybTyTHVlIe",1,1,2,1,10,"sam","non-diagnostic","ND1",1.25,2,2,2,3,25,"robin","non-diagnostic","ND2",2.25,3,2,4,5,30,"francis","diagnostic","NA",3.5,1,1,2,1,9,"alex","diagnostic","NA",1.25,20,2,7,2
"R_1PUdgREgPLwIWiZ",1,1,4,4,40,"sam","non-diagnostic","ND1",2.5,1,1,1,2,15,"robin","diagnostic","NA",1.25,1,1,2,2,25,"francis","diagnostic","NA",1.5,2,2,3,3,35,"alex","non-diagnostic","ND2",2.5,19,2,7,5
"R_yyZpzab8UrPXvkB",3,3,3,3,25,"sam","non-diagnostic","ND1",3,3,3,2,3,19,"robin","diagnostic","NA",2.75,3,3,4,3,25,"francis","diagnostic","NA",3.25,3,2,3,3,21,"alex","non-diagnostic","ND2",2.75,18,2,7,5
"R_3IQwxn5rgRuBMdg",3,3,4,2,40,"sam","non-diagnostic","ND1",3,3,3,2,4,40,"robin","non-diagnostic","ND2",3,4,4,4,4,49,"francis","diagnostic","NA",4,3,3,4,3,40,"alex","diagnostic","NA",3.25,27,2,7,5
"R_42CVQsWAakLxARz",2,2,2,2,20,"sam","non-diagnostic","ND1",2,3,4,1,1,20,"robin","diagnostic","NA",2.25,2,2,2,2,20,"francis","diagnostic","NA",2,2,2,2,1,10,"alex","non-diagnostic","ND2",1.75,32,1,7,2
"R_1Oppg6poeSehqwR",2,2,4,2,20,"sam","non-diagnostic","ND1",2.5,1,2,1,1,20,"robin","non-diagnostic","ND2",1.25,2,1,2,1,0,"francis","diagnostic","NA",1.5,2,1,2,2,0,"alex","diagnostic","NA",1.75,21,2,7,5
"R_1f9GPIJfBFbN5FT",2,3,4,2,35,"sam","non-diagnostic","ND1",2.75,1,1,2,2,10,"robin","diagnostic","NA",1.5,2,2,4,3,31,"francis","diagnostic","NA",2.75,2,2,3,3,25,"alex","non-diagnostic","ND2",2.5,19,1,7,2
"R_1nMUZAGpgjwzcQW",3,4,4,4,30,"sam","non-diagnostic","ND1",3.75,2,2,2,2,20,"robin","non-diagnostic","ND2",2,1,1,3,1,0,"francis","diagnostic","NA",1.5,1,1,1,1,10,"alex","diagnostic","NA",1,23,2,5,2
"R_tY728wRNCSgvewN",1,1,1,1,0,"sam","non-diagnostic","ND1",1,2,3,1,2,15,"robin","non-diagnostic","ND2",2,1,1,1,1,0,"francis","diagnostic","NA",1,1,1,1,1,0,"alex","diagnostic","NA",1,28,2,7,2
"R_9YOseDVWRgLhEtz",2,1,3,2,10,"sam","non-diagnostic","ND1",2,3,1,1,3,10,"robin","diagnostic","NA",2,4,3,3,3,40,"francis","diagnostic","NA",3.25,2,1,2,2,10,"alex","non-diagnostic","ND2",1.75,22,2,7,2
"R_2SwCM2mt2DqUE9r",4,4,4,5,70,"sam","non-diagnostic","ND1",4.25,1,1,1,1,10,"robin","diagnostic","NA",1,2,3,5,4,50,"francis","diagnostic","NA",3.5,3,3,4,4,40,"alex","non-diagnostic","ND2",3.5,20,2,7,2
"R_3qPfegJCjpB5pqT",2,2,2,2,80,"sam","non-diagnostic","ND1",2,3,3,2,4,40,"robin","non-diagnostic","ND2",3,2,1,3,3,65,"francis","diagnostic","NA",2.25,2,2,3,1,80,"alex","diagnostic","NA",2,26,1,7,2
"R_2cb9gxmJxWfe289",3,3,5,3,34,"sam","non-diagnostic","ND1",3.5,2,2,3,3,26,"robin","non-diagnostic","ND2",2.5,3,3,4,4,32,"francis","diagnostic","NA",3.5,2,2,3,2,20,"alex","diagnostic","NA",2.25,24,1,7,2
"R_2AXXKnEEt0rD26o",2,2,4,3,18,"sam","non-diagnostic","ND1",2.75,1,3,1,2,8,"robin","non-diagnostic","ND2",1.75,2,3,4,3,31,"francis","diagnostic","NA",3,2,2,3,2,25,"alex","diagnostic","NA",2.25,22,1,7,5
"R_1lgggCuNIAyUErJ",4,4,4,4,50,"sam","non-diagnostic","ND1",4,4,4,4,4,50,"robin","diagnostic","NA",4,5,4,4,4,50,"francis","diagnostic","NA",4.25,4,4,4,4,50,"alex","non-diagnostic","ND2",4,40,2,7,2
"R_RlhYb8jPFbpZd97",3,2,4,5,30,"sam","non-diagnostic","ND1",3.5,1,1,1,1,5,"robin","diagnostic","NA",1,2,1,2,3,15,"francis","diagnostic","NA",2,1,1,1,1,0,"alex","non-diagnostic","ND2",1,18,1,7,2
"R_2y33Bu7oxsAkJ66",2,2,2,2,23,"sam","non-diagnostic","ND1",2,4,3,2,3,35,"robin","diagnostic","NA",3,3,3,4,4,40,"francis","diagnostic","NA",3.5,2,2,3,2,30,"alex","non-diagnostic","ND2",2.25,22,1,7,5
"R_1kGmXrayZdkDsS7",4,1,3,4,4,"sam","non-diagnostic","ND1",3,4,1,1,4,13,"robin","non-diagnostic","ND2",2.5,4,4,4,4,50,"francis","diagnostic","NA",4,4,2,4,3,8,"alex","diagnostic","NA",3.25,37,1,7,2
"R_W87wVCoz1nLpuZH",3,2,4,2,30,"sam","non-diagnostic","ND1",2.75,2,2,1,1,10,"robin","diagnostic","NA",1.5,4,4,4,4,45,"francis","diagnostic","NA",4,4,3,3,3,40,"alex","non-diagnostic","ND2",3.25,25,2,7,5
"R_2OVdJ9LWSNhbjCv",4,2,2,2,20,"sam","non-diagnostic","ND1",2.5,4,2,1,2,20,"robin","non-diagnostic","ND2",2.25,4,1,4,2,20,"francis","diagnostic","NA",2.75,4,2,2,2,20,"alex","diagnostic","NA",2.5,27,2,7,2
"R_3mjz2WfoB4rCAjI",2,2,5,2,25,"sam","non-diagnostic","ND1",2.75,2,2,2,2,15,"robin","non-diagnostic","ND2",2,4,2,5,4,30,"francis","diagnostic","NA",3.75,2,2,5,4,30,"alex","diagnostic","NA",3.25,22,1,7,2
"R_2P576ttTSLoibZF",2,1,4,3,21,"sam","non-diagnostic","ND1",2.5,2,3,1,4,29,"robin","non-diagnostic","ND2",2.5,1,1,2,1,19,"francis","diagnostic","NA",1.25,2,3,5,1,23,"alex","diagnostic","NA",2.75,18,1,7,2
"R_3EtARzNAKkWCuP1",3,3,3,4,10,"sam","non-diagnostic","ND1",3.25,3,3,3,4,10,"robin","diagnostic","NA",3.25,3,3,3,4,10,"francis","diagnostic","NA",3.25,3,3,3,4,10,"alex","non-diagnostic","ND2",3.25,19,2,7,2
"R_2QXnd7mBHFgKGMX",2,2,2,2,35,"sam","non-diagnostic","ND1",2,1,2,1,1,0,"robin","diagnostic","NA",1.25,1,1,3,3,30,"francis","diagnostic","NA",2,1,1,1,1,20,"alex","non-diagnostic","ND2",1,38,2,7,2
"R_3R8UVujKwfhy5WA",2,2,2,2,18,"sam","non-diagnostic","ND1",2,1,1,1,1,15,"robin","non-diagnostic","ND2",1,3,3,6,3,25,"francis","diagnostic","NA",3.75,1,1,1,1,9,"alex","diagnostic","NA",1,31,2,5,5
"R_2YP0MDZAswKmFeZ",2,2,2,2,18,"sam","non-diagnostic","ND1",2,3,3,1,3,31,"robin","diagnostic","NA",2.5,2,2,2,2,16,"francis","diagnostic","NA",2,2,1,2,2,12,"alex","non-diagnostic","ND2",1.75,23,1,3,5
"R_10HrxH0CvVY5afo",4,4,4,4,52,"sam","non-diagnostic","ND1",4,4,4,4,4,50,"robin","diagnostic","NA",4,4,4,4,4,50,"francis","diagnostic","NA",4,4,4,4,4,50,"alex","non-diagnostic","ND2",4,36,1,7,5
"R_26nJrFI8Ulco18W",4,4,4,4,50,"sam","non-diagnostic","ND1",4,4,4,4,4,50,"robin","non-diagnostic","ND2",4,4,4,4,4,51,"francis","diagnostic","NA",4,1,1,4,2,0,"alex","diagnostic","NA",2,20,1,7,2
"R_27rHdgfiezueN88",1,1,1,1,11,"sam","non-diagnostic","ND1",1,1,1,1,1,0,"robin","diagnostic","NA",1,2,3,5,4,40,"francis","diagnostic","NA",3.5,1,1,2,1,19,"alex","non-diagnostic","ND2",1.25,19,2,7,5
"R_1rdlNGMC81w3HmV",3,3,4,3,35,"sam","non-diagnostic","ND1",3.25,2,3,5,3,28,"robin","non-diagnostic","ND2",3.25,3,3,4,3,40,"francis","diagnostic","NA",3.25,3,2,3,2,20,"alex","diagnostic","NA",2.5,21,2,7,2
"R_2chC40Fe8SFIUcR",4,4,4,4,50,"sam","non-diagnostic","ND1",4,4,4,4,4,50,"robin","diagnostic","NA",4,4,4,4,4,50,"francis","diagnostic","NA",4,4,4,4,4,50,"alex","non-diagnostic","ND2",4,58,1,7,2
"R_1FOCionaPHAmgOo",5,4,6,4,49,"sam","non-diagnostic","ND1",4.75,2,3,1,3,36,"robin","non-diagnostic","ND2",2.25,5,4,6,5,72,"francis","diagnostic","NA",5,1,1,1,1,10,"alex","diagnostic","NA",1,22,2,6,5
"R_VPuml39c0OsbE2J",2,3,4,1,28,"sam","non-diagnostic","ND1",2.5,1,1,1,3,10,"robin","diagnostic","NA",1.5,4,4,4,4,47,"francis","diagnostic","NA",4,3,1,2,1,25,"alex","non-diagnostic","ND2",1.75,19,2,3,2
"R_C3NmdMfCAswkrpn",3,3,4,1,40,"sam","non-diagnostic","ND1",2.75,2,2,1,2,25,"robin","non-diagnostic","ND2",1.75,2,1,4,3,25,"francis","diagnostic","NA",2.5,1,1,4,1,15,"alex","diagnostic","NA",1.75,23,2,7,5
"R_bKn7IIMAfwmTUd3",4,3,4,4,50,"sam","non-diagnostic","ND1",3.75,4,3,2,4,19,"robin","non-diagnostic","ND2",3.25,4,4,4,4,61,"francis","diagnostic","NA",4,3,2,3,3,39,"alex","diagnostic","NA",2.75,23,2,7,5
"R_577j683rBna4Imd",2,2,3,2,24,"sam","non-diagnostic","ND1",2.25,3,3,2,3,34,"robin","diagnostic","NA",2.75,4,4,2,3,50,"francis","diagnostic","NA",3.25,2,2,1,1,10,"alex","non-diagnostic","ND2",1.5,21,1,7,2
"R_2BfTT03l9NcJ5Ms",1,1,1,1,0,"sam","non-diagnostic","ND1",1,1,1,1,1,0,"robin","non-diagnostic","ND2",1,1,1,1,1,0,"francis","diagnostic","NA",1,1,1,1,1,0,"alex","diagnostic","NA",1,45,1,5,2
"R_sOvfRccfHFgcwtH",4,3,4,2,33,"sam","non-diagnostic","ND1",3.25,4,4,4,3,40,"robin","diagnostic","NA",3.75,4,3,4,3,43,"francis","diagnostic","NA",3.5,4,3,4,3,40,"alex","non-diagnostic","ND2",3.5,21,2,7,5
"R_27jOEGBwohLqgoz",2,2,1,1,5,"sam","non-diagnostic","ND1",1.5,2,3,2,2,15,"robin","non-diagnostic","ND2",2.25,2,2,6,2,25,"francis","diagnostic","NA",3,1,1,1,1,0,"alex","diagnostic","NA",1,23,1,7,5
"R_1f0NmXPmt6iKEdR",2,2,3,2,13,"sam","non-diagnostic","ND1",2.25,3,3,1,1,30,"robin","non-diagnostic","ND2",2,4,3,2,3,24,"francis","diagnostic","NA",3,3,2,3,2,15,"alex","diagnostic","NA",2.5,20,2,3,2
"R_3fJXbeSaaJwku8M",3,3,3,3,15,"sam","non-diagnostic","ND1",3,3,3,1,3,16,"robin","diagnostic","NA",2.5,3,3,3,3,18,"francis","diagnostic","NA",3,2,3,2,2,19,"alex","non-diagnostic","ND2",2.25,21,2,3,2
"R_sb64lskbtM13Bpn",1,1,3,1,20,"sam","non-diagnostic","ND1",1.5,3,4,1,3,30,"robin","non-diagnostic","ND2",2.75,2,2,4,1,33,"francis","diagnostic","NA",2.25,1,1,4,1,8,"alex","diagnostic","NA",1.75,22,2,7,5
"R_2D2Ewy6Y7Cn2KYE",3,4,5,4,50,"sam","non-diagnostic","ND1",4,4,3,2,4,40,"robin","non-diagnostic","ND2",3.25,3,3,4,4,50,"francis","diagnostic","NA",3.5,2,1,3,4,39,"alex","diagnostic","NA",2.5,22,2,2,5
"R_xhYxl8qPkUdqhYB",2,1,4,2,10,"sam","non-diagnostic","ND1",2.25,1,2,1,2,6,"robin","diagnostic","NA",1.5,2,2,2,3,12,"francis","diagnostic","NA",2.25,1,1,2,2,5,"alex","non-diagnostic","ND2",1.5,19,2,7,2
"R_1imsC09Y3N5YGiv",2,2,3,3,20,"sam","non-diagnostic","ND1",2.5,1,1,1,2,10,"robin","diagnostic","NA",1.25,3,3,4,4,45,"francis","diagnostic","NA",3.5,1,1,2,1,13,"alex","non-diagnostic","ND2",1.25,20,2,7,2
"R_pLYvXK09IG2fi9j",3,2,3,4,37,"sam","non-diagnostic","ND1",3,2,4,3,4,28,"robin","diagnostic","NA",3.25,2,3,4,4,41,"francis","diagnostic","NA",3.25,2,3,2,3,51,"alex","non-diagnostic","ND2",2.5,21,2,2,2
"R_PNAnWXYxijgypTH",4,4,4,4,49,"sam","non-diagnostic","ND1",4,4,4,4,4,49,"robin","non-diagnostic","ND2",4,5,3,3,3,20,"francis","diagnostic","NA",3.5,3,3,3,3,30,"alex","diagnostic","NA",3,28,1,7,5
"R_2391e9Rq39jpdUt",2,2,4,1,20,"sam","non-diagnostic","ND1",2.25,1,1,1,1,0,"robin","diagnostic","NA",1,4,4,6,4,50,"francis","diagnostic","NA",4.5,1,1,1,1,0,"alex","non-diagnostic","ND2",1,21,1,7,5
"R_1mI8jh3bIBTiJbB",3,2,4,3,24,"sam","non-diagnostic","ND1",3,2,2,1,2,17,"robin","non-diagnostic","ND2",1.75,3,3,5,4,35,"francis","diagnostic","NA",3.75,2,2,4,2,23,"alex","diagnostic","NA",2.5,23,2,7,5
"R_3Dm0T3cGxLxiRvX",2,2,2,2,20,"sam","non-diagnostic","ND1",2,2,1,2,2,14,"robin","non-diagnostic","ND2",1.75,4,3,4,3,34,"francis","diagnostic","NA",3.5,3,2,3,3,24,"alex","diagnostic","NA",2.75,21,2,7,2
"R_3q8VdlBEtAujUDQ",1,1,4,3,0,"sam","non-diagnostic","ND1",2.25,1,2,1,1,1,"robin","non-diagnostic","ND2",1.25,1,1,3,3,1,"francis","diagnostic","NA",2,1,1,2,1,0,"alex","diagnostic","NA",1.25,19,2,7,2
"R_271NigiVHgd0I0o",2,2,3,3,20,"sam","non-diagnostic","ND1",2.5,2,2,2,3,25,"robin","diagnostic","NA",2.25,3,3,4,3,29,"francis","diagnostic","NA",3.25,2,2,3,3,24,"alex","non-diagnostic","ND2",2.5,22,1,7,2
"R_2tmO4i9uYDXaz4m",3,3,3,3,28,"sam","non-diagnostic","ND1",3,1,2,2,2,14,"robin","diagnostic","NA",1.75,2,2,2,2,19,"francis","diagnostic","NA",2,3,3,3,3,20,"alex","non-diagnostic","ND2",3,18,1,7,2
"R_2cpYzJib9guycCu",4,3,2,3,38,"sam","non-diagnostic","ND1",3,3,4,2,3,40,"robin","non-diagnostic","ND2",3,3,2,5,3,25,"francis","diagnostic","NA",3.25,2,3,5,2,30,"alex","diagnostic","NA",3,20,2,7,2
"R_2QsaHF5ak9E8Alz",4,4,3,3,31,"sam","non-diagnostic","ND1",3.5,3,4,3,4,39,"robin","non-diagnostic","ND2",3.5,2,2,3,2,4,"francis","diagnostic","NA",2.25,2,1,4,2,15,"alex","diagnostic","NA",2.25,31,1,7,3
"R_2b3qHxjBNyOGF2u",3,2,4,2,19,"sam","non-diagnostic","ND1",2.75,3,2,4,2,20,"robin","diagnostic","NA",2.75,1,1,2,2,10,"francis","diagnostic","NA",1.5,2,2,3,2,20,"alex","non-diagnostic","ND2",2.25,19,2,7,2
"R_8dEZklfxhYw8EbD",2,1,3,1,15,"sam","non-diagnostic","ND1",1.75,3,2,1,3,32,"robin","non-diagnostic","ND2",2.25,4,3,5,3,36,"francis","diagnostic","NA",3.75,2,2,2,2,6,"alex","diagnostic","NA",2,20,3,7,2
"R_3QMHyRDPdwyptrJ",1,1,3,3,24,"sam","non-diagnostic","ND1",2,1,1,2,2,9,"robin","diagnostic","NA",1.5,3,4,4,4,45,"francis","diagnostic","NA",3.75,2,1,4,2,34,"alex","non-diagnostic","ND2",2.25,39,1,7,2
"R_1puuHhAwaMUUIzr",4,4,4,3,50,"sam","non-diagnostic","ND1",3.75,4,4,3,3,50,"robin","non-diagnostic","ND2",3.5,4,4,4,3,50,"francis","diagnostic","NA",3.75,4,4,2,2,50,"alex","diagnostic","NA",3,50,1,7,2
"R_p4s55QVRTtG5qox",3,1,3,2,11,"sam","non-diagnostic","ND1",2.25,3,1,1,1,0,"robin","diagnostic","NA",1.5,2,2,3,2,15,"francis","diagnostic","NA",2.25,2,1,3,1,5,"alex","non-diagnostic","ND2",1.75,18,3,7,5
"R_2wtdIpwo78WpFuT",1,1,1,1,10,"sam","non-diagnostic","ND1",1,1,1,1,1,10,"robin","non-diagnostic","ND2",1,2,2,2,2,20,"francis","diagnostic","NA",2,1,1,1,1,10,"alex","diagnostic","NA",1,40,1,5,2
"R_3MKaXB9hIDnuzne",1,1,4,3,16,"sam","non-diagnostic","ND1",2.25,2,1,1,2,10,"robin","non-diagnostic","ND2",1.5,2,1,4,3,18,"francis","diagnostic","NA",2.5,2,1,2,2,13,"alex","diagnostic","NA",1.75,21,2,7,2
