"ResponseId","R1","R2","R3","R4","M1","scenario","condition","diagnostic12","valence","age","gender","attn_chk_1Q","attn_chk_2_Q","R_tot","M1R_tot"
"R_2qqsfCTY8DZaAdv",7,1,1,1,95,"sam","non-diagnostic","ND1","good",22,1,2,2,2.5,0.154257167422336
"R_4ONu92stbpKK1J7",7,7,6,7,90,"sam","non-diagnostic","ND1","good",17,1,4,5,6.75,1.13887979668419
"R_3KBkHxT3C52iNqq",7,7,7,7,91,"sam","non-diagnostic","ND1","good",26,5,7,5,7,1.21850274551067
"R_CleAgQKC1lRPQ9H",6,5,7,6,85,"sam","non-diagnostic","ND1","good",19,2,2,5,6,0.866468450133097
"R_2nHTYZz23SYvkyJ",7,7,7,7,99,"sam","non-diagnostic","ND1","good",18,1,7,5,7,1.3526727457973
"R_BSsl2IBjz3gekw1",5,5,5,6,80,"sam","non-diagnostic","ND1","good",NA,NA,7,NA,5.25,0.594057103582005
"R_2WvapPd05LsAbjr",7,6,6,7,90,"sam","non-diagnostic","ND1","good",19,2,7,2,6.5,1.07602809789354
"R_32RxK4UfFCGqx1S",7,7,7,7,100,"sam","non-diagnostic","ND1","good",19,1,7,2,7,1.36944399583314
"R_OHyOjofCUMKbcZ3",7,5,4,5,73,"sam","non-diagnostic","ND1","good",19,2,2,2,5.25,0.476658353331195
"R_2zOU6ncFdxQNv90",6,6,5,4,64,"sam","non-diagnostic","ND1","good",18,2,7,5,5.25,0.325717103008726
"R_2PA9OgM1SQ8lV5s",6,7,7,7,84,"sam","non-diagnostic","ND1","good",18,2,7,5,6.75,1.03825229646921
"R_2bK5pi7lY427sdo",7,5,7,5,68,"sam","non-diagnostic","ND1","good",18,2,7,5,6,0.581357199523987
"R_bHm3UkJj0AyS1oZ",7,7,7,7,100,"sam","non-diagnostic","ND1","good",42,2,7,2,7,1.36944399583314
"R_Rf6VMLsqm5NuRjj",6,6,7,6,74,"sam","non-diagnostic","ND1","good",21,2,7,2,6.25,0.744836398529614
"R_2zoPMfZcKRetaUM",6,6,6,6,84,"sam","non-diagnostic","ND1","good",19,1,1,2,6,0.849697200097267
"R_OdHRq2DjzG6zxE5",7,7,7,7,100,"sam","non-diagnostic","ND1","good",47,1,7,2,7,1.36944399583314
"R_vJsD5LQohCse7iV",6,6,6,6,81,"sam","non-diagnostic","ND1","good",19,2,7,2,6,0.799383449989777
"R_3HnVGH2uTRpiY8a",7,6,6,7,100,"sam","non-diagnostic","ND1","good",17,1,1,5,6.5,1.24374059825184
"R_a5aj7UG1qAenJWp",6,6,6,6,77,"sam","non-diagnostic","ND1","good",19,2,7,5,6,0.732298449846457
"R_2CZJ5iPThlyFTCP",7,7,7,7,90,"sam","non-diagnostic","ND1","good",19,2,7,5,7,1.20173149547484
"R_1nW20RSp1CBPV82",4,4,5,5,70,"sam","non-diagnostic","ND1","good",19,2,7,2,4.5,0.237789506851764
"R_Pu19oMpCM7f6jCx",7,7,7,7,93,"sam","non-diagnostic","ND1","good",22,2,6,2,7,1.25204524558233
"R_1l3ilkKpqvA21Km",7,7,7,7,100,"sam","non-diagnostic","ND1","good",21,1,7,2,7,1.36944399583314
"R_1EaD8fgdDRyjQbu",7,7,7,7,98,"sam","non-diagnostic","ND1","good",21,2,7,2,7,1.33590149576148
"R_1HiwQfn0El3pbnx",6,6,5,5,84,"sam","non-diagnostic","ND1","good",22,1,7,5,5.5,0.723993802515972
"R_elZDjcKCVOxBmSJ",7,7,7,7,100,"sam","non-diagnostic","ND1","good",36,1,7,2,7,1.36944399583314
"R_6tg8tgJzbAbt4Vr",7,7,7,7,95,"sam","non-diagnostic","ND1","good",23,2,5,5,7,1.28558774565399
"R_22E2xJDPk2RA6fO",7,7,7,7,84,"sam","non-diagnostic","ND1","good",27,1,7,2,7,1.10110399525986
"R_22lycM9PfPbxAPb",7,7,5,6,95,"sam","non-diagnostic","ND1","good",22,1,5,2,6.25,1.09703264928204
"R_DVj0aY3pAUzaSKB",6,7,7,6,81,"sam","non-diagnostic","ND1","good",22,2,2,2,6.5,0.925086847571071
"R_9ojxPmxwFdDOhbj",7,7,7,6,85,"sam","non-diagnostic","ND1","good",19,1,7,2,6.75,1.05502354650504
"R_2S82U7qdsJxGgpI",6,6,3,6,75,"sam","non-diagnostic","ND1","good",21,2,3,2,5.25,0.510200853402855
"R_3PiYahrMglTXHIp",7,7,7,7,100,"sam","non-diagnostic","ND1","good",19,2,2,2,7,1.36944399583314
"R_3OpFEwRwECRxbM8",5,5,4,4,60,"sam","non-diagnostic","ND1","good",29,1,7,5,4.5,0.0700770064934642
"R_2v32RWZJpnG2RAT",7,7,7,7,95,"sam","non-diagnostic","ND1","good",21,2,7,2,7,1.28558774565399
"R_2wQuHekJVnLdgsm",7,7,7,7,92,"sam","non-diagnostic","ND1","good",35,2,6,2,7,1.2352739955465
"R_2aJreDkB6IxSXwa",6,6,6,6,80,"sam","non-diagnostic","ND1","good",22,1,7,5,6,0.782612199953947
"R_yxMBFWiuAJWcuGZ",7,7,6,7,95,"sam","non-diagnostic","ND1","good",40,2,7,5,6.75,1.22273604686334
"R_20PqyD22eLwMt6z",7,7,7,6,90,"sam","non-diagnostic","ND1","good",23,2,7,5,6.75,1.13887979668419
"R_2tLOCcghGeNLSR8",7,7,5,7,92,"sam","non-diagnostic","ND1","good",20,2,5,5,6.5,1.1095705979652
"R_1jHTr8ek0eS4aqT",7,7,7,7,87,"sam","non-diagnostic","ND1","good",21,2,7,5,7,1.15141774536735
"R_wWTvjIurkBCHzoZ",7,7,7,7,100,"sam","non-diagnostic","ND1","good",22,2,7,5,7,1.36944399583314
"R_3DuRTPf4YqUfwM9",6,6,6,6,90,"sam","non-diagnostic","ND1","good",18,2,7,2,6,0.950324700312246
"R_3iVHlnVkO3s0Ieu",6,5,6,7,80,"sam","non-diagnostic","ND1","good",21,5,7,5,6,0.782612199953947
"R_2PA7WLq2bB6O8r4",6,6,2,6,85,"sam","non-diagnostic","ND1","good",54,2,7,2,5,0.615061654970508
"R_1ezAQjmdqwl78iY",5,6,2,2,80,"sam","non-diagnostic","ND1","good",23,1,5,2,3.75,0.216946910838122
"R_1NwQUitjfo8ex8R",6,6,6,6,70,"sam","non-diagnostic","ND1","good",22,1,7,2,6,0.614899699595647
"R_24JcH403LrceBi3",7,7,7,7,100,"sam","non-diagnostic","ND1","good",27,1,7,2,7,1.36944399583314
"R_1IQbx4uFlQYQrqQ",6,6,6,7,90,"sam","non-diagnostic","ND1","good",24,2,7,2,6.25,1.01317639910289
"R_1K1IZr2vO0YuTRs",5,7,6,6,68,"sam","non-diagnostic","ND1","good",19,3,7,2,6,0.581357199523987
"R_rfGhCxczzktDQT7",7,7,7,7,100,"sam","non-diagnostic","ND1","good",22,2,7,2,7,1.36944399583314
"R_2tnAAbfisgqVnoe",6,6,5,6,71,"sam","non-diagnostic","ND1","good",57,1,7,2,5.75,0.56881925084083
"R_2691d0vMgAFJgyf",6,6,7,6,80,"sam","non-diagnostic","ND1","good",19,2,7,2,6.25,0.845463898744594
"R_1gGRJJmn7ECEt7g",7,7,4,7,98,"sam","non-diagnostic","ND1","good",47,2,2,5,6.25,1.14734639938953
"R_agRrUGMVUTN4Qxz",7,7,7,7,100,"sam","non-diagnostic","ND1","good",23,2,5,2,7,1.36944399583314
"R_2X0SoHlkq3Pz7bc",7,7,7,7,100,"sam","non-diagnostic","ND1","good",19,1,5,5,7,1.36944399583314
"R_1n12toO5WorJZuD",6,6,6,6,88,"sam","non-diagnostic","ND1","good",20,2,7,5,6,0.916782200240587
"R_12DAT5YU3OZEJeA",6,6,6,6,89,"sam","non-diagnostic","ND1","good",21,2,4,5,6,0.933553450276417
"R_32Yn7uQEHdBLpEL",7,7,6,7,98,"sam","non-diagnostic","ND1","good",19,2,7,2,6.75,1.27304979697083
"R_9Y7yYUMUJD6iE6Z",5,5,4,6,60,"sam","non-diagnostic","ND1","good",NA,NA,7,5,5,0.195780404074759
"R_1GJt2pfAungW6Rq",6,6,5,3,76,"sam","non-diagnostic","ND1","good",21,1,7,2,5,0.464120404648038
"R_1IXwDFlhFGhbUru",6,6,6,6,81,"sam","non-diagnostic","ND1","good",42,2,7,2,6,0.799383449989777
"R_2XbO0v7r92kcTSl",7,6,6,6,90,"sam","non-diagnostic","ND1","good",24,2,7,2,6.25,1.01317639910289
"R_33wL2fe9LwlPn40",6,6,4,7,84,"sam","non-diagnostic","ND1","good",20,2,7,5,5.75,0.786845501306619
"R_1FJPmnBr47jKSuH",7,7,7,7,100,"sam","non-diagnostic","ND1","good",19,2,7,5,7,1.36944399583314
"R_1DCD2XPyIOl50ax",6,6,7,6,81,"sam","non-diagnostic","ND1","good",19,2,7,5,6.25,0.862235148780424
"R_2Xo0JXEib768mxM",5,5,7,4,63,"sam","non-diagnostic","ND1","good",37,2,2,5,5.25,0.308945852972896
"R_3Rf2AOyahKUvIi6",6,6,6,5,71,"sam","non-diagnostic","ND1","good",34,1,6,5,5.75,0.56881925084083
"R_2DYrWFjQy9E3aSv",6,5,5,5,75,"sam","non-diagnostic","ND1","good",18,1,7,2,5.25,0.510200853402855
"R_3HYNXtbMdEjAEqg",7,7,7,7,100,"sam","non-diagnostic","ND1","good",50,1,7,5,7,1.36944399583314
"R_AEFyIj9ta5FY5i1",4,4,4,3,40,"sam","non-diagnostic","ND1","good",19,2,5,2,3.75,-0.453903090595077
"R_2CrowUCyfufnNLE",6,4,6,6,88,"sam","non-diagnostic","ND1","good",18,1,7,2,5.5,0.791078802659292
"R_UVERxGOKjQ1XYBz",6,6,6,6,82,"sam","non-diagnostic","ND1","good",43,2,7,5,6,0.816154700025607
"R_1Q6Ext5LBPJJ5TC",7,7,7,7,96,"sam","non-diagnostic","ND1","good",21,2,5,2,7,1.30235899568982
"R_3PR0hWg0lsGZqGv",4,7,7,7,65,"sam","non-diagnostic","ND1","good",47,2,7,5,6.25,0.593895148207144
"R_3DiNxy8judr2V30",7,6,6,6,71,"sam","non-diagnostic","ND1","good",21,2,2,2,6.25,0.694522648422124
"R_3iKh0jQSt6UOuNi",6,6,6,4,92,"sam","non-diagnostic","ND1","good",27,2,7,5,5.5,0.858163802802612
"R_SOuHPpxCbgLG7kJ",5,6,7,7,90,"sam","non-diagnostic","ND1","good",21,1,7,5,6.25,1.01317639910289
"R_3FWiyyi4xWyc3HT",7,7,6,6,100,"sam","non-diagnostic","ND1","good",20,2,7,2,6.5,1.24374059825184
"R_1lnxaKDpohTNMQ3",6,6,6,6,76,"sam","non-diagnostic","ND1","good",22,2,2,5,6,0.715527199810627
"R_9Nezf9noR1yvU9H",7,7,4,7,100,"sam","non-diagnostic","ND1","good",21,2,7,2,6.25,1.18088889946119
"R_7a3WMs4SQFjwUDv",7,7,7,7,80,"sam","non-diagnostic","ND1","good",44,2,7,5,7,1.03401899511654
"R_3EhVpA5idBactnU",7,7,7,7,93,"sam","non-diagnostic","ND1","good",56,2,7,2,7,1.25204524558233
"R_1oovbJhUK5zA5Pj",5,6,5,6,83,"sam","non-diagnostic","ND1","good",21,2,7,5,5.5,0.707222552480142
"R_2yaebbu1YG9O2zz",6,6,6,6,71,"sam","non-diagnostic","ND1","good",21,1,5,2,6,0.631670949631477
"R_1LkDJbmUGbocV8I",6,6,4,5,85,"sam","non-diagnostic","ND1","good",19,1,7,5,5.25,0.677913353761155
"R_2uQlcEktQSh0lTk",6,6,7,7,95,"sam","non-diagnostic","ND1","good",18,1,7,2,6.5,1.15988434807269
"R_b3HgGOH8PiFfEGt",7,7,5,6,87,"sam","non-diagnostic","ND1","good",21,1,7,5,6.25,0.962862648995404
"R_ddqCFFnzWqP6Rgd",7,7,7,7,100,"sam","non-diagnostic","ND1","good",19,2,7,5,7,1.36944399583314
"R_3OjgNPX7uvVWGS7",6,6,4,6,81,"sam","non-diagnostic","ND1","good",52,2,7,2,5.5,0.673680052408482
"R_3Kp6EZy5Gt2pNvN",6,6,4,5,80,"sam","non-diagnostic","ND1","good",20,1,7,2,5.25,0.594057103582005
"R_Th2kXkbsr9TrTuF",7,6,6,5,80,"sam","non-diagnostic","ND1","good",31,1,7,2,6,0.782612199953947
"R_1EjsghEbZym8PrN",7,7,7,7,100,"sam","non-diagnostic","ND1","good",20,2,3,2,7,1.36944399583314
"R_2EgINe8y4qjVxYk",6,6,5,6,85,"sam","non-diagnostic","ND1","good",21,2,2,2,5.75,0.803616751342449
"R_5mx6XDTugsfw97X",6,6,4,6,80,"sam","non-diagnostic","ND1","good",19,1,7,5,5.5,0.656908802372652
"R_1qha3cd2dbeLXzT",7,7,1,1,100,"sam","non-diagnostic","ND1","good",22,2,5,5,4,0.615223610345369
"R_1rH65bdS4ASiegh",7,7,7,7,100,"sam","non-diagnostic","ND1","good",NA,NA,2,5,7,1.36944399583314
"R_302DtZ8QXpver1r",7,7,7,5,100,"sam","non-diagnostic","ND1","good",20,2,2,5,6.5,1.24374059825184
"R_3DezFqhd7JyyiXe",5,5,5,6,72,"sam","non-diagnostic","ND1","good",23,2,2,2,5.25,0.459887103295365
"R_bqnhEi4EKLkQLiF",7,7,7,7,100,"sam","non-diagnostic","ND1","good",21,2,7,2,7,1.36944399583314
"R_PGMrcY5ma0Taw5H",5,5,5,4,67,"sam","non-diagnostic","ND1","good",21,2,7,2,4.75,0.250327455534921
"R_2rBijnp4AqoW2wo",7,7,7,7,100,"sam","non-diagnostic","ND1","good",32,2,5,2,7,1.36944399583314
"R_3P6xP2sMdUxu0mN",6,7,7,6,90,"sam","non-diagnostic","ND1","good",20,2,5,2,6.5,1.07602809789354
"R_1meAPUOinjQzb4w",7,7,7,7,100,"sam","non-diagnostic","ND1","good",22,2,7,2,7,1.36944399583314
"R_3EzjSM40luto9Px",7,6,6,6,71,"sam","non-diagnostic","ND1","good",21,2,6,5,6.25,0.694522648422124
"R_2rpVPAs7aPbwmqm",6,6,6,6,84,"sam","non-diagnostic","ND1","good",31,2,7,2,6,0.849697200097267
"R_2e2shrWbAEYXwUC",7,7,7,7,100,"sam","non-diagnostic","ND1","good",32,2,1,5,7,1.36944399583314
"R_8xhTL6aVizAeuzv",7,7,7,6,81,"sam","non-diagnostic","ND1","good",37,1,7,5,6.75,0.987938546361718
"R_1eyIMjscjBX9dJ5",6,5,6,6,85,"sam","non-diagnostic","ND1","good",37,2,7,5,5.75,0.803616751342449
"R_54GAtDGP8GyT0wp",4,4,4,4,50,"sam","non-diagnostic","ND1","good",35,5,2,2,4,-0.22333889144613
"R_3O1FCeBBmokmAdT",7,7,7,7,100,"sam","non-diagnostic","ND1","good",48,2,2,2,7,1.36944399583314
"R_12rMo63Sci0WvYT",7,7,7,7,100,"sam","non-diagnostic","ND1","good",32,2,7,2,7,1.36944399583314
"R_OwCpONdzOdSuRwt",5,5,5,5,60,"sam","non-diagnostic","ND1","good",30,2,7,2,5,0.195780404074759
"R_3Ep1OCzz6ZcvUNA",5,5,5,6,72,"sam","non-diagnostic","ND1","good",32,1,7,2,5.25,0.459887103295365
"R_0eu0Wz6pHcHVWAV",7,6,2,6,92,"sam","non-diagnostic","ND1","good",39,1,7,2,5.25,0.795312104011965
"R_2fqEa3i4qMEzKO4",7,7,5,5,74,"sam","non-diagnostic","ND1","good",59,2,7,2,6,0.681984699738967
"R_qUgMEadhUzrpMUF",6,6,6,6,80,"sam","non-diagnostic","ND1","good",32,2,7,2,6,0.782612199953947
"R_2PtcP4UctuasHgc",6,7,6,7,88,"sam","non-diagnostic","ND1","good",33,1,7,5,6.5,1.04248559782188
"R_32LxS4DIH5tKbWg",7,7,7,6,93,"sam","non-diagnostic","ND1","good",39,1,7,2,6.75,1.18919354679168
"R_1LwcpXiLxLEfYa8",7,7,7,6,93,"sam","non-diagnostic","ND1","good",35,1,7,2,6.75,1.18919354679168
"R_Di4spGDpxx4ClDb",6,6,7,7,91,"sam","non-diagnostic","ND1","good",32,1,7,5,6.5,1.09279934792937
"R_3GqqVy7ZlVe6JzN",7,6,7,6,95,"sam","non-diagnostic","ND1","good",39,1,7,5,6.5,1.15988434807269
"R_d0GQQt37mT7YWsx",7,7,6,6,92,"sam","non-diagnostic","ND1","good",38,1,7,5,6.5,1.1095705979652
"R_1OlWhsqP9q7lsH9",7,6,6,6,94,"sam","non-diagnostic","ND1","good",35,1,7,5,6.25,1.08026139924621
"R_1LbAQFmQG61BkBI",6,7,6,7,93,"sam","non-diagnostic","ND1","good",34,1,7,5,6.5,1.12634184800103
"R_22oe9BGvnyobTHo",3,1,2,2,12,"sam","non-diagnostic","ND1","good",32,1,7,5,2,-1.36345998313285
"R_3maXRaKndR2zDeZ",6,7,6,7,95,"sam","non-diagnostic","ND1","good",24,1,7,2,6.5,1.15988434807269
"R_pKu1Ud5v30gJtG9",7,7,7,6,90,"sam","non-diagnostic","ND1","good",30,2,7,2,6.75,1.13887979668419
"R_2eatBPBB8FAKKwM",6,7,6,6,94,"sam","non-diagnostic","ND1","good",33,1,7,2,6.25,1.08026139924621
"R_3h5TdGIv8omNqVF",7,7,7,6,93,"sam","non-diagnostic","ND1","good",37,1,7,2,6.75,1.18919354679168
"R_3MrrYXoSDGMtSGj",7,7,6,6,94,"sam","non-diagnostic","ND1","good",40,1,7,2,6.5,1.14311309803686
"R_1C3zYmUzP5WHrQT",7,7,6,7,92,"sam","non-diagnostic","ND1","good",42,1,7,2,6.75,1.17242229675585
"R_2xKa4AZxeepKKXb",6,7,7,6,94,"sam","non-diagnostic","ND1","good",35,1,7,2,6.5,1.14311309803686
"R_82p5O8P6HRf9syd",6,6,7,7,92,"sam","non-diagnostic","ND1","good",34,2,7,2,6.5,1.1095705979652
"R_Dcz85iafTfnMufn",6,7,6,6,92,"sam","non-diagnostic","ND1","good",36,2,7,2,6.25,1.04671889917455
"R_3IXfN7s4lpGifPY",6,7,7,6,92,"sam","non-diagnostic","ND1","good",37,1,7,2,6.5,1.1095705979652
"R_3dWatJAVtVGQKFm",5,6,7,6,93,"sam","non-diagnostic","ND1","good",39,2,7,2,6,1.00063845041974
"R_stGNxt1iPDY6NlT",7,6,5,6,95,"sam","non-diagnostic","ND1","good",34,1,7,2,6,1.0341809504914
"R_3qfVu3kp96O4PFT",6,5,6,7,91,"sam","non-diagnostic","ND1","good",35,1,7,5,6,0.967095950348076
"R_1FM5YSim9kN8wIN",5,7,6,7,89,"sam","non-diagnostic","ND1","good",35,1,7,5,6.25,0.996405149067064
"R_sdPchgyJd2HC1ep",7,6,6,7,93,"sam","non-diagnostic","ND1","good",33,1,7,5,6.5,1.12634184800103
"R_UhGMOclu7icsvnj",7,6,6,7,98,"sam","non-diagnostic","ND1","good",33,1,7,2,6.5,1.21019809818018
"R_ywF3HHLsFy4bwFH",5,7,7,6,96,"sam","non-diagnostic","ND1","good",36,1,7,5,6.25,1.11380389931787
"R_2zdc3rPO7sn2Nts",6,7,6,6,90,"sam","non-diagnostic","ND1","good",34,1,7,2,6.25,1.01317639910289
"R_1NfammlPrKXF8JZ",6,7,6,6,100,"sam","non-diagnostic","ND1","good",39,1,7,2,6.25,1.18088889946119
"R_ZDzUyKqqaxggwO5",6,6,7,6,94,"sam","non-diagnostic","ND1","good",30,1,7,2,6.25,1.08026139924621
"R_OpNhcoiRABF3eJb",7,7,7,6,95,"sam","non-diagnostic","ND1","good",30,1,7,2,6.75,1.22273604686334
"R_1eJoGSY5rfxGpjd",2,3,2,2,20,"sam","non-diagnostic","ND1","good",30,1,7,2,2.25,-1.16643828405556
"R_1Le6UhAmEpBFuzf",3,2,3,3,24,"sam","non-diagnostic","ND1","good",28,1,1,2,2.75,-0.973649886330945
"R_2z5CcdVro6JVoAy",7,6,6,7,98,"sam","non-diagnostic","ND1","good",28,1,7,2,6.5,1.21019809818018
"R_2UVO0gMpVZYYR4t",7,7,7,5,91,"sam","non-diagnostic","ND1","good",39,2,7,2,6.5,1.09279934792937
"R_2YueUPaf62HrLF2",6,7,7,6,99,"sam","non-diagnostic","ND1","good",35,1,7,2,6.5,1.22696934821601
"R_2CqdmqjxeviFhOd",7,7,7,7,100,"sam","non-diagnostic","ND1","good",36,2,7,5,7,1.36944399583314
"R_3rU7LsK2aiSUuQ1",7,7,7,5,95,"sam","non-diagnostic","ND1","good",27,2,7,5,6.5,1.15988434807269
"R_1MRoLApFsfFn8Rw",7,7,7,5,82,"sam","non-diagnostic","ND1","good",21,2,7,5,6.5,0.941858097606901
"R_3dRfb6f0DTVbcNd",6,6,6,6,80,"sam","non-diagnostic","ND1","good",38,1,7,2,6,0.782612199953947
"R_2wNTKBx0vB6hbNN",6,6,6,6,84,"sam","non-diagnostic","ND1","good",30,1,7,5,6,0.849697200097267
"R_3kCioWS8w6DJTCd",6,6,6,6,80,"sam","non-diagnostic","ND1","good",28,1,3,2,6,0.782612199953947
"R_2Csn5OgnfTCIWYh",5,5,7,7,60,"sam","non-diagnostic","ND1","good",33,2,7,5,6,0.447187199237347
"R_12sQWmy509FdFpi",6,6,6,6,85,"sam","non-diagnostic","ND1","good",21,1,7,5,6,0.866468450133097
"R_yraWplgXlNczvYR",7,7,7,7,100,"sam","non-diagnostic","ND1","good",42,1,1,2,7,1.36944399583314
"R_2zqLJeuxVnZqrKu",7,6,2,5,84,"sam","non-diagnostic","ND2","good",18,2,2,2,5,0.598290404934678
"R_1g8fhzdnfEgEfKd",5,5,6,5,82,"sam","non-diagnostic","ND2","good",18,1,2,2,5.25,0.627599603653665
"R_3en47beNmfAywSS",7,7,7,7,90,"sam","non-diagnostic","ND2","good",21,2,6,2,7,1.20173149547484
"R_Aj1UKC6PaTPIa9X",2,5,5,5,69,"sam","non-diagnostic","ND2","good",18,1,5,2,4.25,0.158166558025287
"R_1mmWhdvks7mulMH",7,7,2,4,25,"sam","non-diagnostic","ND2","good",19,2,1,2,5,-0.39121334717929
"R_291hkSTbouOqeOt",6,6,6,6,75,"sam","non-diagnostic","ND2","good",20,2,7,2,6,0.698755949774797
"R_2VqD6t6RwwVd34s",7,7,7,7,81,"sam","non-diagnostic","ND2","good",18,4,7,5,7,1.05079024515237
"R_1Cw4M9p7ra7SVh6",7,7,7,7,100,"sam","non-diagnostic","ND2","good",18,2,7,2,7,1.36944399583314
"R_3HjoAHbzaxAU00K",5,4,5,5,50,"sam","non-diagnostic","ND2","good",18,2,7,2,4.75,-0.0347837950741883
"R_12sxXLLKjprVDcD",6,6,6,7,85,"sam","non-diagnostic","ND2","good",18,3,7,2,6.25,0.929320148923744
"R_1pWnO5grRz7ti7n",7,7,5,6,90,"sam","non-diagnostic","ND2","good",18,2,6,2,6.25,1.01317639910289
"R_3iFirgsgCk5WGaI",7,7,6,6,81,"sam","non-diagnostic","ND2","good",22,1,7,2,6.5,0.925086847571071
"R_3Rgy4tRfpwPd30I",7,7,6,7,73,"sam","non-diagnostic","ND2","good",28,2,3,5,6.75,0.853768546075079
"R_ylreA91oKTRgOCl",6,6,6,6,85,"sam","non-diagnostic","ND2","good",22,2,7,5,6,0.866468450133097
"R_1q2MxU9tcC2YECd",6,5,5,6,95,"sam","non-diagnostic","ND2","good",22,1,7,2,5.5,0.908477552910102
"R_2SqLVgp3JWZIxAw",4,4,4,4,47,"sam","non-diagnostic","ND2","good",25,1,1,2,4,-0.27365264155362
"R_2s4EEAFcu2I4wEz",6,6,7,6,87,"sam","non-diagnostic","ND2","good",21,2,7,5,6.25,0.962862648995404
"R_1Cf07SHh2ebQY1F",5,5,4,5,64,"sam","non-diagnostic","ND2","good",22,1,7,2,4.75,0.200013705427431
"R_Wq75AGazz281X0t",7,7,7,7,100,"sam","non-diagnostic","ND2","good",19,2,3,2,7,1.36944399583314
"R_20ZD18NFdGHSKmr",6,6,6,6,82,"sam","non-diagnostic","ND2","good",19,1,7,2,6,0.816154700025607
"R_3DumTHGCI14cZRk",7,7,7,5,90,"sam","non-diagnostic","ND2","good",19,2,4,5,6.5,1.07602809789354
"R_2v1eYRyLQlA2xsG",7,7,7,6,71,"sam","non-diagnostic","ND2","good",NA,NA,4,5,6.75,0.820226046003419
"R_6F5C8NOFIgkWju1",7,1,1,6,88,"sam","non-diagnostic","ND2","good",18,1,7,5,3.75,0.351116911124762
"R_2ePEpVNXewr6Xrc",7,6,6,6,87,"sam","non-diagnostic","ND2","good",21,2,7,2,6.25,0.962862648995404
"R_1gqHXZgVh8i2maI",7,6,7,7,93,"sam","non-diagnostic","ND2","good",19,2,7,2,6.75,1.18919354679168
"R_3NImaK7qwmWTXpG",7,7,7,4,84,"sam","non-diagnostic","ND2","good",19,2,1,2,6.25,0.912548898887914
"R_PO3V9usCaE8Rmwh",5,5,5,5,65,"sam","non-diagnostic","ND2","good",18,2,7,5,5,0.279636654253908
"R_zTDRQmmuROAu1G1",7,4,7,7,91,"sam","non-diagnostic","ND2","good",19,1,7,5,6.25,1.02994764913872
"R_2VIyxFtOl0p2lwS",6,6,6,7,81,"sam","non-diagnostic","ND2","good",19,1,1,2,6.25,0.862235148780424
"R_32YhbQqj2gpKEL1",7,7,6,6,100,"sam","non-diagnostic","ND2","good",19,2,7,2,6.5,1.24374059825184
"R_NUyp3iE30497HTH",7,6,7,7,98,"sam","non-diagnostic","ND2","good",19,2,7,5,6.75,1.27304979697083
"R_3Dw5KhnvZixVxFq",7,7,7,7,100,"sam","non-diagnostic","ND2","good",20,2,7,2,7,1.36944399583314
"R_3prwF6ecrVD6p8N",6,7,7,6,71,"sam","non-diagnostic","ND2","good",18,2,7,2,6.5,0.757374347212771
