"ResponseId","sam_R1","sam_R2","sam_R3","sam_R4","sam_M1","sam_scenario","sam_condition","sam_diagnostic12","sam_R_tot","robin_R1","robin_R2","robin_R3","robin_R4","robin_M1","robin_scenario","robin_condition","robin_diagnostic12","robin_R_tot","francis_R1","francis_R2","francis_R3","francis_R4","francis_M1","francis_scenario","francis_condition","francis_diagnostic12","francis_R_tot","alex_R1","alex_R2","alex_R3","alex_R4","alex_M1","alex_scenario","alex_condition","alex_diagnostic12","alex_R_tot","age","gender","Sample","attn_chk_1Q","attn_chk_2_Q"
"R_9Kyi41YivVyaC1X",6,6,6,6,89,"sam","non-diagnostic","ND1",6,6,5,6,6,86,"robin","non-diagnostic","ND2",5.75,6,5,5,5,82,"francis","diagnostic","NA",5.25,6,6,6,7,91,"alex","diagnostic","NA",6.25,37,1,"MTurk",7,2
"R_3PBuV3Pl38ZADjS",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","non-diagnostic","ND2",7,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","diagnostic","NA",7,30,2,"MTurk",7,2
"R_C2D0r63WEfnqtON",6,7,6,7,75,"sam","non-diagnostic","ND1",6.5,6,7,6,7,74,"robin","diagnostic","NA",6.5,6,6,6,7,73,"francis","diagnostic","NA",6.25,6,7,6,7,76,"alex","non-diagnostic","ND2",6.5,30,1,"MTurk",7,2
"R_3nOvNcl70xeVZFj",5,3,6,4,81,"sam","non-diagnostic","ND1",4.5,7,4,3,6,75,"robin","non-diagnostic","ND2",5,6,4,5,3,73,"francis","diagnostic","NA",4.5,5,7,4,6,35,"alex","diagnostic","NA",5.5,38,1,"MTurk",7,2
"R_1EWCFqmK3wVbsIH",6,5,4,6,74,"sam","non-diagnostic","ND1",5.25,6,5,6,5,70,"robin","non-diagnostic","ND2",5.5,6,5,4,6,73,"francis","diagnostic","NA",5.25,6,5,4,6,71,"alex","diagnostic","NA",5.25,24,2,"MTurk",7,5
"R_3Mcn253XIZ0gKaY",6,5,4,3,62,"sam","non-diagnostic","ND1",4.5,6,5,4,3,62,"robin","diagnostic","NA",4.5,6,5,4,3,60,"francis","diagnostic","NA",4.5,6,5,4,3,61,"alex","non-diagnostic","ND2",4.5,24,1,"MTurk",7,1
"R_1dtUPhHj31p9g6n",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","diagnostic","NA",7,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","non-diagnostic","ND2",7,46,1,"MTurk",7,5
"R_21GPCph3GHIpi40",6,7,6,7,94,"sam","non-diagnostic","ND1",6.5,6,7,6,7,92,"robin","diagnostic","NA",6.5,6,7,6,7,92,"francis","diagnostic","NA",6.5,6,7,6,7,94,"alex","non-diagnostic","ND2",6.5,22,1,"MTurk",1,5
"R_RLw1JEszemgiGhb",7,7,5,6,89,"sam","non-diagnostic","ND1",6.25,7,5,7,6,82,"robin","non-diagnostic","ND2",6.25,7,7,5,5,70,"francis","diagnostic","NA",6,7,7,6,5,94,"alex","diagnostic","NA",6.25,57,1,"MTurk",7,2
"R_2XmS67IgxbaTZf7",5,4,5,4,65,"sam","non-diagnostic","ND1",4.5,4,4,5,6,64,"robin","non-diagnostic","ND2",4.75,4,5,4,4,61,"francis","diagnostic","NA",4.25,4,4,5,4,56,"alex","diagnostic","NA",4.25,29,1,"MTurk",7,2
"R_2rPbVOtWC7YPthz",5,7,4,6,67,"sam","non-diagnostic","ND1",5.5,4,6,6,5,69,"robin","diagnostic","NA",5.25,6,7,5,6,80,"francis","diagnostic","NA",6,5,7,5,6,72,"alex","non-diagnostic","ND2",5.75,53,1,"MTurk",7,3
"R_sX7CZjd6hLVpnZT",7,6,5,4,62,"sam","non-diagnostic","ND1",5.5,6,5,4,3,63,"robin","non-diagnostic","ND2",4.5,6,5,4,3,60,"francis","diagnostic","NA",4.5,6,5,4,3,57,"alex","diagnostic","NA",4.5,24,1,"MTurk",7,1
"R_3jcdQkQL8rlkCOi",5,6,7,6,74,"sam","non-diagnostic","ND1",6,7,6,5,3,81,"robin","non-diagnostic","ND2",5.25,5,5,7,7,82,"francis","diagnostic","NA",6,5,6,7,5,84,"alex","diagnostic","NA",5.75,41,1,"MTurk",7,3
"R_3jV8GLat9jMCmA4",5,7,6,5,97,"sam","non-diagnostic","ND1",5.75,6,7,6,7,98,"robin","diagnostic","NA",6.5,7,6,7,6,100,"francis","diagnostic","NA",6.5,7,6,7,6,99,"alex","non-diagnostic","ND2",6.5,33,1,"MTurk",7,3
"R_1hFn9To6G3PIMCC",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,96,"robin","non-diagnostic","ND2",7,7,7,7,6,92,"francis","diagnostic","NA",6.75,6,7,7,7,92,"alex","diagnostic","NA",6.75,35,2,"MTurk",1,2
"R_3CPMNjxhh4s5mP4",5,7,5,6,74,"sam","non-diagnostic","ND1",5.75,4,6,5,5,65,"robin","non-diagnostic","ND2",5,4,6,5,6,71,"francis","diagnostic","NA",5.25,4,5,6,5,75,"alex","diagnostic","NA",5,36,1,"MTurk",7,3
"R_DNY4B4EPmRkJWmd",7,6,6,7,93,"sam","non-diagnostic","ND1",6.5,6,5,6,6,94,"robin","diagnostic","NA",5.75,6,5,6,5,95,"francis","diagnostic","NA",5.5,6,5,6,6,95,"alex","non-diagnostic","ND2",5.75,50,2,"MTurk",7,1
"R_277imHgyI9Zb4c4",5,5,6,7,77,"sam","non-diagnostic","ND1",5.75,4,5,6,7,73,"robin","non-diagnostic","ND2",5.5,4,5,7,7,72,"francis","diagnostic","NA",5.75,4,5,6,7,78,"alex","diagnostic","NA",5.5,40,1,"MTurk",7,3
"R_3fT7MbPBBBnXqFl",6,7,6,6,84,"sam","non-diagnostic","ND1",6.25,6,7,6,7,87,"robin","diagnostic","NA",6.5,6,7,6,7,80,"francis","diagnostic","NA",6.5,6,7,6,7,70,"alex","non-diagnostic","ND2",6.5,30,2,"MTurk",7,5
"R_1dcQyZJMbbNKA1Y",6,7,6,6,85,"sam","non-diagnostic","ND1",6.25,5,6,6,7,86,"robin","diagnostic","NA",6,6,6,5,6,86,"francis","diagnostic","NA",5.75,7,7,7,6,75,"alex","non-diagnostic","ND2",6.75,24,2,"MTurk",7,2
"R_yDSTpm33tv5Z2hj",7,7,7,7,99,"sam","non-diagnostic","ND1",7,7,7,7,7,99,"robin","non-diagnostic","ND2",7,7,7,7,7,92,"francis","diagnostic","NA",7,7,7,7,7,92,"alex","diagnostic","NA",7,44,1,"MTurk",7,3
"R_1oFpyu46M7WmHpv",5,5,6,5,83,"sam","non-diagnostic","ND1",5.25,5,5,6,7,68,"robin","diagnostic","NA",5.75,5,4,5,6,78,"francis","diagnostic","NA",5,5,5,5,4,77,"alex","non-diagnostic","ND2",4.75,39,2,"MTurk",7,3
"R_qWa2GVMApy0UMLv",4,3,4,4,30,"sam","non-diagnostic","ND1",3.75,4,3,4,4,30,"robin","non-diagnostic","ND2",3.75,4,3,4,4,30,"francis","diagnostic","NA",3.75,4,3,4,4,30,"alex","diagnostic","NA",3.75,42,1,"MTurk",7,2
"R_6feiUtpGiikCLyV",4,4,4,4,50,"sam","non-diagnostic","ND1",4,4,4,4,4,50,"robin","non-diagnostic","ND2",4,4,4,4,4,50,"francis","diagnostic","NA",4,4,4,4,4,50,"alex","diagnostic","NA",4,25,2,"MTurk",7,5
"R_31Nkh9eoUYvPB9S",6,6,4,6,86,"sam","non-diagnostic","ND1",5.5,5,4,7,5,69,"robin","diagnostic","NA",5.25,6,5,7,3,65,"francis","diagnostic","NA",5.25,7,6,5,7,73,"alex","non-diagnostic","ND2",6.25,56,1,"MTurk",7,3
"R_AajX9NGNIlZtY7n",5,6,5,6,81,"sam","non-diagnostic","ND1",5.5,5,6,5,6,76,"robin","diagnostic","NA",5.5,5,6,5,6,73,"francis","diagnostic","NA",5.5,6,6,5,6,72,"alex","non-diagnostic","ND2",5.75,45,1,"MTurk",7,3
"R_2vYpiQqaoeuWshA",5,3,4,5,65,"sam","non-diagnostic","ND1",4.25,5,3,4,3,83,"robin","diagnostic","NA",3.75,6,4,6,5,73,"francis","diagnostic","NA",5.25,5,3,5,4,68,"alex","non-diagnostic","ND2",4.25,36,1,"MTurk",7,2
"R_3MM7gB96WfuW6a7",6,7,6,7,94,"sam","non-diagnostic","ND1",6.5,6,7,7,7,93,"robin","diagnostic","NA",6.75,7,6,6,7,91,"francis","diagnostic","NA",6.5,7,6,7,7,89,"alex","non-diagnostic","ND2",6.75,39,1,"MTurk",7,5
"R_3yGUA2ATJaIFxVT",6,7,6,6,87,"sam","non-diagnostic","ND1",6.25,6,7,7,6,75,"robin","non-diagnostic","ND2",6.5,6,7,7,6,89,"francis","diagnostic","NA",6.5,7,6,7,6,75,"alex","diagnostic","NA",6.5,41,2,"MTurk",7,2
"R_1F8l9IynKvDg9UB",7,7,7,7,93,"sam","non-diagnostic","ND1",7,7,7,7,7,96,"robin","non-diagnostic","ND2",7,7,7,7,7,83,"francis","diagnostic","NA",7,7,7,7,7,86,"alex","diagnostic","NA",7,30,1,"MTurk",7,2
"R_1hSVjj7B18TAHhU",5,6,5,6,73,"sam","non-diagnostic","ND1",5.5,5,6,5,6,79,"robin","diagnostic","NA",5.5,5,6,5,6,79,"francis","diagnostic","NA",5.5,5,6,5,6,90,"alex","non-diagnostic","ND2",5.5,54,1,"MTurk",7,3
"R_OJBgYINpNpoRG5H",6,6,6,5,71,"sam","non-diagnostic","ND1",5.75,6,5,6,6,79,"robin","non-diagnostic","ND2",5.75,6,5,6,5,81,"francis","diagnostic","NA",5.5,6,5,6,5,75,"alex","diagnostic","NA",5.5,32,2,"MTurk",7,2
"R_1F4BQtvDKGTtDsA",6,6,7,6,80,"sam","non-diagnostic","ND1",6.25,6,6,7,6,80,"robin","diagnostic","NA",6.25,6,7,7,6,90,"francis","diagnostic","NA",6.5,7,6,6,7,90,"alex","non-diagnostic","ND2",6.5,30,2,"MTurk",2,5
"R_2z6FqGrtPspC5IS",6,4,6,5,43,"sam","non-diagnostic","ND1",5.25,6,5,6,5,74,"robin","non-diagnostic","ND2",5.5,6,4,5,6,64,"francis","diagnostic","NA",5.25,6,4,6,5,70,"alex","diagnostic","NA",5.25,35,2,"MTurk",1,5
"R_3qTJOYjY5v730Rp",7,5,6,5,60,"sam","non-diagnostic","ND1",5.75,7,5,6,6,67,"robin","diagnostic","NA",6,7,5,6,6,63,"francis","diagnostic","NA",6,7,5,6,5,71,"alex","non-diagnostic","ND2",5.75,37,1,"MTurk",7,5
"R_2dYiB1puYYi0rBo",7,7,7,7,98,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","non-diagnostic","ND2",7,7,7,7,7,88,"francis","diagnostic","NA",7,7,7,6,5,83,"alex","diagnostic","NA",6.25,45,1,"MTurk",7,2
"R_ZwbFupdj8zjE8SZ",7,6,6,7,83,"sam","non-diagnostic","ND1",6.5,7,6,6,7,80,"robin","diagnostic","NA",6.5,7,7,6,6,74,"francis","diagnostic","NA",6.5,6,7,6,6,78,"alex","non-diagnostic","ND2",6.25,29,2,"MTurk",7,2
"R_rjpThahNdrGmO5P",7,7,7,7,90,"sam","non-diagnostic","ND1",7,7,7,7,7,93,"robin","non-diagnostic","ND2",7,7,7,7,7,84,"francis","diagnostic","NA",7,7,7,7,7,79,"alex","diagnostic","NA",7,30,1,"MTurk",7,2
"R_2sYoo9rm5uBUn4h",7,6,6,7,85,"sam","non-diagnostic","ND1",6.5,4,3,6,3,58,"robin","diagnostic","NA",4,5,6,3,5,74,"francis","diagnostic","NA",4.75,5,6,5,5,77,"alex","non-diagnostic","ND2",5.25,30,1,"MTurk",1,5
"R_3jTE07N3rfIELt5",7,7,7,7,98,"sam","non-diagnostic","ND1",7,7,7,7,7,99,"robin","diagnostic","NA",7,7,7,7,7,98,"francis","diagnostic","NA",7,7,7,7,7,98,"alex","non-diagnostic","ND2",7,34,2,"MTurk",7,2
"R_31XGvqAWfW9Yf2q",6,5,4,6,76,"sam","non-diagnostic","ND1",5.25,6,5,6,5,77,"robin","non-diagnostic","ND2",5.5,6,5,4,6,82,"francis","diagnostic","NA",5.25,5,6,5,6,75,"alex","diagnostic","NA",5.5,30,2,"MTurk",7,2
"R_2zdN9mTV0Hm1heA",5,6,5,6,77,"sam","non-diagnostic","ND1",5.5,6,5,6,4,81,"robin","diagnostic","NA",5.25,6,6,5,6,56,"francis","diagnostic","NA",5.75,6,5,6,5,80,"alex","non-diagnostic","ND2",5.5,29,2,"MTurk",7,2
"R_31dCGMaWNWS0vIa",7,6,7,6,92,"sam","non-diagnostic","ND1",6.5,6,7,6,7,87,"robin","non-diagnostic","ND2",6.5,6,7,7,6,91,"francis","diagnostic","NA",6.5,7,7,6,7,89,"alex","diagnostic","NA",6.75,53,2,"MTurk",7,5
"R_3sBmoqTvkHDoJbd",4,5,5,5,64,"sam","non-diagnostic","ND1",4.75,4,5,6,6,67,"robin","non-diagnostic","ND2",5.25,4,5,5,6,59,"francis","diagnostic","NA",5,4,6,6,6,60,"alex","diagnostic","NA",5.5,35,1,"MTurk",7,2
"R_1mKn6POT5oareOl",7,7,7,7,97,"sam","non-diagnostic","ND1",7,6,7,7,7,94,"robin","diagnostic","NA",6.75,7,7,7,7,95,"francis","diagnostic","NA",7,7,7,7,7,93,"alex","non-diagnostic","ND2",7,59,1,"MTurk",7,5
"R_3dEBwbdeawVXSDJ",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,85,"robin","non-diagnostic","ND2",7,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,88,"alex","diagnostic","NA",7,30,1,"MTurk",7,2
"R_2anT9dHdXHEKCaL",7,6,7,7,89,"sam","non-diagnostic","ND1",6.75,6,7,6,7,77,"robin","diagnostic","NA",6.5,6,7,6,7,72,"francis","diagnostic","NA",6.5,6,6,7,7,79,"alex","non-diagnostic","ND2",6.5,25,1,"MTurk",7,2
"R_3n0i0Fik8ddH3yA",6,7,6,6,85,"sam","non-diagnostic","ND1",6.25,6,6,7,7,90,"robin","non-diagnostic","ND2",6.5,7,7,7,7,87,"francis","diagnostic","NA",7,7,7,7,7,84,"alex","diagnostic","NA",7,51,2,"MTurk",7,5
"R_XMLs7pbHeWgunCx",6,7,6,7,92,"sam","non-diagnostic","ND1",6.5,7,6,7,6,92,"robin","non-diagnostic","ND2",6.5,7,7,6,7,82,"francis","diagnostic","NA",6.75,7,7,6,7,91,"alex","diagnostic","NA",6.75,28,2,"MTurk",1,5
"R_1o6bdHTtIcpvmzs",6,6,7,6,74,"sam","non-diagnostic","ND1",6.25,6,6,7,7,80,"robin","diagnostic","NA",6.5,7,7,6,7,87,"francis","diagnostic","NA",6.75,6,6,7,6,82,"alex","non-diagnostic","ND2",6.25,58,1,"MTurk",7,2
"R_3lz90XA8vQB0W79",4,5,6,4,77,"sam","non-diagnostic","ND1",4.75,3,6,5,4,66,"robin","diagnostic","NA",4.5,5,6,3,5,81,"francis","diagnostic","NA",4.75,4,6,5,4,85,"alex","non-diagnostic","ND2",4.75,41,2,"MTurk",7,2
"R_3mTBSCzJ2y3Wxwt",6,2,3,4,53,"sam","non-diagnostic","ND1",3.75,3,5,2,4,59,"robin","non-diagnostic","ND2",3.5,6,3,4,5,53,"francis","diagnostic","NA",4.5,5,5,2,4,43,"alex","diagnostic","NA",4,22,1,"MTurk",7,2
"R_33DuAscH6820IK5",7,6,5,7,81,"sam","non-diagnostic","ND1",6.25,6,5,6,5,76,"robin","non-diagnostic","ND2",5.5,6,5,6,5,79,"francis","diagnostic","NA",5.5,6,5,7,5,76,"alex","diagnostic","NA",5.75,37,1,"MTurk",7,5
"R_sdmJVWyN6WNr5qF",7,7,7,7,90,"sam","non-diagnostic","ND1",7,7,7,7,7,92,"robin","diagnostic","NA",7,6,6,6,6,90,"francis","diagnostic","NA",6,5,5,4,4,67,"alex","non-diagnostic","ND2",4.5,45,2,"MTurk",7,2
"R_3r1JsxsCPEhXSy6",6,6,5,6,71,"sam","non-diagnostic","ND1",5.75,6,7,5,6,78,"robin","diagnostic","NA",6,6,5,6,6,63,"francis","diagnostic","NA",5.75,6,6,7,6,75,"alex","non-diagnostic","ND2",6.25,59,1,"MTurk",7,2
"R_1LTnCYtMpiWA78a",6,6,5,7,81,"sam","non-diagnostic","ND1",6,7,6,5,6,72,"robin","non-diagnostic","ND2",6,7,6,5,6,75,"francis","diagnostic","NA",6,7,6,5,6,74,"alex","diagnostic","NA",6,27,2,"MTurk",7,3
"R_Q0wt1WIiqPxJkTn",6,6,7,7,96,"sam","non-diagnostic","ND1",6.5,7,6,7,7,97,"robin","diagnostic","NA",6.75,7,6,7,7,95,"francis","diagnostic","NA",6.75,7,6,7,7,96,"alex","non-diagnostic","ND2",6.75,44,2,"MTurk",7,5
"R_1KoRxsRqCeKfK2p",6,7,7,7,95,"sam","non-diagnostic","ND1",6.75,6,6,7,7,80,"robin","non-diagnostic","ND2",6.5,5,5,6,6,70,"francis","diagnostic","NA",5.5,6,7,6,7,90,"alex","diagnostic","NA",6.5,35,2,"MTurk",7,2
"R_21za5gwdo8W3LFC",7,6,7,6,93,"sam","non-diagnostic","ND1",6.5,6,7,6,7,91,"robin","diagnostic","NA",6.5,6,7,6,7,97,"francis","diagnostic","NA",6.5,6,7,6,7,90,"alex","non-diagnostic","ND2",6.5,56,2,"MTurk",7,5
"R_zS9NFpy4qry0ecx",6,7,7,6,82,"sam","non-diagnostic","ND1",6.5,6,7,6,5,82,"robin","non-diagnostic","ND2",6,6,5,6,5,86,"francis","diagnostic","NA",5.5,6,7,6,5,78,"alex","diagnostic","NA",6,35,2,"MTurk",7,2
"R_R3kvK0GJFbEt9yF",6,6,6,6,89,"sam","non-diagnostic","ND1",6,6,6,6,6,90,"robin","diagnostic","NA",6,6,6,6,6,98,"francis","diagnostic","NA",6,6,6,6,6,78,"alex","non-diagnostic","ND2",6,43,1,"MTurk",7,2
"R_32Shvri2MwNg7LB",4,5,6,5,58,"sam","non-diagnostic","ND1",5,4,5,6,4,62,"robin","non-diagnostic","ND2",4.75,4,3,2,5,57,"francis","diagnostic","NA",3.5,5,4,3,2,58,"alex","diagnostic","NA",3.5,56,1,"MTurk",2,5
"R_tLCls3ycxlMbyrD",6,4,3,6,71,"sam","non-diagnostic","ND1",4.75,6,4,4,3,64,"robin","diagnostic","NA",4.25,6,5,5,6,89,"francis","diagnostic","NA",5.5,7,5,7,6,75,"alex","non-diagnostic","ND2",6.25,27,2,"MTurk",7,2
"R_1CCnidQbdxAR9dc",6,6,6,7,89,"sam","non-diagnostic","ND1",6.25,7,6,6,7,90,"robin","diagnostic","NA",6.5,7,7,7,7,98,"francis","diagnostic","NA",7,6,7,7,7,92,"alex","non-diagnostic","ND2",6.75,45,1,"MTurk",7,2
"R_2z6Jv3OoQe5olGl",6,7,6,6,86,"sam","non-diagnostic","ND1",6.25,6,7,6,6,89,"robin","diagnostic","NA",6.25,6,7,5,6,87,"francis","diagnostic","NA",6,6,7,6,7,82,"alex","non-diagnostic","ND2",6.5,33,1,"MTurk",7,2
"R_3rUrg6jqqMSd7TQ",6,6,5,5,85,"sam","non-diagnostic","ND1",5.5,7,2,2,2,100,"robin","diagnostic","NA",3.25,6,3,2,5,100,"francis","diagnostic","NA",4,5,5,5,5,75,"alex","non-diagnostic","ND2",5,30,1,"MTurk",1,2
"R_2sZ8a8mccWLypJ7",5,5,5,5,69,"sam","non-diagnostic","ND1",5,6,6,6,7,83,"robin","non-diagnostic","ND2",6.25,5,5,4,4,65,"francis","diagnostic","NA",4.5,6,6,5,7,87,"alex","diagnostic","NA",6,42,1,"MTurk",7,2
"R_32KIrDYpBpT9T4I",6,7,6,7,93,"sam","non-diagnostic","ND1",6.5,6,7,6,7,85,"robin","non-diagnostic","ND2",6.5,7,7,6,7,95,"francis","diagnostic","NA",6.75,6,7,6,7,91,"alex","diagnostic","NA",6.5,38,1,"MTurk",7,5
"R_Rbt6AV0WacYBtD3",6,6,6,6,81,"sam","non-diagnostic","ND1",6,6,6,6,6,73,"robin","non-diagnostic","ND2",6,6,6,6,6,65,"francis","diagnostic","NA",6,6,6,6,6,65,"alex","diagnostic","NA",6,25,1,"MTurk",7,3
"R_31BhIYDTbCYiigh",5,6,6,5,71,"sam","non-diagnostic","ND1",5.5,5,5,4,6,69,"robin","diagnostic","NA",5,5,4,6,5,62,"francis","diagnostic","NA",5,5,6,5,6,80,"alex","non-diagnostic","ND2",5.5,25,2,"MTurk",7,5
"R_1LNEmn1K2Ed7fsf",5,6,6,5,68,"sam","non-diagnostic","ND1",5.5,5,6,6,5,66,"robin","diagnostic","NA",5.5,5,6,5,6,64,"francis","diagnostic","NA",5.5,5,6,6,5,59,"alex","non-diagnostic","ND2",5.5,55,1,"MTurk",7,3
"R_29tVSSwZI6B15tp",2,3,4,5,69,"sam","non-diagnostic","ND1",3.5,3,4,5,6,73,"robin","non-diagnostic","ND2",4.5,3,4,5,5,72,"francis","diagnostic","NA",4.25,3,4,5,6,71,"alex","diagnostic","NA",4.5,28,2,"MTurk",7,1
"R_XUlRSOF5MLcH3Xz",6,5,3,5,53,"sam","non-diagnostic","ND1",4.75,6,3,5,5,49,"robin","diagnostic","NA",4.75,4,6,4,5,53,"francis","diagnostic","NA",4.75,6,3,5,5,58,"alex","non-diagnostic","ND2",4.75,27,1,"MTurk",7,2
"R_12A06wWO7yQnKL1",3,3,3,3,32,"sam","non-diagnostic","ND1",3,5,5,5,4,92,"robin","diagnostic","NA",4.75,5,3,4,4,63,"francis","diagnostic","NA",4,4,5,4,4,73,"alex","non-diagnostic","ND2",4.25,37,1,"MTurk",4,2
"R_5cmrofQEN8uA4a5",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","diagnostic","NA",7,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","non-diagnostic","ND2",7,43,1,"MTurk",7,2
"R_1hyQJItCGglOOSE",7,6,3,5,75,"sam","non-diagnostic","ND1",5.25,6,4,5,7,81,"robin","non-diagnostic","ND2",5.5,6,4,4,2,86,"francis","diagnostic","NA",4,6,4,7,5,76,"alex","diagnostic","NA",5.5,27,2,"MTurk",7,2
"R_1loxQEUFYuD22Dt",6,6,6,6,93,"sam","non-diagnostic","ND1",6,6,6,6,6,93,"robin","non-diagnostic","ND2",6,6,6,6,6,93,"francis","diagnostic","NA",6,6,6,6,6,93,"alex","diagnostic","NA",6,67,1,"MTurk",7,2
"R_d1ovRJcvYXw5A41",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","diagnostic","NA",7,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","non-diagnostic","ND2",7,30,2,"MTurk",7,2
"R_3NOpVSOc9QOMRP0",6,6,6,6,91,"sam","non-diagnostic","ND1",6,6,6,6,6,90,"robin","diagnostic","NA",6,6,6,6,5,92,"francis","diagnostic","NA",5.75,6,6,7,7,91,"alex","non-diagnostic","ND2",6.5,37,1,"MTurk",7,2
"R_1gSVk5tWsIA4MnN",7,7,7,6,84,"sam","non-diagnostic","ND1",6.75,7,7,6,7,86,"robin","diagnostic","NA",6.75,7,6,6,7,80,"francis","diagnostic","NA",6.5,7,7,6,7,93,"alex","non-diagnostic","ND2",6.75,32,1,"MTurk",4,2
"R_oZdbs0pVkHWnOE1",5,7,6,7,88,"sam","non-diagnostic","ND1",6.25,6,7,6,7,89,"robin","non-diagnostic","ND2",6.5,6,7,6,7,93,"francis","diagnostic","NA",6.5,6,7,6,7,88,"alex","diagnostic","NA",6.5,29,1,"MTurk",7,3
"R_1FLZDHHQhRzgSKW",7,7,7,7,90,"sam","non-diagnostic","ND1",7,7,7,7,7,95,"robin","non-diagnostic","ND2",7,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,99,"alex","diagnostic","NA",7,69,2,"MTurk",7,2
"R_DMGFJPKHUSNviTf",4,5,3,4,57,"sam","non-diagnostic","ND1",4,6,4,5,3,61,"robin","diagnostic","NA",4.5,5,6,4,6,59,"francis","diagnostic","NA",5.25,5,4,3,5,62,"alex","non-diagnostic","ND2",4.25,23,1,"MTurk",1,2
