StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consentQ,PID,age,gender,gender_4_TEXT,S_ND1_R_1,S_ND1_R_2,S_ND1_R_3,S_ND1_R_4,S_ND1_M_1,R_ND2_R_1,R_ND2_R_2,R_ND2_R_3,R_ND2_R_4,R_ND2_M_1,F_M_R_1,F_M_R_2,F_M_R_3,F_M_R_4,F_M_M_1,A_M_R_1,A_M_R_2,A_M_R_3,A_M_R_4,A_M_M_1,attn_chk_1Q,attn_chk_2_Q,S_ND2_R_1,S_ND2_R_2,S_ND2_R_3,S_ND2_R_4,S_ND2_M_1,R_M_R_1,R_M_R_2,R_M_R_3,R_M_R_4,R_M_M_1,F_ND1_R_1,F_ND1_R_2,F_ND1_R_3,F_ND1_R_4,F_ND1_M_1,A_ND2_R_1,A_ND2_R_2,A_ND2_R_3,A_ND2_R_4,A_ND2_M_1,S_M_R_1,S_M_R_2,S_M_R_3,S_M_R_4,S_M_M_1,R_ND1_R_1,R_ND1_R_2,R_ND1_R_3,R_ND1_R_4,R_ND1_M_1,F_ND2_R_1,F_ND2_R_2,F_ND2_R_3,F_ND2_R_4,F_ND2_M_1,A_ND1_R_1,A_ND1_R_2,A_ND1_R_3,A_ND1_R_4,A_ND1_M_1,previous_version,Sample
2022-03-14 05:41:48,2022-03-14 05:47:21,0,,100,332,1,2022-03-14 05:47:21,R_A73XZ2mewFcg7xT,,,,,,,anonymous,EN,1,,43,2,,,,,,,,,,,,,,,,,5,5,5,5,55,7,5,6,6,6,6,55,6,6,4,6,50,5,5,5,5,50,,,,,,,,,,,,,,,,,,,,,,,,,,3,student
2022-03-14 05:45:17,2022-03-14 05:48:16,0,,100,178,1,2022-03-14 05:48:16,R_3ElNCSHqGhs9c51,,,,,,,anonymous,EN,1,,20,2,,7,7,7,7,100,7,7,6,7,100,7,7,7,7,100,7,7,7,7,100,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,student
2022-03-14 05:41:33,2022-03-14 05:48:38,0,,100,424,1,2022-03-14 05:48:38,R_TjAvhvbWmfhxLt7,,,,,,,anonymous,EN,1,,23,1,,6,6,6,6,81,6,6,6,6,80,7,7,5,5,86,7,7,7,7,93,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,student
2022-03-14 05:43:38,2022-03-14 05:49:04,0,,100,325,1,2022-03-14 05:49:04,R_3HzPTpmGZqIB456,,,,,,,anonymous,EN,1,,26,2,,,,,,,,,,,,,,,,,7,7,5,7,96,7,2,7,7,7,6,75,7,7,6,7,80,7,6,7,6,85,,,,,,,,,,,,,,,,,,,,,,,,,,3,student
2022-03-14 05:45:16,2022-03-14 05:49:22,0,,100,246,1,2022-03-14 05:49:23,R_3nGC5l3ECPmr8rL,,,,,,,anonymous,EN,1,,29,1,,,,,,,,,,,,,,,,,6,6,6,7,82,1,5,,,,,,,,,,,,,,,,,,,,,6,6,5,4,77,7,7,5,6,97,5,5,5,6,80,,,,,,1,student
2022-03-14 05:43:33,2022-03-14 05:49:39,0,,100,366,1,2022-03-14 05:49:40,R_1qg1JACpHtFsApn,,,,,,,anonymous,EN,1,,21,2,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,7,7,6,7,90,,,,,,,,,,,,,,,,,,,,,7,7,6,6,90,7,7,6,7,90,1,student
2022-03-14 05:45:24,2022-03-14 05:49:51,0,,100,267,1,2022-03-14 05:49:51,R_1duB4xAhynLsZg1,,,,,,,anonymous,EN,1,,21,2,,5,6,6,6,80,6,6,6,6,80,6,6,6,6,80,6,6,5,6,81,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,student
2022-03-14 05:45:25,2022-03-14 05:49:52,0,,100,267,1,2022-03-14 05:49:52,R_6thM6e8V15f7iyl,,,,,,,anonymous,EN,1,,20,2,,,,,,,,,,,,,,,,,6,7,7,7,90,7,2,,,,,,,,,,,,,,,,,,,,,6,6,6,6,90,6,6,6,6,90,6,6,6,6,90,,,,,,3,student
2022-03-14 05:47:57,2022-03-14 05:50:31,0,,100,153,1,2022-03-14 05:50:31,R_1LfuNm5e50gycW5,,,,,,,anonymous,EN,1,,23,2,,7,7,7,7,85,,,,,,7,7,7,7,85,,,,,,7,2,,,,,,7,7,4,7,90,,,,,,6,7,7,7,85,,,,,,,,,,,,,,,,,,,,,1,student
2022-03-14 05:46:57,2022-03-14 05:50:33,0,,100,216,1,2022-03-14 05:50:34,R_1DGdltBbrHLN7j7,,,,,,,anonymous,EN,1,,23,1,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,5,5,6,5,75,,,,,,5,4,5,3,54,4,5,3,5,75,2,student
2022-03-14 05:46:07,2022-03-14 05:50:37,0,,100,269,1,2022-03-14 05:50:37,R_2S7tG2VkGHiFoDX,,,,,,,anonymous,EN,1,,27,2,,,,,,,,,,,,,,,,,7,7,5,7,100,5,2,7,7,6,6,100,7,7,6,7,100,7,7,6,6,100,,,,,,,,,,,,,,,,,,,,,,,,,,2,student
2022-03-14 05:44:53,2022-03-14 05:51:09,0,,100,375,1,2022-03-14 05:51:09,R_3s0OSmS0GCR3vKH,,,,,,,anonymous,EN,1,,22,2,,,,,,,,,,,,6,6,2,6,77,,,,,,7,2,,,,,,,,,,,,,,,,6,5,4,5,60,6,6,3,6,73,6,6,4,6,58,,,,,,,,,,,1,student
2022-03-14 05:44:55,2022-03-14 05:51:18,0,,100,382,1,2022-03-14 05:51:18,R_2tzLH1WngFBOXtB,,,,,,,anonymous,EN,1,,42,2,,6,5,4,5,50,,,,,,6,5,4,4,51,,,,,,2,2,,,,,,7,6,6,6,92,,,,,,6,6,4,5,71,,,,,,,,,,,,,,,,,,,,,1,student
2022-03-14 05:45:16,2022-03-14 05:51:35,0,,100,378,1,2022-03-14 05:51:35,R_2RPUqaTfAGSHVgz,,,,,,,anonymous,EN,1,,21,2,,,,,,,,,,,,7,7,7,5,85,,,,,,7,5,,,,,,,,,,,,,,,,7,7,7,7,90,7,7,7,7,96,7,6,7,6,89,,,,,,,,,,,2,student
2022-03-14 05:47:31,2022-03-14 05:51:56,0,,100,265,1,2022-03-14 05:51:56,R_z1gLupG5xXMzDzj,,,,,,,anonymous,EN,1,,19,1,,7,7,7,7,100,6,7,6,7,96,7,7,7,7,90,7,7,7,7,100,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,student
2022-03-14 05:46:56,2022-03-14 05:53:37,0,,100,401,1,2022-03-14 05:53:37,R_1mzqgAr4M1W0Ds0,,,,,,,anonymous,EN,1,,52,1,,,,,,,,,,,,,,,,,7,7,7,7,83,3,5,7,7,7,7,83,7,7,7,7,83,5,5,5,5,80,,,,,,,,,,,,,,,,,,,,,,,,,,1,student
2022-03-14 05:47:09,2022-03-14 05:53:38,0,,100,388,1,2022-03-14 05:53:38,R_2S6wRKdtr8S2AB0,,,,,,,anonymous,EN,1,,18,1,,,,,,,,,,,,6,5,7,5,75,,,,,,7,2,,,,,,,,,,,,,,,,7,7,7,7,81,6,5,7,6,76,6,5,7,6,75,,,,,,,,,,,1,student
2022-03-14 05:50:45,2022-03-14 05:54:10,0,,100,205,1,2022-03-14 05:54:10,R_29bIWNrGpCzkY39,,,,,,,anonymous,EN,1,,27,2,,,,,,,,,,,,,,,,,6,6,5,6,85,7,2,,,,,,,,,,,,,,,,,,,,,7,6,6,6,90,6,7,6,7,93,5,5,6,5,75,,,,,,1,student
2022-03-14 05:51:14,2022-03-14 05:54:11,0,,100,176,1,2022-03-14 05:54:11,R_3Et1HXAo0lxGPog,,,,,,,anonymous,EN,1,,22,2,,,,,,,,,,,,,,,,,6,6,5,7,91,7,5,,,,,,,,,,,,,,,,,,,,,7,7,5,6,93,7,6,7,7,92,5,7,6,3,92,,,,,,2,student
2022-03-14 05:51:08,2022-03-14 05:55:32,0,,100,263,1,2022-03-14 05:55:32,R_33v72t9m2lL0x8c,,,,,,,anonymous,EN,1,,20,2,,,,,,,,,,,,,,,,,7,7,1,7,100,7,5,6,6,2,7,95,6,6,2,7,90,7,7,1,6,90,,,,,,,,,,,,,,,,,,,,,,,,,,3,student
2022-03-14 05:51:32,2022-03-14 05:56:07,0,,100,274,1,2022-03-14 05:56:07,R_3r39nxVRYe0ITAy,,,,,,,anonymous,EN,1,,28,1,,5,5,5,6,80,,,,,,6,6,6,6,80,,,,,,5,5,,,,,,5,5,4,6,77,,,,,,6,6,4,6,80,,,,,,,,,,,,,,,,,,,,,2,student
2022-03-14 05:54:28,2022-03-14 05:57:56,0,,100,207,1,2022-03-14 05:57:56,R_1PTvmdOR5TrVAcN,,,,,,,anonymous,EN,1,,21,2,,,,,,,,,,,,,,,,,7,7,7,7,100,7,2,,,,,,,,,,,,,,,,,,,,,6,7,7,7,100,7,7,4,1,47,7,7,7,7,100,,,,,,3,student
2022-03-14 05:55:30,2022-03-14 05:58:06,0,,100,155,1,2022-03-14 05:58:06,R_aaZhqLYBU2GHiUh,,,,,,,anonymous,EN,1,,18,3,,6,6,6,6,70,,,,,,6,6,6,6,60,,,,,,7,5,,,,,,7,6,6,6,75,,,,,,7,7,7,7,86,,,,,,,,,,,,,,,,,,,,,1,student
2022-03-14 05:52:15,2022-03-14 05:58:16,0,,100,361,1,2022-03-14 05:58:16,R_BsOylVEeAw5idqN,,,,,,,anonymous,EN,1,,23,2,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,6,5,5,7,70,,,,,,,,,,,,,,,,,,,,,5,6,4,4,50,5,5,7,6,70,1,student
2022-03-14 05:55:20,2022-03-14 05:59:24,0,,100,243,1,2022-03-14 05:59:24,R_2SeouOHoDzU13uf,,,,,,,anonymous,EN,1,,21,2,,7,7,7,7,90,7,7,7,7,96,7,7,7,7,94,7,7,7,7,96,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,student
2022-03-14 05:55:46,2022-03-14 06:00:11,0,,100,264,1,2022-03-14 06:00:11,R_1o0RXJqHqcbv93F,,,,,,,anonymous,EN,1,,20,2,,6,7,6,6,85,6,7,6,6,88,5,4,4,4,50,5,5,5,5,62,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,student
2022-03-14 05:55:54,2022-03-14 06:00:20,0,,100,266,1,2022-03-14 06:00:20,R_3JLD3u2RLBquiQf,,,,,,,anonymous,EN,1,,31,2,,,,,,,,,,,,,,,,,6,6,6,6,92,7,2,6,6,2,6,93,6,6,6,6,91,6,6,6,6,92,,,,,,,,,,,,,,,,,,,,,,,,,,1,student
2022-03-14 05:57:44,2022-03-14 06:00:50,0,,100,186,1,2022-03-14 06:00:51,R_3qpoQZIn4S4QooY,,,,,,,anonymous,EN,1,,28,1,,,,,,,,,,,,,,,,,7,7,7,7,100,1,2,7,7,7,7,100,7,7,4,7,100,4,4,4,4,50,,,,,,,,,,,,,,,,,,,,,,,,,,1,student
2022-03-14 05:58:00,2022-03-14 06:00:54,0,,100,174,1,2022-03-14 06:00:55,R_OJs0Hhgdq2DXlAd,,,,,,,anonymous,EN,1,,22,1,,,,,,,,,,,,5,6,5,5,92,,,,,,7,5,,,,,,,,,,,,,,,,6,6,6,6,95,6,6,6,6,96,6,6,6,6,95,,,,,,,,,,,1,student
2022-03-14 05:54:41,2022-03-14 06:01:21,0,,100,400,1,2022-03-14 06:01:21,R_DN4a1X6RDeMZWsF,,,,,,,anonymous,EN,1,,25,2,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,7,7,7,7,90,,,,,,,,,,,7,7,7,7,90,,,,,,,,,,,7,7,7,7,90,2,student
2022-03-14 06:00:38,2022-03-14 06:04:37,0,,100,239,1,2022-03-14 06:04:37,R_1ILhwtfPJNXxU7a,,,,,,,anonymous,EN,1,,21,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,7,7,6,7,100,,,,,,,,,,,7,7,7,7,100,,,,,,5,4,4,4,63,7,7,7,7,100,1,student
2022-03-14 06:01:45,2022-03-14 06:05:27,0,,100,222,1,2022-03-14 06:05:28,R_3IWRzLV3GjN1OJQ,,,,,,,anonymous,EN,1,,19,1,,,,,,,,,,,,,,,,,7,7,1,7,100,1,2,,,,,,,,,,,,,,,,,,,,,7,7,7,7,96,7,7,7,7,100,7,7,1,6,98,,,,,,2,student
2022-03-14 06:00:30,2022-03-14 06:06:38,0,,100,368,1,2022-03-14 06:06:39,R_2QXncmGHZCCnipN,,,,,,,anonymous,EN,1,,55,1,,7,7,6,7,81,,,,,,6,6,6,6,82,,,,,,1,5,,,,,,7,7,7,7,82,,,,,,7,6,6,6,76,,,,,,,,,,,,,,,,,,,,,2,student
2022-03-14 06:03:51,2022-03-14 06:07:30,0,,100,218,1,2022-03-14 06:07:30,R_AaFyO9VIoKpeT4Z,,,,,,,anonymous,EN,1,,22,2,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,7,7,6,7,100,,,,,,,,,,,7,7,6,7,100,,,,,,7,7,6,7,100,7,7,5,7,100,3,student
2022-03-14 06:05:18,2022-03-14 06:08:09,0,,100,171,1,2022-03-14 06:08:11,R_3CHkTitMqn7IgpN,,,,,,,anonymous,EN,1,,44,2,,,,,,,,,,,,7,7,7,7,100,,,,,,2,2,,,,,,,,,,,,,,,,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,,,,,,,,,,,3,student
2022-03-14 06:06:37,2022-03-14 06:10:17,0,,100,220,1,2022-03-14 06:10:17,R_1jCmuYDYFVV6i1o,,,,,,,anonymous,EN,1,,28,1,,,,,,,,,,,,,,,,,4,5,4,5,66,7,2,,,,,,,,,,,,,,,,,,,,,5,5,4,4,65,5,5,4,4,65,4,4,4,4,50,,,,,,2,student
2022-03-14 06:08:00,2022-03-14 06:12:24,0,,100,263,1,2022-03-14 06:12:24,R_3O2rrh7jsfWyJow,,,,,,,anonymous,EN,1,,20,2,,5,6,6,7,85,5,4,5,4,60,4,4,3,3,43,5,6,5,5,70,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,student
2022-03-14 06:09:37,2022-03-14 06:12:27,0,,100,170,1,2022-03-14 06:12:28,R_3HuX63UnzRrZcRQ,,,,,,,anonymous,EN,1,,21,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,7,5,7,82,,,,,,,,,,,6,6,5,5,67,,,,,,5,6,5,5,61,6,6,5,6,71,1,student
2022-03-14 05:40:43,2022-03-14 06:12:36,0,,100,1912,1,2022-03-14 06:12:36,R_1et42SBx1sj4yeA,,,,,,,anonymous,EN,1,,39,1,,7,7,7,7,100,,,,,,7,7,7,4,90,,,,,,1,2,,,,,,7,7,7,7,100,,,,,,7,7,7,6,83,,,,,,,,,,,,,,,,,,,,,2,student
2022-03-14 06:11:29,2022-03-14 06:14:01,0,,100,152,1,2022-03-14 06:14:02,R_3HAcPCh81cAY12r,,,,,,,anonymous,EN,1,,20,2,,,,,,,,,,,,5,5,5,4,68,,,,,,2,5,,,,,,,,,,,,,,,,5,4,6,5,74,6,5,6,7,89,6,5,7,6,79,,,,,,,,,,,3,student
2022-03-14 06:12:46,2022-03-14 06:16:15,0,,100,208,1,2022-03-14 06:16:15,R_2b30dgJs3OZV5t0,,,,,,,anonymous,EN,1,,21,2,,,,,,,,,,,,,,,,,6,6,4,6,85,7,2,6,6,5,6,85,6,6,4,6,85,5,5,4,4,65,,,,,,,,,,,,,,,,,,,,,,,,,,3,student
