"ResponseId","R1","R2","R3","R4","M1","scenario","condition","diagnostic12","valence","age","gender","attn_chk_1Q","attn_chk_2_Q","R_tot","M1R_tot","att1_fail","att2_fail","att_fail"
"R_a2Tz3P84GYwBidX",6,5,6,6,82,"sam","non-diagnostic","ND1","good",35,1,1,1,5.75,0.746520074322165,TRUE,TRUE,TRUE
"R_2ckqBWzsQztQ7Hn",5,6,5,6,75,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.568779882847323,TRUE,TRUE,TRUE
"R_SCVqAzsDhdC0fMB",6,5,6,7,89,"sam","non-diagnostic","ND1","good",35,1,1,1,6,0.924260265797006,TRUE,TRUE,TRUE
"R_2Yn3tuYZYwfSJlJ",5,6,5,6,81,"sam","non-diagnostic","ND1","good",36,1,1,4,5.5,0.66762916674363,TRUE,TRUE,TRUE
"R_3030nAoOm01A9OE",5,6,5,6,80,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.651154286094246,TRUE,TRUE,TRUE
"R_YXhm1kkMeOoa8gh",5,6,5,6,80,"sam","non-diagnostic","ND1","good",36,1,1,4,5.5,0.651154286094246,TRUE,TRUE,TRUE
"R_1NymohQS8YJhLDZ",5,6,5,6,76,"sam","non-diagnostic","ND1","good",37,1,1,1,5.5,0.585254763496707,TRUE,TRUE,TRUE
"R_1gTrSCSb5hkmtqi",6,5,6,6,86,"sam","non-diagnostic","ND1","good",36,1,1,1,5.75,0.812419596919703,TRUE,TRUE,TRUE
"R_3EF2EEa16VKWNOF",5,6,5,6,77,"sam","non-diagnostic","ND1","good",35,1,1,1,5.5,0.601729644146092,TRUE,TRUE,TRUE
"R_1eUDkwukb2IZhDc",5,6,5,6,76,"sam","non-diagnostic","ND1","good",36,2,1,1,5.5,0.585254763496707,TRUE,TRUE,TRUE
"R_2hSgfHl7VeqaB6F",5,6,5,6,57,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.272232031158401,TRUE,TRUE,TRUE
"R_10DHrERvUUb9I2n",5,4,5,4,76,"sam","non-diagnostic","ND1","good",36,2,1,1,4.5,0.335590655780108,TRUE,TRUE,TRUE
"R_b33dPRGIfoSIbYd",5,6,5,6,56,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.255757150509016,TRUE,TRUE,TRUE
"R_5p8lcfPAYKKxIbf",5,6,5,6,75,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.568779882847323,TRUE,TRUE,TRUE
"R_2bPK33N8KAETYt2",5,6,5,6,74,"sam","non-diagnostic","ND1","good",38,1,1,1,5.5,0.552305002197938,TRUE,TRUE,TRUE
"R_10UYfXhtwooEHvb",5,6,5,6,80,"sam","non-diagnostic","ND1","good",36,1,1,4,5.5,0.651154286094246,TRUE,TRUE,TRUE
"R_xFvzfgVZf76fTi1",6,6,7,6,93,"sam","non-diagnostic","ND1","good",36,1,1,1,6.25,1.05257581532369,TRUE,TRUE,TRUE
"R_2uIZIl8LIlXLKk7",5,6,5,6,75,"sam","non-diagnostic","ND1","good",36,2,1,1,5.5,0.568779882847323,TRUE,TRUE,TRUE
"R_2DMs1uCKFxkHsJf",5,6,5,6,79,"sam","non-diagnostic","ND1","good",36,2,1,1,5.5,0.634679405444861,TRUE,TRUE,TRUE
"R_3I4PbZHyHIy3lx4",5,6,5,6,78,"sam","non-diagnostic","ND1","good",37,1,1,1,5.5,0.618204524795477,TRUE,TRUE,TRUE
"R_3HvrPnXDySR0UoJ",5,6,5,6,81,"sam","non-diagnostic","ND1","good",36,1,1,3,5.5,0.66762916674363,TRUE,TRUE,TRUE
"R_1OUNmTh9Y6uaRQc",5,6,5,6,74,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.552305002197938,TRUE,TRUE,TRUE
"R_BVsL4m5ufdI5Dln",5,6,5,6,81,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.66762916674363,TRUE,TRUE,TRUE
"R_1dpgxbnzQtS55Lx",5,6,5,6,76,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.585254763496707,TRUE,TRUE,TRUE
"R_41MMJWaklUAR4Yh",6,5,6,5,83,"sam","non-diagnostic","ND1","good",35,1,1,1,5.5,0.700578928042399,TRUE,TRUE,TRUE
"R_1mITuCbrOBt1xTs",5,6,5,6,79,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.634679405444861,TRUE,TRUE,TRUE
"R_3jcheTGXE3C9RdP",5,6,5,6,77,"sam","non-diagnostic","ND1","good",36,2,1,1,5.5,0.601729644146092,TRUE,TRUE,TRUE
"R_3Ork7NqybOxDdde",2,1,2,2,33,"sam","non-diagnostic","ND1","good",36,1,1,1,1.75,-1.05940550836408,TRUE,TRUE,TRUE
"R_2fCAKvmoDUFpNvH",5,6,5,6,77,"sam","non-diagnostic","ND1","good",35,1,1,1,5.5,0.601729644146092,TRUE,TRUE,TRUE
"R_3nUcycR9gAX3RTi",5,6,5,6,75,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.568779882847323,TRUE,TRUE,TRUE
"R_3jcxwvGqBstkX9F",5,6,5,6,73,"sam","non-diagnostic","ND1","good",37,1,1,1,5.5,0.535830121548554,TRUE,TRUE,TRUE
"R_1Oy3o5ClylZxGMd",6,6,6,7,83,"sam","non-diagnostic","ND1","good",35,1,1,1,6.25,0.887827008829849,TRUE,TRUE,TRUE
"R_3IWYS9v65KqnLfz",7,6,7,6,82,"sam","non-diagnostic","ND1","good",35,1,1,1,6.5,0.933768155109614,TRUE,TRUE,TRUE
"R_3DbcWujbKc8zXwr",6,5,6,6,88,"sam","non-diagnostic","ND1","good",36,1,1,1,5.75,0.845369358218472,TRUE,TRUE,TRUE
"R_sYwkyDK8fTPgRl7",7,6,6,6,81,"sam","non-diagnostic","ND1","good",35,1,1,1,6.25,0.85487724753108,TRUE,TRUE,TRUE
"R_31XmutLgcfFyH9R",5,6,5,6,79,"sam","non-diagnostic","ND1","good",35,1,2,1,5.5,0.634679405444861,TRUE,TRUE,TRUE
"R_Og6xad70Ub8PoaJ",5,6,5,6,76,"sam","non-diagnostic","ND1","good",38,1,1,1,5.5,0.585254763496707,TRUE,TRUE,TRUE
"R_31S1okLTK1oISTO",5,6,5,6,75,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.568779882847323,TRUE,TRUE,TRUE
"R_s75LWagwGCfUj9n",5,6,5,6,73,"sam","non-diagnostic","ND1","good",36,1,2,1,5.5,0.535830121548554,TRUE,TRUE,TRUE
"R_qUWbvdb8q9ayiGt",5,6,5,6,74,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.552305002197938,TRUE,TRUE,TRUE
"R_saQ7BE7n7uJaaOZ",5,6,5,6,74,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.552305002197938,TRUE,TRUE,TRUE
"R_sBV8KdAnLVBqg6J",5,6,5,6,74,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.552305002197938,TRUE,TRUE,TRUE
"R_2WvTqIk4bqqQjxL",5,6,5,6,73,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.535830121548554,TRUE,TRUE,TRUE
"R_1K9AMd2enSWnPAG",6,5,6,5,88,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.782953331289322,TRUE,TRUE,TRUE
"R_2VgPUZWjpgbUzRO",6,6,6,6,86,"sam","non-diagnostic","ND1","good",35,1,1,1,6,0.874835623848853,TRUE,TRUE,TRUE
"R_2urkMJBbFeq4EPJ",6,6,6,6,83,"sam","non-diagnostic","ND1","good",36,1,1,1,6,0.825410981900699,TRUE,TRUE,TRUE
"R_qvYWtp8BPje4wTf",5,6,5,6,78,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.618204524795477,TRUE,TRUE,TRUE
"R_2AQeNH15pB4Luyb",6,6,6,6,78,"sam","non-diagnostic","ND1","good",36,1,1,1,6,0.743036578653776,TRUE,TRUE,TRUE
"R_25Af96Z6RCk82E3",5,6,5,6,77,"sam","non-diagnostic","ND1","good",35,1,1,1,5.5,0.601729644146092,TRUE,TRUE,TRUE
"R_3Pw5NiPl926UQiF",5,6,5,6,75,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.568779882847323,TRUE,TRUE,TRUE
"R_25u2SSmC5RmheQt",5,6,5,6,74,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.552305002197938,TRUE,TRUE,TRUE
"R_7apYZumRQo3uOJj",5,6,5,6,75,"sam","non-diagnostic","ND1","good",37,1,1,1,5.5,0.568779882847323,TRUE,TRUE,TRUE
"R_2YhtYszo84Ozncl",5,6,5,6,76,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.585254763496707,TRUE,TRUE,TRUE
"R_w0sjM46D8oXOoXT",5,6,5,6,76,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.585254763496707,TRUE,TRUE,TRUE
"R_3O2CemSpzT7loEc",5,6,5,6,76,"sam","non-diagnostic","ND1","good",37,1,1,1,5.5,0.585254763496707,TRUE,TRUE,TRUE
"R_3Ra0UPNabv2QUhz",5,6,5,6,77,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.601729644146092,TRUE,TRUE,TRUE
"R_3JgyIhvGUBLtiI4",5,6,5,6,77,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.601729644146092,TRUE,TRUE,TRUE
"R_vSpi02b8M35N6Fj",4,3,2,3,58,"sam","non-diagnostic","ND1","good",36,1,1,1,3,-0.335453357483713,TRUE,TRUE,TRUE
"R_54QvDt1l0LTmgk9",5,6,5,6,77,"sam","non-diagnostic","ND1","good",37,1,1,1,5.5,0.601729644146092,TRUE,TRUE,TRUE
"R_3p2WZeUDGmhZq6N",5,6,5,6,59,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.30518179245717,TRUE,TRUE,TRUE
"R_3qkVBRUlVX7I3fS",5,6,5,6,79,"sam","non-diagnostic","ND1","good",35,1,1,1,5.5,0.634679405444861,TRUE,TRUE,TRUE
"R_32QI9ux45aRZ90a",5,6,5,6,81,"sam","non-diagnostic","ND1","good",36,1,2,1,5.5,0.66762916674363,TRUE,TRUE,TRUE
"R_1LjtRChfyNqxk8V",5,6,5,6,75,"sam","non-diagnostic","ND1","good",35,1,2,1,5.5,0.568779882847323,TRUE,TRUE,TRUE
"R_1IBfpJi6rOJZEiO",5,6,5,6,58,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.288706911807785,TRUE,TRUE,TRUE
"R_11YlPssw4kjRqyk",5,6,5,6,77,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.601729644146092,TRUE,TRUE,TRUE
"R_qKLeDGuAOpKXaZH",6,7,6,6,81,"sam","non-diagnostic","ND1","good",37,2,1,1,6.25,0.85487724753108,TRUE,TRUE,TRUE
"R_PTAqCzFxTQ6BjKp",4,5,6,7,69,"sam","non-diagnostic","ND1","good",45,1,3,1,5.5,0.469930598951015,TRUE,TRUE,TRUE
"R_UlGB2Ae0nGurmUh",5,6,6,5,80,"sam","non-diagnostic","ND2","good",37,2,1,1,5.5,0.651154286094246,TRUE,TRUE,TRUE
"R_3M6eclXzVQZXCpr",5,6,6,5,78,"sam","non-diagnostic","ND2","good",38,1,1,1,5.5,0.618204524795477,TRUE,TRUE,TRUE
"R_viWOjCiwj7wFPS9",3,4,3,5,76,"sam","non-diagnostic","ND2","good",35,1,1,1,3.75,0.148342574992658,TRUE,TRUE,TRUE
"R_294CAIfVykvyuAD",5,6,5,6,77,"sam","non-diagnostic","ND2","good",35,1,1,1,5.5,0.601729644146092,TRUE,TRUE,TRUE
"R_6V6Zg9GuP3ihKAp",6,7,6,6,82,"sam","non-diagnostic","ND2","good",36,1,1,1,6.25,0.871352128180464,TRUE,TRUE,TRUE
"R_vZAcnmMHryhOBH3",5,6,5,6,77,"sam","non-diagnostic","ND2","good",36,1,1,1,5.5,0.601729644146092,TRUE,TRUE,TRUE
"R_1gRRmEnzJtInfoE",6,7,6,5,80,"sam","non-diagnostic","ND2","good",35,1,1,1,6,0.775986339952545,TRUE,TRUE,TRUE
"R_1plEmk0KHw7pHnG",5,6,5,6,75,"sam","non-diagnostic","ND2","good",36,1,1,1,5.5,0.568779882847323,TRUE,TRUE,TRUE
"R_yQKDvRYSJLk6hEt",5,6,5,6,79,"sam","non-diagnostic","ND2","good",36,1,1,1,5.5,0.634679405444861,TRUE,TRUE,TRUE
"R_2uUnMly9MwXL4zq",6,6,6,5,78,"sam","non-diagnostic","ND2","good",35,1,1,1,5.75,0.680620551724626,TRUE,TRUE,TRUE
"R_3qEi5VEzKp0bBFN",5,6,6,5,80,"sam","non-diagnostic","ND2","good",37,1,2,1,5.5,0.651154286094246,TRUE,TRUE,TRUE
"R_1FRfYf4VTdHY6ul",5,6,5,6,80,"sam","non-diagnostic","ND2","good",37,1,1,1,5.5,0.651154286094246,TRUE,TRUE,TRUE
"R_3CATEAwTALKN3IR",6,5,6,6,77,"sam","non-diagnostic","ND2","good",36,1,2,1,5.75,0.664145671075242,TRUE,TRUE,TRUE
"R_1OSTt8WLgwXEkyi",6,5,6,5,78,"sam","non-diagnostic","ND2","good",37,2,2,3,5.5,0.618204524795477,TRUE,TRUE,TRUE
"R_2zhX8iijcghVA3W",5,6,5,6,79,"sam","non-diagnostic","ND2","good",32,1,1,1,5.5,0.634679405444861,TRUE,TRUE,TRUE
"R_2sRavfFudk7uAFH",7,6,5,6,82,"sam","non-diagnostic","ND2","good",37,2,2,3,6,0.808936101251315,TRUE,TRUE,TRUE
"R_3g7tghlmhqlM3Ca",5,6,5,6,79,"sam","non-diagnostic","ND2","good",39,1,3,1,5.5,0.634679405444861,TRUE,TRUE,TRUE
"R_3khLS1V96TBWz0w",5,6,5,6,79,"sam","non-diagnostic","ND2","good",35,1,1,1,5.5,0.634679405444861,TRUE,TRUE,TRUE
"R_339BAj7Ao1Uo77E",6,7,6,7,93,"sam","non-diagnostic","ND2","good",38,2,1,1,6.5,1.11499184225284,TRUE,TRUE,TRUE
"R_1jHVZX4agIQKS0b",6,7,6,7,84,"sam","non-diagnostic","ND2","good",41,2,1,1,6.5,0.966717916408383,TRUE,TRUE,TRUE
"R_2aaegsdjP8wNnQZ",6,7,6,7,88,"sam","non-diagnostic","ND2","good",37,2,1,1,6.5,1.03261743900592,TRUE,TRUE,TRUE
"R_00nINNGTK79WDct",5,6,5,6,80,"sam","non-diagnostic","ND2","good",35,1,1,1,5.5,0.651154286094246,TRUE,TRUE,TRUE
"R_3PYtbR7YearXrQ7",5,6,5,6,80,"sam","non-diagnostic","ND2","good",35,1,1,3,5.5,0.651154286094246,TRUE,TRUE,TRUE
"R_x58Br5Lf36iWIRH",5,6,5,6,81,"sam","non-diagnostic","ND2","good",35,1,1,1,5.5,0.66762916674363,TRUE,TRUE,TRUE
"R_24Abbyt72LIlyLp",6,6,6,7,81,"sam","non-diagnostic","ND2","good",36,1,1,1,6.25,0.85487724753108,TRUE,TRUE,TRUE
"R_72HggrN5lg8NiPD",7,7,6,6,89,"sam","non-diagnostic","ND2","good",37,1,2,4,6.5,1.04909231965531,TRUE,TRUE,TRUE
"R_1pXxqWseSetI2uq",7,6,7,7,86,"sam","non-diagnostic","ND2","good",29,1,2,1,6.75,1.0620837046363,TRUE,TRUE,TRUE
"R_3D0fgTvAo2LmeQh",4,3,2,3,55,"sam","non-diagnostic","ND2","good",36,1,2,1,3,-0.384877999431867,TRUE,TRUE,TRUE
"R_2PuKoW1SGuYvMCX",7,6,7,7,79,"sam","non-diagnostic","ND2","good",35,1,1,1,6.75,0.94675954009061,TRUE,TRUE,TRUE
"R_1EgvGXMm1ZhJUmH",7,6,7,6,81,"sam","non-diagnostic","ND2","good",36,1,1,1,6.5,0.91729327446023,TRUE,TRUE,TRUE
"R_1DHcew7iOpieQr3",6,7,6,5,80,"sam","non-diagnostic","ND2","good",36,1,1,1,6,0.775986339952545,TRUE,TRUE,TRUE
"R_AzcshmVQv7Kn4L7",7,6,7,6,84,"sam","non-diagnostic","ND2","good",27,2,1,1,6.5,0.966717916408383,TRUE,TRUE,TRUE
"R_1HkNdRz3uXguknK",4,3,2,3,56,"sam","non-diagnostic","ND2","good",36,1,1,1,3,-0.368403118782482,TRUE,TRUE,TRUE
"R_ddtEaBTYdwEwExz",6,7,7,6,82,"sam","non-diagnostic","ND2","good",36,1,1,1,6.5,0.933768155109614,TRUE,TRUE,TRUE
"R_3323B4zVs8SqXLn",6,7,7,6,84,"sam","non-diagnostic","ND2","good",35,1,1,1,6.5,0.966717916408383,TRUE,TRUE,TRUE
"R_3lra5RDg2vvlnz2",6,7,6,6,82,"sam","non-diagnostic","ND2","good",35,1,1,1,6.25,0.871352128180464,TRUE,TRUE,TRUE
"R_3sdGA7vIlzlvnZQ",6,6,6,7,74,"sam","non-diagnostic","ND2","good",35,1,1,1,6.25,0.739553082985388,TRUE,TRUE,TRUE
"R_3hfkjzXrngL0iIr",7,6,7,6,87,"sam","non-diagnostic","ND2","good",36,1,1,1,6.5,1.01614255835654,TRUE,TRUE,TRUE
"R_3CEnXqSEuKxmLbW",7,7,7,7,100,"sam","non-diagnostic","ND2","good",26,2,2,3,7,1.35514806065684,TRUE,TRUE,TRUE
"R_2dzlmyf9fFVR3WI",6,6,5,6,81,"sam","non-diagnostic","ND2","good",34,2,2,1,5.75,0.73004519367278,TRUE,TRUE,TRUE
"R_2zdtVb0jheFzJum",6,7,7,7,97,"sam","non-diagnostic","ND2","good",25,2,1,4,6.75,1.24330739177953,TRUE,TRUE,TRUE
"R_2urHde1puLVosoI",7,6,6,6,83,"sam","non-diagnostic","ND2","good",36,2,3,4,6.25,0.887827008829849,TRUE,TRUE,TRUE
"R_3n0qPsLweFqkLBW",5,6,5,6,76,"sam","non-diagnostic","ND2","good",36,1,2,1,5.5,0.585254763496707,TRUE,TRUE,TRUE
"R_1IiaOdcgNud0DAI",5,6,5,6,78,"sam","non-diagnostic","ND2","good",36,1,1,1,5.5,0.618204524795477,TRUE,TRUE,TRUE
"R_29djbIyDfiRWGWN",3,3,2,3,54,"sam","non-diagnostic","ND2","good",36,1,1,1,2.75,-0.463768907010402,TRUE,TRUE,TRUE
"R_3pl6S0xetTfdzFI",7,6,5,7,84,"sam","non-diagnostic","ND2","good",35,1,1,1,6.25,0.904301889479234,TRUE,TRUE,TRUE
"R_2rHH5CltgdK9VNq",5,6,5,6,77,"sam","non-diagnostic","ND2","good",36,1,1,1,5.5,0.601729644146092,TRUE,TRUE,TRUE
"R_3Rwl7uJpFUgAOqk",6,5,6,6,82,"sam","non-diagnostic","ND2","good",42,2,2,1,5.75,0.746520074322165,TRUE,TRUE,TRUE
"R_12JzZoFvbBGdl8U",7,5,6,6,81,"sam","non-diagnostic","ND2","good",36,1,1,1,6,0.79246122060193,TRUE,TRUE,TRUE
"R_11avTlGJhuZxnjP",7,7,7,7,93,"sam","non-diagnostic","ND2","good",26,1,1,1,7,1.23982389611114,TRUE,TRUE,TRUE
