StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consentQ,age,gender,gender_4_TEXT,S_G_M_R_1,S_G_M_R_2,S_G_M_R_3,S_G_M_R_4,S_G_M_M_1,R_G_ND1_R_1,R_G_ND1_R_2,R_G_ND1_R_3,R_G_ND1_R_4,R_G_ND1_M_1,A_B_M_R_1,A_B_M_R_2,A_B_M_R_3,A_B_M_R_4,A_B_M_M_1,F_B_ND2_R_1,F_B_ND2_R_2,F_B_ND2_R_3,F_B_ND2_R_4,F_B_ND2_M_1,attn_chk_1Q,attn_chk_2_Q,S_G_ND1_R_1,S_G_ND1_R_2,S_G_ND1_R_3,S_G_ND1_R_4,S_G_ND1_M_1,R_G_M_R_1,R_G_M_R_2,R_G_M_R_3,R_G_M_R_4,R_G_M_M_1,A_B_ND2_R_1,A_B_ND2_R_2,A_B_ND2_R_3,A_B_ND2_R_4,A_B_ND2_M_1,F_B_M_R_1,F_B_M_R_2,F_B_M_R_3,F_B_M_R_4,F_B_M_M_1,R_G_ND2_R_1,R_G_ND2_R_2,R_G_ND2_R_3,R_G_ND2_R_4,R_G_ND2_M_1,F_B_ND1_R_1,F_B_ND1_R_2,F_B_ND1_R_3,F_B_ND1_R_4,F_B_ND1_M_1,S_G_ND2_R_1,S_G_ND2_R_2,S_G_ND2_R_3,S_G_ND2_R_4,S_G_ND2_M_1,A_B_ND1_R_1,A_B_ND1_R_2,A_B_ND1_R_3,A_B_ND1_R_4,A_B_ND1_M_1,previous_version,FL_59_DO,FL_6_DO,FL_26_DO,FL_27_DO,FL_28_DO,FL_29_DO,FL_30_DO,FL_31_DO,FL_93_DO,FL_100_DO
2022-04-11 14:35:36,2022-04-11 14:38:03,0,100,146,1,2022-04-11 14:38:06,R_2VJFnOxcI7uxNfE,,,,,anonymous,EN,1,25,2,,7,7,7,7,90,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,1,1,1,1,9,7,7,7,7,86,,,,,,,,,,,1,2,3,2,22,2,FL_6,FL_93,,,,,,,S_G_M|attn1|F_B_M|R_G_ND2|A_B_ND1|attn2,
2022-04-11 14:35:32,2022-04-11 14:38:06,0,100,153,1,2022-04-11 14:38:07,R_5gtftCceIg36F3z,,,,,anonymous,EN,1,49,2,,,,,,,,,,,,2,2,2,2,38,4,4,4,4,36,7,5,5,5,5,5,72,6,6,6,6,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_29,,,,S_G_ND1|A_B_M|F_B_ND2|attn1|attn2|R_G_M,,,,
2022-04-11 14:35:50,2022-04-11 14:38:08,0,100,137,1,2022-04-11 14:38:09,R_2Pig0JGX7mMk8Uv,,,,,anonymous,EN,1,52,1,,6,6,6,6,85,6,6,6,6,90,2,2,2,2,19,3,3,3,3,27,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_26,R_G_ND1|F_B_ND2|A_B_M|S_G_M|attn1|attn2,,,,,,,
2022-04-11 14:36:38,2022-04-11 14:38:08,0,100,90,1,2022-04-11 14:38:09,R_C4tghJbbgEsoSWt,,,,,anonymous,EN,1,33,1,,,,,,,,,,,,5,3,4,4,71,1,6,6,6,68,1,5,4,2,1,7,72,1,3,6,3,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FL_6,FL_29,,,,attn1|attn2|R_G_M|F_B_ND2|S_G_ND1|A_B_M,,,,
2022-04-11 14:35:59,2022-04-11 14:38:00,0,100,120,1,2022-04-11 14:38:11,R_2uZI3wKojZYcjGX,,,,,anonymous,EN,1,26,1,,,,,,,,,,,,,,,,,,,,,,7,2,4,5,5,4,59,4,3,5,4,44,3,3,2,4,30,4,4,3,4,47,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_27,,A_B_ND2|S_G_ND1|F_B_M|R_G_M|attn1|attn2,,,,,,
2022-04-11 14:36:29,2022-04-11 14:38:23,0,100,113,1,2022-04-11 14:38:24,R_1n8caYX1DzMMmWJ,,,,,anonymous,EN,1,55,2,,,,,,,,,,,,,,,,,,,,,,7,5,7,7,7,7,100,7,7,7,7,100,1,1,1,1,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_27,,A_B_ND2|attn2|F_B_M|S_G_ND1|R_G_M|attn1,,,,,,
2022-04-11 14:36:31,2022-04-11 14:38:25,0,100,114,1,2022-04-11 14:38:25,R_2waIvEynDk4KEON,,,,,anonymous,EN,1,28,2,,4,5,6,7,70,4,5,6,7,82,4,5,6,7,84,4,5,6,7,100,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FL_6,FL_26,attn1|attn2|F_B_ND2|S_G_M|A_B_M|R_G_ND1,,,,,,,
2022-04-11 14:35:59,2022-04-11 14:38:27,0,100,147,1,2022-04-11 14:38:27,R_1XLZlkIA13xygut,,,,,anonymous,EN,1,54,2,,7,7,6,7,95,,,,,,1,1,2,1,10,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,6,7,6,7,90,2,2,1,2,15,,,,,,,,,,,2,FL_6,FL_30,,,,,S_G_M|R_G_ND2|F_B_ND1|A_B_M|attn1|attn2,,,
2022-04-11 14:35:41,2022-04-11 14:38:31,0,100,170,1,2022-04-11 14:38:32,R_30jIPrOuzsz1q6o,,,,,anonymous,EN,1,52,2,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,6,7,6,7,87,,,,,,7,6,7,6,95,,,,,,,,,,,7,6,7,6,91,6,7,6,7,92,1,FL_6,FL_31,,,,,,R_G_M|F_B_M|A_B_ND1|attn2|S_G_ND2|attn1,,
2022-04-11 14:35:54,2022-04-11 14:38:38,0,100,164,1,2022-04-11 14:38:39,R_1HqRL3DEv0m5otE,,,,,anonymous,EN,1,29,2,,,,,,,,,,,,1,1,1,1,0,,,,,,7,2,,,,,,7,7,7,7,100,,,,,,,,,,,,,,,,1,1,1,1,0,7,7,7,7,100,,,,,,2,FL_6,FL_100,,,,,,,,R_G_M|A_B_M|attn1|S_G_ND2|F_B_ND1|attn2
2022-04-11 14:36:18,2022-04-11 14:38:49,0,100,150,1,2022-04-11 14:38:49,R_Q4DgLyhzTNX80F3,,,,,anonymous,EN,1,36,2,,,,,,,,,,,,6,4,5,6,62,3,5,4,6,77,7,2,4,6,5,6,76,6,5,7,6,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_29,,,,S_G_ND1|F_B_ND2|R_G_M|A_B_M|attn2|attn1,,,,
2022-04-11 14:35:40,2022-04-11 14:38:52,0,100,191,1,2022-04-11 14:38:53,R_1LvAljCKMTWz3g2,,,,,anonymous,EN,1,51,1,,7,7,7,7,95,7,7,7,7,95,,,,,,,,,,,7,2,,,,,,,,,,,1,1,2,2,10,1,1,1,1,9,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_28,,,A_B_ND2|R_G_ND1|F_B_M|attn2|attn1|S_G_M,,,,,
2022-04-11 14:36:24,2022-04-11 14:38:55,0,100,150,1,2022-04-11 14:38:55,R_334r8tMQC9dPHof,,,,,anonymous,EN,1,30,1,,,,,,,,,,,,6,5,6,6,80,6,5,4,6,77,3,2,5,5,7,6,80,6,5,6,6,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_29,,,,F_B_ND2|attn1|A_B_M|S_G_ND1|attn2|R_G_M,,,,
2022-04-11 14:35:47,2022-04-11 14:39:02,0,100,195,1,2022-04-11 14:39:02,R_0xgLcvho6nzSOU9,,,,,anonymous,EN,1,64,2,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,7,6,6,7,100,,,,,,7,6,7,6,91,,,,,,,,,,,7,6,7,6,88,7,7,7,7,99,1,FL_6,FL_31,,,,,,F_B_M|attn2|S_G_ND2|R_G_M|attn1|A_B_ND1,,
2022-04-11 14:35:34,2022-04-11 14:39:02,0,100,208,1,2022-04-11 14:39:03,R_1itj06sonFUWq13,,,,,anonymous,EN,1,44,1,,,,,,,,,,,,,,,,,,,,,,7,2,6,5,7,6,66,6,6,7,7,80,1,1,3,2,10,2,1,1,2,5,,,,,,,,,,,,,,,,,,,,,1,FL_6,FL_27,,F_B_M|A_B_ND2|S_G_ND1|R_G_M|attn1|attn2,,,,,,
2022-04-11 14:35:35,2022-04-11 14:39:10,0,100,214,1,2022-04-11 14:39:10,R_1giQnce0fTHrC44,,,,,anonymous,EN,1,27,1,,7,7,7,7,95,7,7,6,7,95,,,,,,,,,,,7,2,,,,,,,,,,,3,3,4,3,35,2,2,2,1,10,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_28,,,attn2|attn1|S_G_M|R_G_ND1|F_B_M|A_B_ND2,,,,,
2022-04-11 14:37:44,2022-04-11 14:39:12,0,100,88,1,2022-04-11 14:39:13,R_2ATl8zpPHWDBq3Z,,,,,anonymous,EN,1,26,1,,,,,,,,,,,,,,,,,,,,,,7,2,7,7,6,6,86,7,7,6,7,94,2,2,1,1,14,1,1,1,1,5,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_27,,attn2|R_G_M|S_G_ND1|attn1|A_B_ND2|F_B_M,,,,,,
2022-04-11 14:35:59,2022-04-11 14:39:14,0,100,195,1,2022-04-11 14:39:14,R_1ONNowqAq2remDz,,,,,anonymous,EN,1,28,2,,6,7,4,6,92,7,5,7,6,81,,,,,,,,,,,7,4,,,,,,,,,,,7,4,6,5,72,6,4,7,6,85,,,,,,,,,,,,,,,,,,,,,1,FL_6,FL_28,,,R_G_ND1|S_G_M|attn1|attn2|F_B_M|A_B_ND2,,,,,
2022-04-11 14:35:33,2022-04-11 14:39:15,0,100,221,1,2022-04-11 14:39:15,R_31gukCyIjzYVMnm,,,,,anonymous,EN,1,38,2,,7,7,7,7,100,,,,,,2,1,3,1,5,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,6,7,6,7,87,3,2,1,2,4,,,,,,,,,,,2,FL_6,FL_30,,,,,attn1|attn2|A_B_M|R_G_ND2|F_B_ND1|S_G_M,,,
2022-04-11 14:37:27,2022-04-11 14:39:22,0,100,114,1,2022-04-11 14:39:22,R_2YfX44ZDkaW8xlP,,,,,anonymous,EN,1,24,1,,,,,,,,,,,,,,,,,,,,,,1,1,6,2,4,3,61,5,2,6,5,37,3,4,5,3,62,6,3,5,2,69,,,,,,,,,,,,,,,,,,,,,1,FL_6,FL_27,,S_G_ND1|attn1|F_B_M|attn2|A_B_ND2|R_G_M,,,,,,
2022-04-11 14:36:07,2022-04-11 14:39:23,0,100,195,1,2022-04-11 14:39:23,R_3jTfJ7ruj8qqUJH,,,,,anonymous,EN,1,22,2,,7,6,5,7,93,7,6,7,5,95,7,6,5,4,97,7,6,7,6,85,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_26,S_G_M|attn1|F_B_ND2|attn2|R_G_ND1|A_B_M,,,,,,,
2022-04-11 14:36:55,2022-04-11 14:39:31,0,100,156,1,2022-04-11 14:39:33,R_D7wuxx9oPqQEueB,,,,,anonymous,EN,1,30,1,,,,,,,,,,,,3,1,4,2,26,,,,,,7,2,,,,,,7,6,5,5,67,,,,,,,,,,,,,,,,3,3,2,4,71,6,5,5,7,78,,,,,,2,FL_6,FL_100,,,,,,,,A_B_M|attn1|attn2|S_G_ND2|F_B_ND1|R_G_M
2022-04-11 14:37:37,2022-04-11 14:39:35,0,100,118,1,2022-04-11 14:39:37,R_1Lipm1HX3CVxz2a,,,,,anonymous,EN,1,35,1,,,,,,,,,,,,,,,,,,,,,,5,1,7,7,7,7,87,7,7,7,7,87,7,7,7,7,87,7,7,7,7,85,,,,,,,,,,,,,,,,,,,,,1,FL_6,FL_27,,attn2|S_G_ND1|attn1|F_B_M|A_B_ND2|R_G_M,,,,,,
2022-04-11 14:35:37,2022-04-11 14:39:32,0,100,234,1,2022-04-11 14:39:45,R_yK4uIzQTS9Y6QKt,,,,,anonymous,EN,1,28,2,,7,7,6,6,88,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,2,3,2,1,18,6,7,7,5,90,,,,,,,,,,,2,3,2,2,26,2,FL_6,FL_93,,,,,,,F_B_M|attn1|A_B_ND1|S_G_M|R_G_ND2|attn2,
2022-04-11 14:36:37,2022-04-11 14:39:47,0,100,189,1,2022-04-11 14:39:48,R_29b5i8MT6fWzKoR,,,,,anonymous,EN,1,25,2,,5,4,4,4,73,,,,,,4,5,4,4,86,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,4,4,4,4,88,5,4,5,4,80,,,,,,,,,,,1,FL_6,FL_30,,,,,S_G_M|attn2|A_B_M|F_B_ND1|R_G_ND2|attn1,,,
2022-04-11 14:38:27,2022-04-11 14:39:48,0,100,81,1,2022-04-11 14:39:48,R_2OJ6hwJcvPmzP5u,,,,,anonymous,EN,1,33,1,,5,6,4,3,71,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,6,6,5,4,66,7,7,2,4,67,,,,,,,,,,,5,6,1,2,69,1,FL_6,FL_93,,,,,,,attn2|A_B_ND1|attn1|S_G_M|F_B_M|R_G_ND2,
2022-04-11 14:36:54,2022-04-11 14:39:49,0,100,175,1,2022-04-11 14:39:50,R_308YKyYWD7e8mWC,,,,,anonymous,EN,1,48,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,6,6,7,6,74,,,,,,7,6,6,7,65,,,,,,,,,,,6,6,6,6,64,6,7,6,7,66,2,FL_6,FL_31,,,,,,S_G_ND2|F_B_M|A_B_ND1|attn1|R_G_M|attn2,,
2022-04-11 14:37:19,2022-04-11 14:39:53,0,100,153,1,2022-04-11 14:39:53,R_uncq2FnIjiXubkZ,,,,,anonymous,EN,1,25,1,,,,,,,,,,,,3,4,5,6,77,6,5,4,3,75,1,1,3,4,5,6,77,3,5,6,6,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FL_6,FL_29,,,,A_B_M|F_B_ND2|S_G_ND1|attn2|R_G_M|attn1,,,,
2022-04-11 14:36:25,2022-04-11 14:39:54,0,100,208,1,2022-04-11 14:39:54,R_qUBT1trEvIxuBr3,,,,,anonymous,EN,1,56,1,,,,,,,,,,,,,,,,,,,,,,1,5,7,6,7,6,82,6,5,6,5,59,6,5,6,5,70,7,6,7,6,80,,,,,,,,,,,,,,,,,,,,,1,FL_6,FL_27,,F_B_M|attn1|S_G_ND1|A_B_ND2|attn2|R_G_M,,,,,,
2022-04-11 14:36:23,2022-04-11 14:39:56,0,100,212,1,2022-04-11 14:39:56,R_2v7yzBdSeVtCFI0,,,,,anonymous,EN,1,31,1,,7,7,7,7,96,7,7,7,7,98,,,,,,,,,,,7,2,,,,,,,,,,,1,1,1,1,3,1,1,1,1,6,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_28,,,F_B_M|attn2|S_G_M|attn1|R_G_ND1|A_B_ND2,,,,,
2022-04-11 14:35:28,2022-04-11 14:40:03,0,100,274,1,2022-04-11 14:40:04,R_3iqAlKJDcMqdTqp,,,,,anonymous,EN,1,28,1,,7,7,7,7,100,7,7,7,7,100,1,1,1,1,0,3,2,1,1,17,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_26,S_G_M|A_B_M|attn2|F_B_ND2|attn1|R_G_ND1,,,,,,,
2022-04-11 14:37:29,2022-04-11 14:40:09,0,100,160,1,2022-04-11 14:40:09,R_dgKbXSNiarUJzYR,,,,,anonymous,EN,1,28,1,,,,,,,,,,,,7,6,7,6,77,7,6,7,6,79,1,2,7,6,7,6,73,7,6,7,6,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_29,,,,attn2|S_G_ND1|F_B_ND2|attn1|R_G_M|A_B_M,,,,
2022-04-11 14:36:49,2022-04-11 14:40:35,0,100,225,1,2022-04-11 14:40:35,R_1Eh8UuMhW4yQyr8,,,,,anonymous,EN,1,47,1,,7,6,7,6,87,,,,,,7,6,7,6,89,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,6,7,6,7,82,6,7,6,7,91,,,,,,,,,,,1,FL_6,FL_30,,,,,S_G_M|F_B_ND1|R_G_ND2|attn1|A_B_M|attn2,,,
2022-04-11 14:35:53,2022-04-11 14:40:43,0,100,289,1,2022-04-11 14:40:43,R_28OGBxwpOY1Jcik,,,,,anonymous,EN,1,26,1,,7,7,7,7,100,7,7,7,7,100,,,,,,,,,,,7,2,,,,,,,,,,,1,2,1,1,11,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_28,,,attn1|A_B_ND2|S_G_M|R_G_ND1|attn2|F_B_M,,,,,
2022-04-11 14:35:47,2022-04-11 14:40:46,0,100,298,1,2022-04-11 14:40:46,R_2VgcSaPV86JvXQf,,,,,anonymous,EN,1,72,1,,,,,,,,,,,,1,1,1,1,8,,,,,,7,5,,,,,,7,7,7,7,88,,,,,,,,,,,,,,,,3,3,3,3,24,7,7,7,7,87,,,,,,2,FL_6,FL_100,,,,,,,,attn2|attn1|A_B_M|F_B_ND1|R_G_M|S_G_ND2
2022-04-11 14:39:03,2022-04-11 14:40:48,0,100,104,1,2022-04-11 14:40:48,R_3RsvPGi2z2I2KO6,,,,,anonymous,EN,1,45,2,,5,4,6,4,53,5,4,6,4,64,,,,,,,,,,,7,2,,,,,,,,,,,5,4,6,5,59,6,4,5,4,55,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_28,,,attn2|R_G_ND1|F_B_M|attn1|S_G_M|A_B_ND2,,,,,
2022-04-11 14:36:07,2022-04-11 14:40:53,0,100,285,1,2022-04-11 14:40:53,R_2fg44ZY5oopcOml,,,,,anonymous,EN,1,33,2,,4,6,4,3,53,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,3,6,4,3,54,5,3,4,6,44,,,,,,,,,,,4,3,5,4,57,1,FL_6,FL_93,,,,,,,R_G_ND2|A_B_ND1|attn1|S_G_M|attn2|F_B_M,
2022-04-11 14:36:03,2022-04-11 14:41:00,0,100,297,1,2022-04-11 14:41:02,R_21jpqGCWYInvwtw,,,,,anonymous,EN,1,35,1,,7,7,7,7,91,7,7,7,7,90,7,7,7,7,82,7,7,7,7,89,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FL_6,FL_26,attn2|attn1|R_G_ND1|F_B_ND2|S_G_M|A_B_M,,,,,,,
2022-04-11 14:36:00,2022-04-11 14:41:03,0,100,303,1,2022-04-11 14:41:05,R_1fg7kE3cSCHJnix,,,,,anonymous,EN,1,33,1,,,,,,,,,,,,3,3,6,4,35,,,,,,7,2,,,,,,7,7,5,7,96,,,,,,,,,,,,,,,,3,3,2,2,18,7,7,7,7,100,,,,,,3,FL_6,FL_100,,,,,,,,S_G_ND2|attn1|R_G_M|F_B_ND1|attn2|A_B_M
2022-04-11 14:38:21,2022-04-11 14:41:01,0,100,159,1,2022-04-11 14:41:06,R_3GePpHj6y4ekm9P,,,,,anonymous,EN,1,35,1,,,,,,,,,,,,1,1,1,1,0,,,,,,7,2,,,,,,7,7,7,7,100,,,,,,,,,,,,,,,,2,2,2,3,21,7,7,7,7,100,,,,,,2,FL_6,FL_100,,,,,,,,F_B_ND1|attn1|attn2|S_G_ND2|R_G_M|A_B_M
2022-04-11 14:36:06,2022-04-11 14:41:09,0,100,303,1,2022-04-11 14:41:09,R_33mbXl0X1VF2Ur4,,,,,anonymous,EN,1,52,1,,7,6,7,6,100,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,7,7,6,6,79,7,6,6,6,82,,,,,,,,,,,6,5,6,5,77,1,FL_6,FL_93,,,,,,,F_B_M|A_B_ND1|R_G_ND2|attn2|attn1|S_G_M,
2022-04-11 14:35:35,2022-04-11 14:41:09,0,100,334,1,2022-04-11 14:41:09,R_2aD2KiUEopLj38o,,,,,anonymous,EN,1,64,1,,5,6,6,7,78,4,5,6,6,65,,,,,,,,,,,7,5,,,,,,,,,,,3,4,3,2,32,2,3,2,3,8,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_28,,,F_B_M|R_G_ND1|S_G_M|attn1|attn2|A_B_ND2,,,,,
2022-04-11 14:35:41,2022-04-11 14:41:11,0,100,330,1,2022-04-11 14:41:11,R_1r1APRMlldKR7Rz,,,,,anonymous,EN,1,53,2,,6,6,5,6,90,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,3,2,1,2,20,6,6,6,6,80,,,,,,,,,,,3,2,2,2,20,2,FL_6,FL_93,,,,,,,attn2|S_G_M|attn1|A_B_ND1|R_G_ND2|F_B_M,
2022-04-11 14:35:36,2022-04-11 14:41:12,0,100,335,1,2022-04-11 14:41:12,R_D6U7ai8w9tXDkWd,,,,,anonymous,EN,1,25,2,,,,,,,,,,,,,,,,,,,,,,1,1,7,7,7,7,100,7,7,6,7,100,1,1,1,2,0,1,1,1,2,4,,,,,,,,,,,,,,,,,,,,,1,FL_6,FL_27,,A_B_ND2|R_G_M|attn1|F_B_M|attn2|S_G_ND1,,,,,,
