"ResponseId","sam_R1","sam_R2","sam_R3","sam_R4","sam_M1","sam_scenario","sam_condition","sam_diagnostic12","sam_valence","sam_R_tot","robin_R1","robin_R2","robin_R3","robin_R4","robin_M1","robin_scenario","robin_condition","robin_diagnostic12","robin_valence","robin_R_tot","francis_R1","francis_R2","francis_R3","francis_R4","francis_M1","francis_scenario","francis_condition","francis_diagnostic12","francis_valence","francis_R_tot","alex_R1","alex_R2","alex_R3","alex_R4","alex_M1","alex_scenario","alex_condition","alex_diagnostic12","alex_valence","alex_R_tot","age","gender","attn_chk_1Q","attn_chk_2_Q"
"R_1itj06sonFUWq13",6,5,7,6,66,"sam","non-diagnostic","ND1","good",6,6,6,7,7,80,"robin","diagnostic","NA","good",6.5,2,1,1,2,5,"francis","diagnostic","NA","bad",1.5,1,1,3,2,10,"alex","non-diagnostic","ND2","bad",1.75,44,1,7,2
"R_2ATl8zpPHWDBq3Z",7,7,6,6,86,"sam","non-diagnostic","ND1","good",6.5,7,7,6,7,94,"robin","diagnostic","NA","good",6.75,1,1,1,1,5,"francis","diagnostic","NA","bad",1,2,2,1,1,14,"alex","non-diagnostic","ND2","bad",1.5,26,1,7,2
"R_qUBT1trEvIxuBr3",7,6,7,6,82,"sam","non-diagnostic","ND1","good",6.5,6,5,6,5,59,"robin","diagnostic","NA","good",5.5,7,6,7,6,80,"francis","diagnostic","NA","bad",6.5,6,5,6,5,70,"alex","non-diagnostic","ND2","bad",5.5,56,1,1,5
"R_dgKbXSNiarUJzYR",7,6,7,6,73,"sam","non-diagnostic","ND1","good",6.5,7,6,7,6,82,"robin","diagnostic","NA","good",6.5,7,6,7,6,79,"francis","non-diagnostic","ND2","bad",6.5,7,6,7,6,77,"alex","diagnostic","NA","bad",6.5,28,1,1,2
"R_30qR9bLMxshEGQp",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,5,7,92,"robin","diagnostic","NA","good",6.5,1,2,1,2,0,"francis","diagnostic","NA","bad",1.5,3,2,4,4,20,"alex","non-diagnostic","ND2","bad",3.25,33,1,7,2
"R_1NaHCqDmKNWNJ1I",5,4,5,2,63,"sam","non-diagnostic","ND1","good",4,6,3,1,3,68,"robin","diagnostic","NA","good",3.25,5,2,6,2,75,"francis","diagnostic","NA","bad",3.75,3,1,3,3,71,"alex","non-diagnostic","ND2","bad",2.5,33,1,1,5
"R_1dcNk2oBXlEoTC5",6,6,6,7,82,"sam","non-diagnostic","ND1","good",6.25,6,7,6,7,89,"robin","diagnostic","NA","good",6.5,6,6,7,6,82,"francis","non-diagnostic","ND2","bad",6.25,6,7,6,6,88,"alex","diagnostic","NA","bad",6.25,29,1,7,2
"R_1ONy3poq8JUTzUV",6,4,5,4,69,"sam","non-diagnostic","ND1","good",4.75,6,4,6,5,79,"robin","diagnostic","NA","good",5.25,4,5,3,4,75,"francis","diagnostic","NA","bad",4,5,3,4,6,76,"alex","non-diagnostic","ND2","bad",4.5,41,2,7,2
"R_2TuuMheiViskrcP",4,3,7,4,43,"sam","non-diagnostic","ND1","good",4.5,6,3,4,6,69,"robin","diagnostic","NA","good",4.75,5,4,2,6,37,"francis","non-diagnostic","ND2","bad",4.25,6,2,5,3,77,"alex","diagnostic","NA","bad",4,48,1,7,2
"R_ZF4yLoJNqsh7O1z",7,7,7,6,100,"sam","non-diagnostic","ND1","good",6.75,7,7,6,7,93,"robin","diagnostic","NA","good",6.75,7,7,7,6,94,"francis","diagnostic","NA","bad",6.75,7,7,7,6,100,"alex","non-diagnostic","ND2","bad",6.75,30,1,1,2
"R_1QiK5r93hOkQwQJ",4,6,5,6,46,"sam","non-diagnostic","ND1","good",5.25,4,5,6,6,45,"robin","diagnostic","NA","good",5.25,6,4,6,5,65,"francis","diagnostic","NA","bad",5.25,6,5,6,5,62,"alex","non-diagnostic","ND2","bad",5.5,25,2,7,2
"R_2w0TkEydoT8EwVT",6,4,5,5,81,"sam","non-diagnostic","ND1","good",5,6,7,5,6,83,"robin","diagnostic","NA","good",6,7,6,7,6,90,"francis","non-diagnostic","ND2","bad",6.5,5,4,6,5,73,"alex","diagnostic","NA","bad",5,54,1,7,1
"R_1DpVpWEIr1jc5Hb",7,7,7,7,96,"sam","non-diagnostic","ND1","good",7,7,7,7,6,94,"robin","diagnostic","NA","good",6.75,1,2,2,2,30,"francis","non-diagnostic","ND2","bad",1.75,1,1,4,1,28,"alex","diagnostic","NA","bad",1.75,32,2,7,5
"R_1HhpScKU2VI8rwL",4,2,3,4,80,"sam","non-diagnostic","ND1","good",3.25,5,3,5,3,81,"robin","diagnostic","NA","good",4,4,3,3,4,74,"francis","diagnostic","NA","bad",3.5,4,3,4,3,63,"alex","non-diagnostic","ND2","bad",3.5,30,1,7,1
"R_2dLnQv57HQMmTic",6,5,6,6,85,"sam","non-diagnostic","ND1","good",5.75,7,6,6,7,79,"robin","diagnostic","NA","good",6.5,6,4,6,7,85,"francis","non-diagnostic","ND2","bad",5.75,5,6,6,7,87,"alex","diagnostic","NA","bad",6,34,1,7,2
"R_3pgTSjp6zXRNkj8",7,7,7,7,99,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,2,2,2,2,10,"francis","non-diagnostic","ND2","bad",2,1,1,1,1,0,"alex","diagnostic","NA","bad",1,31,1,7,2
"R_2ZUjvzTsAdDM1Bi",7,7,6,7,100,"sam","non-diagnostic","ND1","good",6.75,7,7,7,6,97,"robin","diagnostic","NA","good",6.75,7,7,7,6,100,"francis","non-diagnostic","ND2","bad",6.75,7,7,6,7,91,"alex","diagnostic","NA","bad",6.75,32,1,1,5
"R_3nf4KOfrdIiZWxE",4,3,3,1,90,"sam","non-diagnostic","ND1","good",2.75,3,3,4,3,86,"robin","diagnostic","NA","good",3.25,3,3,3,6,77,"francis","diagnostic","NA","bad",3.75,4,4,4,3,78,"alex","non-diagnostic","ND2","bad",3.75,30,1,7,3
"R_3HB85D2wmAdXlxr",7,6,5,6,82,"sam","non-diagnostic","ND1","good",6,5,6,5,6,70,"robin","diagnostic","NA","good",5.5,3,4,3,2,43,"francis","diagnostic","NA","bad",3,3,4,3,4,40,"alex","non-diagnostic","ND2","bad",3.5,46,1,7,2
"R_2f85HTTWf3PEgz8",6,5,7,7,100,"sam","non-diagnostic","ND1","good",6.25,7,6,6,5,65,"robin","diagnostic","NA","good",6,6,6,5,6,73,"francis","non-diagnostic","ND2","bad",5.75,7,5,6,6,62,"alex","diagnostic","NA","bad",6,38,2,7,2
"R_3DbhkH9hA3G3U6L",7,7,7,7,92,"sam","non-diagnostic","ND1","good",7,7,7,7,7,95,"robin","diagnostic","NA","good",7,1,1,1,2,10,"francis","non-diagnostic","ND2","bad",1.25,1,1,1,1,5,"alex","diagnostic","NA","bad",1,50,2,7,5
"R_3HYcb1xQtqTJyNo",3,5,3,5,59,"sam","non-diagnostic","ND1","good",4,3,5,2,5,78,"robin","diagnostic","NA","good",3.75,3,2,4,2,83,"francis","non-diagnostic","ND2","bad",2.75,3,2,4,2,75,"alex","diagnostic","NA","bad",2.75,30,1,7,3
"R_2eWnXwtmIhBOm4X",6,5,6,5,81,"sam","non-diagnostic","ND1","good",5.5,6,5,6,5,78,"robin","diagnostic","NA","good",5.5,2,2,2,2,29,"francis","diagnostic","NA","bad",2,6,5,6,5,76,"alex","non-diagnostic","ND2","bad",5.5,30,2,7,3
"R_shsb4PNNcMlt0DD",7,7,7,7,72,"sam","non-diagnostic","ND1","good",7,7,7,7,7,58,"robin","diagnostic","NA","good",7,7,7,7,7,79,"francis","diagnostic","NA","bad",7,7,7,7,7,55,"alex","non-diagnostic","ND2","bad",7,35,1,7,2
"R_2Br0exOx7pCX76Z",5,6,5,5,64,"sam","non-diagnostic","ND1","good",5.25,6,7,7,5,80,"robin","diagnostic","NA","good",6.25,6,7,7,6,79,"francis","non-diagnostic","ND2","bad",6.5,5,6,5,6,72,"alex","diagnostic","NA","bad",5.5,34,1,7,2
"R_1CkH3qBqxRLdDoz",5,5,7,2,58,"sam","non-diagnostic","ND1","good",4.75,4,7,5,6,64,"robin","diagnostic","NA","good",5.5,5,4,6,1,62,"francis","diagnostic","NA","bad",4,7,5,6,4,67,"alex","non-diagnostic","ND2","bad",5.5,29,1,1,2
"R_2432ixZDQLhSfEd",6,6,7,6,71,"sam","non-diagnostic","ND1","good",6.25,5,4,4,5,69,"robin","diagnostic","NA","good",4.5,6,6,6,7,71,"francis","non-diagnostic","ND2","bad",6.25,3,4,5,6,76,"alex","diagnostic","NA","bad",4.5,29,1,7,2
"R_1f17nCHLkkDzgWj",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,6,100,"robin","diagnostic","NA","good",6.75,7,7,7,6,100,"francis","diagnostic","NA","bad",6.75,7,7,6,7,100,"alex","non-diagnostic","ND2","bad",6.75,30,1,1,5
"R_1IACZy4BUMQvLyo",2,3,3,2,78,"sam","non-diagnostic","ND1","good",2.5,2,6,2,4,66,"robin","diagnostic","NA","good",3.5,3,5,3,4,62,"francis","diagnostic","NA","bad",3.75,4,6,2,3,67,"alex","non-diagnostic","ND2","bad",3.75,30,1,7,3
"R_3fBDQF9gN8ZGx7J",7,6,5,6,93,"sam","non-diagnostic","ND1","good",6,7,6,7,5,95,"robin","diagnostic","NA","good",6.25,7,6,6,5,93,"francis","non-diagnostic","ND2","bad",6,7,6,6,5,100,"alex","diagnostic","NA","bad",6,54,2,7,2
"R_3KHjX9IBBSCe4yV",5,2,1,2,52,"sam","non-diagnostic","ND1","good",2.5,4,6,5,2,43,"robin","diagnostic","NA","good",4.25,6,6,4,1,50,"francis","diagnostic","NA","bad",4.25,7,7,4,5,45,"alex","non-diagnostic","ND2","bad",5.75,25,1,7,2
"R_1pYdrIYsi6vK9QD",7,7,6,5,70,"sam","non-diagnostic","ND1","good",6.25,7,7,7,6,81,"robin","diagnostic","NA","good",6.75,4,2,4,5,43,"francis","non-diagnostic","ND2","bad",3.75,2,3,2,4,32,"alex","diagnostic","NA","bad",2.75,35,2,7,2
"R_2S07n78wXrMcxb5",6,5,7,7,90,"sam","non-diagnostic","ND1","good",6.25,6,7,6,7,90,"robin","diagnostic","NA","good",6.5,7,7,7,7,100,"francis","diagnostic","NA","bad",7,7,7,7,7,100,"alex","non-diagnostic","ND2","bad",7,30,1,7,2
"R_1FDEM1Z4Gh71uAH",7,1,2,1,51,"sam","non-diagnostic","ND1","good",2.75,2,7,4,3,46,"robin","diagnostic","NA","good",4,4,7,6,5,57,"francis","non-diagnostic","ND2","bad",5.5,7,2,6,6,46,"alex","diagnostic","NA","bad",5.25,25,1,7,2
"R_24HPAbGAsvQpan2",6,5,6,6,82,"sam","non-diagnostic","ND1","good",5.75,6,5,6,5,85,"robin","diagnostic","NA","good",5.5,6,5,6,5,80,"francis","diagnostic","NA","bad",5.5,6,5,6,6,78,"alex","non-diagnostic","ND2","bad",5.75,30,1,5,2
"R_cN26SgRYzb6kmxb",7,7,7,5,94,"sam","non-diagnostic","ND1","good",6.5,7,5,7,6,84,"robin","diagnostic","NA","good",6.25,3,6,3,4,18,"francis","non-diagnostic","ND2","bad",4,1,1,2,1,12,"alex","diagnostic","NA","bad",1.25,38,2,7,5
"R_1rkSIyB0RzlFSyD",3,5,6,2,73,"sam","non-diagnostic","ND1","good",4,3,5,5,6,95,"robin","diagnostic","NA","good",4.75,3,1,3,6,77,"francis","diagnostic","NA","bad",3.25,4,5,2,4,70,"alex","non-diagnostic","ND2","bad",3.75,26,1,7,2
"R_cC3yh2oTK3MpdPr",7,6,7,6,84,"sam","non-diagnostic","ND1","good",6.5,7,6,5,6,95,"robin","diagnostic","NA","good",6,7,6,6,6,95,"francis","diagnostic","NA","bad",6.25,7,6,5,2,86,"alex","non-diagnostic","ND2","bad",5,32,1,7,2
"R_2rCQnEwltrBTDOV",2,4,3,4,79,"sam","non-diagnostic","ND1","good",3.25,3,6,4,3,68,"robin","diagnostic","NA","good",4,3,3,7,4,86,"francis","diagnostic","NA","bad",4.25,2,4,5,4,84,"alex","non-diagnostic","ND2","bad",3.75,30,1,7,3
"R_21t5TGHRQxTzziU",7,7,7,7,73,"sam","non-diagnostic","ND1","good",7,7,7,7,7,67,"robin","diagnostic","NA","good",7,7,7,7,7,72,"francis","non-diagnostic","ND2","bad",7,7,7,7,7,55,"alex","diagnostic","NA","bad",7,35,1,2,2
"R_25TNnyXDlW9YYhe",5,5,4,6,50,"sam","non-diagnostic","ND1","good",5,1,1,7,1,79,"robin","diagnostic","NA","good",2.5,5,7,4,2,68,"francis","diagnostic","NA","bad",4.5,2,6,4,1,49,"alex","non-diagnostic","ND2","bad",3.25,26,1,7,2
"R_3JtjcJ8hQQkZg26",7,6,7,7,49,"sam","non-diagnostic","ND1","good",6.75,5,7,6,7,68,"robin","diagnostic","NA","good",6.25,5,7,7,7,68,"francis","non-diagnostic","ND2","bad",6.5,6,7,7,6,71,"alex","diagnostic","NA","bad",6.5,30,1,7,3
"R_tYRWsCydxb6c3S1",5,7,6,7,80,"sam","non-diagnostic","ND1","good",6.25,6,5,7,7,80,"robin","diagnostic","NA","good",6.25,6,5,6,7,80,"francis","diagnostic","NA","bad",6,6,7,6,7,92,"alex","non-diagnostic","ND2","bad",6.5,30,2,7,1
"R_3e8MFfEVbWFtGK9",7,6,6,6,76,"sam","non-diagnostic","ND1","good",6.25,7,7,6,7,92,"robin","diagnostic","NA","good",6.75,2,3,2,3,19,"francis","non-diagnostic","ND2","bad",2.5,1,2,1,2,17,"alex","diagnostic","NA","bad",1.5,52,1,1,5
"R_ZmD4wvACag1mt0J",6,6,5,7,91,"sam","non-diagnostic","ND1","good",6,7,6,7,6,90,"robin","diagnostic","NA","good",6.5,7,6,6,7,77,"francis","non-diagnostic","ND2","bad",6.5,5,6,7,6,100,"alex","diagnostic","NA","bad",6,47,2,1,2
"R_2pQx9CIXrX5OcdZ",6,6,3,2,54,"sam","non-diagnostic","ND1","good",4.25,5,6,6,6,47,"robin","diagnostic","NA","good",5.75,5,6,4,5,47,"francis","diagnostic","NA","bad",5,6,6,3,6,48,"alex","non-diagnostic","ND2","bad",5.25,30,1,7,3
"R_vIxsLBenV0kEs5r",6,6,6,6,82,"sam","non-diagnostic","ND1","good",6,6,6,6,5,80,"robin","diagnostic","NA","good",5.75,2,3,2,4,25,"francis","non-diagnostic","ND2","bad",2.75,3,2,5,4,26,"alex","diagnostic","NA","bad",3.5,58,1,7,2
"R_3oA4vzqVnQtAnZK",6,7,7,7,95,"sam","non-diagnostic","ND1","good",6.75,7,7,7,7,100,"robin","diagnostic","NA","good",7,2,1,2,2,5,"francis","diagnostic","NA","bad",1.75,4,1,2,2,11,"alex","non-diagnostic","ND2","bad",2.25,34,2,7,5
"R_OAKafyWDVZPAw3n",7,7,7,7,94,"sam","non-diagnostic","ND1","good",7,7,6,6,7,92,"robin","diagnostic","NA","good",6.5,1,1,1,1,9,"francis","diagnostic","NA","bad",1,2,2,3,2,12,"alex","non-diagnostic","ND2","bad",2.25,24,1,7,5
"R_31gfwVHxYL2UuQa",7,6,7,7,72,"sam","non-diagnostic","ND1","good",6.75,7,5,7,7,75,"robin","diagnostic","NA","good",6.5,6,5,6,7,72,"francis","non-diagnostic","ND2","bad",6,6,7,5,5,67,"alex","diagnostic","NA","bad",5.75,37,2,2,5
"R_3oSp5WOZZY8tugk",7,7,7,7,90,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,1,1,10,"francis","non-diagnostic","ND2","bad",1,1,1,1,1,6,"alex","diagnostic","NA","bad",1,33,2,7,5
"R_XXw3wyfqmSCLeeZ",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,1,1,4,"francis","non-diagnostic","ND2","bad",1,1,1,2,1,0,"alex","diagnostic","NA","bad",1.25,23,2,7,2
"R_2rZUsBlFZog8xVU",7,7,6,6,92,"sam","non-diagnostic","ND1","good",6.5,7,7,7,7,96,"robin","diagnostic","NA","good",7,1,1,1,1,2,"francis","non-diagnostic","ND2","bad",1,1,1,1,1,1,"alex","diagnostic","NA","bad",1,43,3,7,2
"R_3nrtTa4wgKS7zsZ",3,6,3,4,77,"sam","non-diagnostic","ND1","good",4,3,4,1,4,73,"robin","diagnostic","NA","good",3,4,5,5,3,79,"francis","diagnostic","NA","bad",4.25,3,3,6,4,80,"alex","non-diagnostic","ND2","bad",4,30,1,7,3
"R_33C0rxTBqHitT1V",6,6,2,6,91,"sam","non-diagnostic","ND1","good",5,6,6,2,6,92,"robin","diagnostic","NA","good",5,2,1,1,2,9,"francis","diagnostic","NA","bad",1.5,2,3,4,3,19,"alex","non-diagnostic","ND2","bad",3,31,2,7,2
"R_1TRzwnud9oIhOMx",4,6,5,5,84,"sam","non-diagnostic","ND1","good",5,5,6,6,5,84,"robin","diagnostic","NA","good",5.5,1,2,2,1,12,"francis","non-diagnostic","ND2","bad",1.5,1,1,1,1,0,"alex","diagnostic","NA","bad",1,24,1,7,5
"R_C2hHSfAwSMjL0WZ",7,7,7,7,92,"sam","non-diagnostic","ND1","good",7,7,7,7,7,93,"robin","diagnostic","NA","good",7,1,1,1,1,16,"francis","diagnostic","NA","bad",1,2,2,2,2,17,"alex","non-diagnostic","ND2","bad",2,30,2,7,2
"R_1LnY1eI2908JT7j",6,6,5,6,68,"sam","non-diagnostic","ND1","good",5.75,6,6,5,6,66,"robin","diagnostic","NA","good",5.75,6,5,6,5,64,"francis","diagnostic","NA","bad",5.5,5,6,5,6,71,"alex","non-diagnostic","ND2","bad",5.5,48,2,7,2
"R_2zd9AukzegpYnkK",6,5,7,5,85,"sam","non-diagnostic","ND1","good",5.75,7,7,6,6,77,"robin","diagnostic","NA","good",6.5,3,3,2,3,38,"francis","non-diagnostic","ND2","bad",2.75,1,3,1,2,15,"alex","diagnostic","NA","bad",1.75,32,1,7,5
"R_1ONCdeWNl7YcGNr",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,2,2,1,1,0,"francis","non-diagnostic","ND2","bad",1.5,1,1,2,1,1,"alex","diagnostic","NA","bad",1.25,35,5,7,2
"R_11XEU1s6jFDQn7o",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,1,1,0,"francis","diagnostic","NA","bad",1,1,1,1,1,0,"alex","non-diagnostic","ND2","bad",1,56,2,7,2
"R_3ReCozUBX0CPbrz",7,7,7,7,99,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,4,4,4,4,32,"francis","diagnostic","NA","bad",4,7,7,7,7,100,"alex","non-diagnostic","ND2","bad",7,52,1,7,5
"R_3JrXKNk8Ur1nZcK",7,7,5,7,93,"sam","non-diagnostic","ND1","good",6.5,7,7,7,7,100,"robin","diagnostic","NA","good",7,2,3,2,2,7,"francis","non-diagnostic","ND2","bad",2.25,1,1,4,1,9,"alex","diagnostic","NA","bad",1.75,28,3,7,2
"R_9ujhWxaxwMjRSnf",6,6,6,5,90,"sam","non-diagnostic","ND1","good",5.75,6,6,6,6,90,"robin","diagnostic","NA","good",6,1,1,1,1,5,"francis","non-diagnostic","ND2","bad",1,2,2,3,2,15,"alex","diagnostic","NA","bad",2.25,24,2,7,2
"R_3j7FA1aEe6R9VQ8",6,6,6,7,92,"sam","non-diagnostic","ND1","good",6.25,6,7,6,7,95,"robin","diagnostic","NA","good",6.5,2,2,2,2,18,"francis","diagnostic","NA","bad",2,2,2,2,2,18,"alex","non-diagnostic","ND2","bad",2,66,1,7,5
"R_vZ7lg2uJFREPhhn",3,6,4,3,75,"sam","non-diagnostic","ND1","good",4,3,6,4,3,77,"robin","diagnostic","NA","good",4,3,1,4,3,81,"francis","diagnostic","NA","bad",2.75,3,4,6,4,80,"alex","non-diagnostic","ND2","bad",4.25,30,1,7,3
"R_3hoHWlfHl0WVos8",6,2,4,7,69,"sam","non-diagnostic","ND1","good",4.75,3,4,3,5,85,"robin","diagnostic","NA","good",3.75,7,5,5,4,71,"francis","non-diagnostic","ND2","bad",5.25,4,6,3,5,66,"alex","diagnostic","NA","bad",4.5,61,1,2,5
"R_SV4CfN40mwT212x",7,7,7,7,90,"sam","non-diagnostic","ND1","good",7,7,7,7,7,90,"robin","diagnostic","NA","good",7,1,1,1,2,10,"francis","diagnostic","NA","bad",1.25,1,1,1,2,10,"alex","non-diagnostic","ND2","bad",1.25,64,2,7,5
"R_1DBDXgE1JmuxvMT",7,6,6,6,86,"sam","non-diagnostic","ND1","good",6.25,7,6,6,7,88,"robin","diagnostic","NA","good",6.5,2,2,1,3,13,"francis","non-diagnostic","ND2","bad",2,2,2,2,3,10,"alex","diagnostic","NA","bad",2.25,51,1,7,2
"R_DdHkBPAUvANsIi5",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,3,3,1,4,23,"francis","non-diagnostic","ND2","bad",2.75,1,1,1,1,10,"alex","diagnostic","NA","bad",1,47,1,7,2
"R_2b2jWVrGkx8lnfP",6,7,7,7,100,"sam","non-diagnostic","ND1","good",6.75,7,7,7,7,100,"robin","diagnostic","NA","good",7,2,2,1,1,10,"francis","non-diagnostic","ND2","bad",1.5,1,1,4,1,10,"alex","diagnostic","NA","bad",1.75,42,1,7,2
"R_51nfOAauvDJgvbH",4,4,5,4,63,"sam","non-diagnostic","ND1","good",4.25,3,4,5,5,75,"robin","diagnostic","NA","good",4.25,4,4,5,6,81,"francis","non-diagnostic","ND2","bad",4.75,4,3,5,4,69,"alex","diagnostic","NA","bad",4,29,2,7,3
"R_3ixpsqUNBmgm7mo",6,5,6,5,60,"sam","non-diagnostic","ND1","good",5.5,6,5,4,5,62,"robin","diagnostic","NA","good",5,6,5,5,6,63,"francis","diagnostic","NA","bad",5.5,6,5,6,5,63,"alex","non-diagnostic","ND2","bad",5.5,40,2,7,2
"R_1jDMLiZFH2FOZRe",4,5,5,5,55,"sam","non-diagnostic","ND1","good",4.75,4,5,4,3,64,"robin","diagnostic","NA","good",4,6,5,5,5,34,"francis","non-diagnostic","ND2","bad",5.25,3,4,4,5,28,"alex","diagnostic","NA","bad",4,27,2,7,2
"R_2wRg4DgSHvgIUb0",6,5,6,7,84,"sam","non-diagnostic","ND1","good",6,7,6,5,6,86,"robin","diagnostic","NA","good",6,7,6,7,7,83,"francis","non-diagnostic","ND2","bad",6.75,7,6,7,7,82,"alex","diagnostic","NA","bad",6.75,25,1,2,2
"R_1oaOEn2ONthS4uh",6,5,6,6,60,"sam","non-diagnostic","ND1","good",5.75,6,5,6,6,64,"robin","diagnostic","NA","good",5.75,6,5,6,6,69,"francis","diagnostic","NA","bad",5.75,6,5,6,6,65,"alex","non-diagnostic","ND2","bad",5.75,38,1,2,2
"R_1NgggYfrWzUmLv1",3,3,3,3,100,"sam","non-diagnostic","ND1","good",3,4,5,3,3,93,"robin","diagnostic","NA","good",3.75,7,7,5,7,100,"francis","non-diagnostic","ND2","bad",6.5,7,7,7,7,100,"alex","diagnostic","NA","bad",7,35,1,1,5
"R_23deLGRXbIa6d69",4,7,6,5,64,"sam","non-diagnostic","ND1","good",5.5,5,7,5,5,82,"robin","diagnostic","NA","good",5.5,5,6,6,5,73,"francis","non-diagnostic","ND2","bad",5.5,5,7,7,6,63,"alex","diagnostic","NA","bad",6.25,25,1,7,2
"R_2OPwclUzaFZ9MQg",6,5,6,5,60,"sam","non-diagnostic","ND1","good",5.5,6,5,6,5,71,"robin","diagnostic","NA","good",5.5,6,5,6,5,79,"francis","non-diagnostic","ND2","bad",5.5,6,5,6,5,69,"alex","diagnostic","NA","bad",5.5,62,2,7,5
"R_29c3IjqIzSuW3Rg",7,7,7,6,78,"sam","non-diagnostic","ND1","good",6.75,6,6,6,7,78,"robin","diagnostic","NA","good",6.25,7,6,6,7,77,"francis","diagnostic","NA","bad",6.5,6,5,7,6,80,"alex","non-diagnostic","ND2","bad",6,30,1,7,3
