"","ResponseId","R1","R2","R3","R4","M1","scenario","condition","diagnostic12","age","gender","attn_chk_1Q","attn_chk_2_Q","R_tot"
"115","R_3JoxymPMz5ZU19f",2,2,3,3,10,"sam","non-diagnostic","ND1",21,1,7,2,2.5
"116","R_2CCFpKJ0WRPKVnS",1,1,3,3,14,"sam","non-diagnostic","ND1",23,2,7,2,2
"117","R_338xFhsQ9SobesE",1,1,1,1,18,"sam","non-diagnostic","ND1",25,2,7,5,1
"118","R_11i0UReCMCVtra8",1,1,2,2,10,"sam","non-diagnostic","ND1",42,1,7,2,1.5
"119","R_1kS5puhMPXekyEp",3,2,2,3,20,"sam","non-diagnostic","ND1",19,2,2,2,2.5
"120","R_OvYw5HhCTWSjrbj",2,3,4,2,12,"sam","non-diagnostic","ND1",25,2,7,2,2.75
"121","R_x3odebxFPDTwSZ3",4,4,3,4,47,"sam","non-diagnostic","ND1",49,2,7,5,3.75
"122","R_3nNa2f6PfkUzxaa",3,3,2,4,28,"sam","non-diagnostic","ND1",19,2,5,5,3
"123","R_2sbh6O1d212PWGq",2,1,1,1,0,"sam","non-diagnostic","ND1",35,2,7,5,1.25
"124","R_3dScrbtmTCEXINu",2,2,4,2,12,"sam","non-diagnostic","ND1",22,2,7,2,2.5
"125","R_3oGEN5wC575bcGs",2,2,3,3,9,"sam","non-diagnostic","ND1",21,2,6,2,2.5
"126","R_Y5pMytLkiNAFFmx",1,2,4,3,6,"sam","non-diagnostic","ND1",21,2,7,5,2.5
"127","R_2ClJl4hdAaeVhhu",3,4,4,4,50,"sam","non-diagnostic","ND1",51,1,7,5,3.75
"128","R_DCu76RcZVLmA4WR",4,4,4,4,56,"sam","non-diagnostic","ND1",62,4,7,5,4
"129","R_3lGoCwlOpwSlmSh",2,2,2,2,19,"sam","non-diagnostic","ND1",41,2,7,2,2
"130","R_3MbtmJOTk8Dcomo",2,2,2,2,6,"sam","non-diagnostic","ND1",21,2,7,2,2
"131","R_yORjeJw0I4xgLaV",1,1,1,1,0,"sam","non-diagnostic","ND1",31,2,7,5,1
"132","R_2XmQK9zsV6muZf8",2,2,1,3,6,"sam","non-diagnostic","ND1",21,2,7,5,2
"133","R_3qI198L6sY5gotX",1,2,2,2,32,"sam","non-diagnostic","ND1",20,2,7,2,1.75
"134","R_T1O3FZSrHLy2vDj",2,2,3,2,24,"sam","non-diagnostic","ND1",20,2,7,5,2.25
"135","R_2XcIqftrMOQowxe",2,2,4,3,20,"sam","non-diagnostic","ND1",21,3,7,5,2.75
"136","R_2z5sBKLixqH1r5H",3,3,4,4,30,"sam","non-diagnostic","ND1",22,2,7,2,3.5
"137","R_1ezRlpT9m6dXTYI",3,3,4,3,30,"sam","non-diagnostic","ND1",21,2,7,5,3.25
"138","R_2YsOxis9k6FIFqh",2,1,2,3,20,"sam","non-diagnostic","ND1",19,1,6,5,2
"139","R_3Mzp4BXXIG9SnzA",1,1,3,3,3,"sam","non-diagnostic","ND1",26,2,7,5,2
"140","R_1P1oNYT2xYTMcdk",2,1,4,3,36,"sam","non-diagnostic","ND1",44,1,1,2,2.5
"141","R_2RWanMv91kT5pmk",2,3,3,3,42,"sam","non-diagnostic","ND1",31,1,7,5,2.75
"142","R_30w46SGso3vKFzu",4,3,5,4,42,"sam","non-diagnostic","ND1",20,2,1,2,4
"143","R_DkPNwyWfwc5Sbf3",5,4,5,4,60,"sam","non-diagnostic","ND1",49,1,7,2,4.5
"144","R_1CBXrv5EDCoNnD2",2,3,3,3,15,"sam","non-diagnostic","ND1",36,1,1,2,2.75
"145","R_6LjRcjZyR5FW1Fv",3,2,5,3,30,"sam","non-diagnostic","ND1",20,1,5,2,3.25
"146","R_3Fay72eIUtDM1xv",3,2,4,4,35,"sam","non-diagnostic","ND1",32,2,7,2,3.25
"147","R_1rqYMC0yimEDQq7",2,2,4,3,25,"sam","non-diagnostic","ND1",20,2,7,2,2.75
"148","R_2ql7RqvIlkJu8NW",3,3,4,3,37,"sam","non-diagnostic","ND1",20,2,7,2,3.25
"149","R_39HE0xFncMBAKVX",2,2,5,1,25,"sam","non-diagnostic","ND1",19,2,7,2,2.5
"150","R_rfCgVI37c8c7NM5",1,3,2,4,25,"sam","non-diagnostic","ND1",19,2,7,2,2.5
"151","R_23TSCAiYrJi35S4",3,3,5,4,50,"sam","non-diagnostic","ND1",26,5,7,5,3.75
"152","R_2QmpDIndBfxz3rU",2,2,4,3,22,"sam","non-diagnostic","ND1",30,2,3,2,2.75
"153","R_yHIWbABf1YRVXEd",2,2,5,1,23,"sam","non-diagnostic","ND1",18,1,7,5,2.5
"154","R_2agUXbHTAOGH0yc",2,4,5,3,40,"sam","non-diagnostic","ND1",22,2,7,5,3.5
"155","R_1gOoIIx2Y5fLUIK",2,2,2,1,23,"sam","non-diagnostic","ND1",19,1,7,5,1.75
"156","R_VWmYsOViIQcGWDD",3,4,5,2,34,"sam","non-diagnostic","ND1",21,2,7,2,3.5
"157","R_1ODcUuhqdmvEHMi",2,2,2,2,20,"sam","non-diagnostic","ND1",21,1,7,2,2
"158","R_eqR8DtLq1E9e449",3,3,5,4,30,"sam","non-diagnostic","ND1",19,2,5,2,3.75
"159","R_yrsv9rBxRXiLI2Z",4,2,3,2,18,"sam","non-diagnostic","ND1",55,2,7,5,2.75
"160","R_29iEg34ZYU3ljrI",1,2,3,3,14,"sam","non-diagnostic","ND1",21,1,2,2,2.25
"161","R_UxzAy0TQAg8Cx6F",3,3,4,3,38,"sam","non-diagnostic","ND1",24,1,7,2,3.25
"162","R_pyHKqVnpyn8Bqvf",4,4,3,3,50,"sam","non-diagnostic","ND1",18,2,7,2,3.5
"163","R_1EiFXciDcgOO3a6",4,4,4,3,40,"sam","non-diagnostic","ND1",18,1,7,5,3.75
"164","R_1GPUWcdZkesWZZA",2,2,2,2,13,"sam","non-diagnostic","ND1",26,2,7,5,2
"165","R_xFMjeQWrqQknCEx",3,3,4,3,24,"sam","non-diagnostic","ND1",19,2,7,2,3.25
"166","R_1JURvT1LYjpgSyo",2,2,3,2,24,"sam","non-diagnostic","ND1",19,2,7,2,2.25
"167","R_2xxYEAosezOlmVP",2,2,4,4,20,"sam","non-diagnostic","ND1",28,1,7,2,3
"168","R_1KegNBsclUc9wWV",2,3,1,3,20,"sam","non-diagnostic","ND1",37,1,7,5,2.25
"169","R_3lGOU0oRlY5UL6y",2,2,3,2,20,"sam","non-diagnostic","ND1",37,5,1,5,2.25
"170","R_1M6BBeY56G5xvKU",3,3,4,3,50,"sam","non-diagnostic","ND1",48,1,7,2,3.25
"171","R_2uy2yln0Fi8S0kE",4,4,4,5,50,"sam","non-diagnostic","ND1",50,2,7,5,4.25
"172","R_1Cf1qaAgwCtZfm7",3,3,3,3,7,"sam","non-diagnostic","ND1",21,1,2,2,3
"173","R_d7r2CHQcggbi9tD",2,3,3,3,11,"sam","non-diagnostic","ND1",18,2,2,2,2.75
"174","R_2uKesz2Rj28TTYw",3,2,3,2,28,"sam","non-diagnostic","ND1",21,2,2,5,2.5
"175","R_3JlYjKnLetQcN9G",4,4,5,4,51,"sam","non-diagnostic","ND1",21,2,2,2,4.25
"176","R_V45qKULLVodnKg1",2,2,4,4,19,"sam","non-diagnostic","ND1",19,1,7,2,3
"177","R_1Kp6xGkRAuQtDnL",2,2,2,2,25,"sam","non-diagnostic","ND1",20,2,7,5,2
"178","R_a4BOpgnmZQcEoo1",1,1,4,4,22,"sam","non-diagnostic","ND1",21,2,7,2,2.5
"179","R_2YM3JLYJze6m2Op",1,1,1,1,2,"sam","non-diagnostic","ND1",22,2,1,2,1
"180","R_33lgEQistJT0IJW",2,4,4,3,23,"sam","non-diagnostic","ND1",22,2,7,5,3.25
"181","R_2BxnaeIB982Zixe",1,1,3,1,0,"sam","non-diagnostic","ND1",27,2,7,2,1.5
"182","R_eycES3jb9gp9JrH",4,3,4,3,45,"sam","non-diagnostic","ND1",26,1,7,2,3.5
"183","R_2xW6By8FeC1S5Wo",1,1,2,2,22,"sam","non-diagnostic","ND1",20,1,7,2,1.5
"184","R_ZgXo3UqnUgtKlGh",3,4,3,4,51,"sam","non-diagnostic","ND1",19,2,7,5,3.5
"185","R_2dMxcAuhk5rCiN8",4,5,3,3,33,"sam","non-diagnostic","ND1",34,1,7,2,3.75
"186","R_02Q19AoTYoWtq7v",3,2,4,3,50,"sam","non-diagnostic","ND1",19,2,5,2,3
"187","R_2sdUTUFj7ViNk5e",4,3,4,3,32,"sam","non-diagnostic","ND1",19,2,7,5,3.5
"188","R_2pPsE9C26XjRVfC",2,2,3,3,32,"sam","non-diagnostic","ND1",20,2,2,5,2.5
"189","R_3fdc65bTafMR7jd",2,2,6,3,21,"sam","non-diagnostic","ND1",21,2,5,5,3.25
"190","R_3pm1H1IIaPvzQYk",1,1,3,1,20,"sam","non-diagnostic","ND1",22,1,7,2,1.5
"191","R_1MNdpw639cE8Tg7",3,3,4,1,25,"sam","non-diagnostic","ND1",22,2,7,5,2.75
"192","R_22VaPsv0YIlW6O7",2,2,2,2,16,"sam","non-diagnostic","ND1",32,2,2,5,2
"193","R_W1yy1EJIzaX0G6B",2,2,4,3,31,"sam","non-diagnostic","ND1",49,2,2,5,2.75
"194","R_3Gkq8eTViuXbVgp",2,3,3,3,25,"sam","non-diagnostic","ND1",22,2,1,5,2.75
"195","R_zSfGJuEFYiB4ROh",1,1,3,2,10,"sam","non-diagnostic","ND1",24,2,1,5,1.75
"196","R_1JUEl9Pbl27ALrB",1,3,2,3,21,"sam","non-diagnostic","ND1",19,1,7,2,2.25
"197","R_1FT8ZAeuNiyWIXD",2,3,3,3,38,"sam","non-diagnostic","ND1",19,1,7,2,2.75
"198","R_agcvxTIjnERVV3b",2,2,2,2,19,"sam","non-diagnostic","ND1",22,2,7,5,2
"199","R_1dtOv4Dbs73RHbE",2,2,3,2,25,"sam","non-diagnostic","ND1",23,1,7,5,2.25
"200","R_2uyeK84Lm5TqjbR",3,3,4,2,40,"sam","non-diagnostic","ND1",21,2,7,5,3
"201","R_unb4EVLEkkAZzW1",2,2,2,2,9,"sam","non-diagnostic","ND1",19,2,7,5,2
"202","R_1E5Q3DN0AFcdz0k",3,3,2,2,35,"sam","non-diagnostic","ND1",23,2,4,5,2.5
"203","R_VQIBBx8Tjk8PKJH",4,4,4,4,50,"sam","non-diagnostic","ND1",55,2,7,5,4
"204","R_3s5PaI6xIa0A10v",4,4,5,4,48,"sam","non-diagnostic","ND1",45,2,7,5,4.25
"205","R_1GVXeVHLoAwQg7P",2,3,4,4,29,"sam","non-diagnostic","ND1",20,2,7,2,3.25
"206","R_xm6pNkSuwNUCrfP",3,3,3,3,28,"sam","non-diagnostic","ND1",26,2,7,2,3
"207","R_28I3dR7zEq8Ccjz",4,4,4,2,40,"sam","non-diagnostic","ND1",23,2,7,2,3.5
"208","R_1NTkTX9LC1m4ogh",1,1,4,4,40,"sam","non-diagnostic","ND1",18,2,7,5,2.5
"209","R_3QGaFgASjLkLt92",3,2,4,2,24,"sam","non-diagnostic","ND1",18,2,7,5,2.75
"210","R_3phgp0IhsWOsPWJ",3,4,3,3,60,"sam","non-diagnostic","ND1",21,2,7,5,3.25
"211","R_1pFpgHSrh0sPf4M",1,1,3,2,9,"sam","non-diagnostic","ND1",37,2,7,2,1.75
"212","R_0PaiikDJvJU9aed",3,3,3,2,29,"sam","non-diagnostic","ND1",28,2,5,5,2.75
"213","R_2qFaxwns872s6Wy",3,3,4,3,35,"sam","non-diagnostic","ND1",19,2,7,5,3.25
"214","R_3iJuRybZQj7szum",3,2,4,2,19,"sam","non-diagnostic","ND1",44,2,7,5,2.75
"215","R_Zs3e14QgLFEpAat",5,5,5,4,61,"sam","non-diagnostic","ND1",25,2,1,2,4.75
"216","R_3feltfMCpdds5RZ",4,3,4,3,32,"sam","non-diagnostic","ND1",62,2,3,5,3.5
"217","R_3GsajukJp2h9zGP",4,4,4,4,50,"sam","non-diagnostic","ND1",26,2,7,5,4
"218","R_2QXRRDS90dzSXsL",2,2,4,3,34,"sam","non-diagnostic","ND1",18,2,5,2,2.75
"219","R_1mrwbzlHrZfKYXa",1,1,1,1,3,"sam","non-diagnostic","ND1",47,1,5,2,1
"220","R_1F9zfnH6Bl76HdC",1,1,3,2,17,"sam","non-diagnostic","ND1",19,1,7,5,1.75
"221","R_pyYPZ3ysepzcDzH",2,2,3,2,25,"sam","non-diagnostic","ND1",19,2,7,5,2.25
"222","R_232BPjNDAWLWqQl",2,2,2,2,10,"sam","non-diagnostic","ND1",24,1,6,5,2
"223","R_3Hkoj5q2fKlrBPE",4,5,3,4,69,"sam","non-diagnostic","ND1",22,2,1,2,4
"224","R_1jU7ivSwZS9MMdw",2,2,4,4,30,"sam","non-diagnostic","ND1",23,3,7,5,3
"225","R_2n0QHkjepMc55ex",3,3,4,4,42,"sam","non-diagnostic","ND1",51,1,7,2,3.5
"226","R_2PomEkG8wKGNSXI",4,4,4,4,50,"sam","non-diagnostic","ND1",39,2,7,2,4
"227","R_2e2LpRolZz576iu",1,2,1,2,1,"sam","non-diagnostic","ND1",22,1,7,5,1.5
"228","R_1IW7qPysq8SoMPq",2,2,2,2,10,"sam","non-diagnostic","ND1",58,2,7,5,2
"229","R_UKiMwvZYJSYjI0p",1,1,1,1,0,"sam","non-diagnostic","ND1",21,1,5,5,1
"230","R_s6g9F6vjEgPgEUh",1,1,4,2,5,"sam","non-diagnostic","ND1",31,2,6,5,2
"231","R_ueTso9sM6HsCoCJ",2,3,2,2,26,"sam","non-diagnostic","ND1",19,1,2,5,2.25
"232","R_1OJsyDvfVCOEqsY",3,2,4,1,40,"sam","non-diagnostic","ND1",19,2,7,2,2.5
"233","R_6WGQ9WuidVlGwbD",3,3,4,3,50,"sam","non-diagnostic","ND1",19,2,2,5,3.25
"234","R_cH2GrUoojCaZxC1",3,3,4,3,40,"sam","non-diagnostic","ND1",20,2,2,5,3.25
"235","R_2ePdUBgjSMgAZGH",4,4,3,3,38,"sam","non-diagnostic","ND1",18,2,7,5,3.5
"236","R_1ov8PXGvufzkB3s",3,2,4,3,40,"sam","non-diagnostic","ND1",24,2,6,5,3
"237","R_1QnnxNb4W6Bwu4C",2,2,4,2,15,"sam","non-diagnostic","ND1",21,2,7,2,2.5
"238","R_1dvq2vRsbojOa6L",3,3,4,3,40,"sam","non-diagnostic","ND1",31,4,7,5,3.25
"239","R_32JW6uEp2MZRxCW",2,2,2,2,14,"sam","non-diagnostic","ND1",51,1,7,2,2
"240","R_3QLdlAJCZprSYxk",2,4,4,4,50,"sam","non-diagnostic","ND1",27,2,7,2,3.5
