StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consentQ,age,gender,gender_4_TEXT,S_ND1_R_1,S_ND1_R_2,S_ND1_R_3,S_ND1_R_4,S_ND1_M_1,R_ND2_R_1,R_ND2_R_2,R_ND2_R_3,R_ND2_R_4,R_ND2_M_1,F_M_R_1,F_M_R_2,F_M_R_3,F_M_R_4,F_M_M_1,A_M_R_1,A_M_R_2,A_M_R_3,A_M_R_4,A_M_M_1,attn_chk_1Q,attn_chk_2_Q,S_ND2_R_1,S_ND2_R_2,S_ND2_R_3,S_ND2_R_4,S_ND2_M_1,R_M_R_1,R_M_R_2,R_M_R_3,R_M_R_4,R_M_M_1,F_ND1_R_1,F_ND1_R_2,F_ND1_R_3,F_ND1_R_4,F_ND1_M_1,A_ND2_R_1,A_ND2_R_2,A_ND2_R_3,A_ND2_R_4,A_ND2_M_1,S_M_R_1,S_M_R_2,S_M_R_3,S_M_R_4,S_M_M_1,R_ND1_R_1,R_ND1_R_2,R_ND1_R_3,R_ND1_R_4,R_ND1_M_1,F_ND2_R_1,F_ND2_R_2,F_ND2_R_3,F_ND2_R_4,F_ND2_M_1,A_ND1_R_1,A_ND1_R_2,A_ND1_R_3,A_ND1_R_4,A_ND1_M_1
2022-02-01 10:57:18,2022-02-01 11:01:59,0,100,280,1,2022-02-01 11:01:59,R_2BhMZTu2endXFLO,,,,,anonymous,EN,1,18,2,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,,4,4,5,5,13,,,,,,,,,,,5,6,5,6,9,,,,,,5,5,4,5,10,3,4,4,4,24
2022-02-01 10:58:05,2022-02-01 11:02:03,0,100,237,1,2022-02-01 11:02:03,R_1CjUYQNygqULYxG,,,,,anonymous,EN,1,19,1,,,,,,,,,,,,,,,,,2,2,2,2,19,2,2,,,,,,,,,,,,,,,,,,,,,2,3,4,4,28,1,1,1,3,23,4,4,4,4,46,,,,,
2022-02-01 10:57:58,2022-02-01 11:02:04,0,100,246,1,2022-02-01 11:02:05,R_2wT9YCpn7W4MhUz,,,,,anonymous,EN,1,30,1,,,,,,,,,,,,,,,,,2,2,4,1,15,2,5,4,4,4,4,50,3,3,1,2,28,3,3,6,4,38,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:58:19,2022-02-01 11:02:09,0,100,229,1,2022-02-01 11:02:09,R_2rNoDXoOhs1COP6,,,,,anonymous,EN,1,21,2,,,,,,,,,,,,3,3,3,2,22,,,,,,7,2,,,,,,,,,,,,,,,,2,2,3,2,15,2,2,5,3,27,2,2,1,2,13,,,,,,,,,,
2022-02-01 10:57:12,2022-02-01 11:02:13,0,100,301,1,2022-02-01 11:02:14,R_2ctiTMeueCwjoPv,,,,,anonymous,EN,1,23,1,,,,,,,,,,,,2,2,5,3,19,,,,,,7,4,,,,,,,,,,,,,,,,1,2,2,3,15,2,1,5,3,23,1,1,1,1,9,,,,,,,,,,
2022-02-01 10:58:19,2022-02-01 11:02:17,0,100,237,1,2022-02-01 11:02:17,R_1N4SgZA6gnw9564,,,,,anonymous,EN,1,49,2,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,3,3,2,2,5,,,,,,,,,,,2,2,2,2,10,,,,,,4,5,5,5,72,2,2,4,2,10
2022-02-01 10:58:57,2022-02-01 11:02:19,0,100,202,1,2022-02-01 11:02:20,R_rjrgGBbsEt8EUAV,,,,,anonymous,EN,,20,1,,2,3,2,2,27,,,,,,5,3,5,4,29,,,,,,5,2,,,,,,3,3,5,2,23,,,,,,2,2,6,3,23,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:58:11,2022-02-01 11:02:19,0,100,248,1,2022-02-01 11:02:20,R_1pXLChFhdy1POSJ,,,,,anonymous,EN,1,19,2,,1,1,1,1,1,1,3,1,4,22,4,5,2,1,6,1,1,1,1,0,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:57:03,2022-02-01 11:02:25,0,100,321,1,2022-02-01 11:02:25,R_1jZDBBwhMHTOTM9,,,,,anonymous,EN,1,22,1,,,,,,,,,,,,,,,,,3,3,4,2,30,7,2,3,2,4,2,25,3,3,2,3,30,3,3,4,3,31,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:57:14,2022-02-01 11:02:28,0,100,313,1,2022-02-01 11:02:28,R_1CdMbKoyF0CVm8z,,,,,anonymous,EN,1,39,2,,,,,,,,,,,,,,,,,2,2,4,3,25,7,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,30,4,3,2,3,28,3,3,2,1,20,,,,,
2022-02-01 10:58:55,2022-02-01 11:02:31,0,100,215,1,2022-02-01 11:02:31,R_1dnxejy7XtlHd5w,,,,,anonymous,EN,1,29,2,,,,,,,,,,,,,,,,,1,1,5,1,0,1,2,1,1,3,2,46,1,2,1,3,32,1,4,6,3,23,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:58:48,2022-02-01 11:02:31,0,100,223,1,2022-02-01 11:02:32,R_0pTZcsGybJfQdUZ,,,,,anonymous,EN,1,18,3,,,,,,,,,,,,,,,,,1,1,1,1,8,7,2,,,,,,,,,,,,,,,,,,,,,3,4,2,3,24,1,1,2,1,0,3,2,4,1,23,,,,,
2022-02-01 10:57:51,2022-02-01 11:02:32,0,100,280,1,2022-02-01 11:02:32,R_71fIT5gWzAohdVT,,,,,anonymous,EN,1,18,2,,1,1,3,1,8,1,1,1,1,0,1,2,5,1,9,1,1,1,1,0,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:57:09,2022-02-01 11:02:33,0,100,324,1,2022-02-01 11:02:34,R_s731Qo7xHENDYqt,,,,,anonymous,EN,1,42,2,,,,,,,,,,,,,,,,,2,1,1,1,12,1,2,3,2,2,2,24,3,3,2,3,20,3,3,5,4,35,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:57:12,2022-02-01 11:02:40,0,100,328,1,2022-02-01 11:02:40,R_qVocuE7RbZp09FL,,,,,anonymous,EN,1,23,1,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,1,1,3,1,10,,,,,,,,,,,1,1,4,1,20,,,,,,3,4,4,4,20,2,2,4,2,10
2022-02-01 10:57:43,2022-02-01 11:02:41,0,100,298,1,2022-02-01 11:02:41,R_3Jypi2yZ6KiRlQA,,,,,anonymous,EN,1,21,2,,,,,,,,,,,,,,,,,3,5,4,2,40,7,5,2,3,4,3,30,2,2,1,3,20,5,5,5,4,51,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:58:48,2022-02-01 11:02:43,0,100,234,1,2022-02-01 11:02:43,R_1DLP0DLmpJ7REKM,,,,,anonymous,EN,1,19,2,,,,,,,,,,,,2,2,4,1,10,,,,,,7,2,,,,,,,,,,,,,,,,1,1,1,1,9,1,1,4,1,10,2,1,1,1,11,,,,,,,,,,
2022-02-01 10:57:46,2022-02-01 11:02:51,0,100,304,1,2022-02-01 11:02:52,R_3sc93x9Lx1dr87A,,,,,anonymous,EN,1,43,2,,2,3,5,3,25,,,,,,2,2,4,2,13,,,,,,7,2,,,,,,1,1,1,1,0,,,,,,2,3,6,4,26,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:57:10,2022-02-01 11:02:53,0,100,342,1,2022-02-01 11:02:53,R_3qZKGoUos2irJTk,,,,,anonymous,EN,1,23,2,,,,,,,,,,,,,,,,,1,1,2,1,1,7,5,1,1,4,2,15,2,2,1,2,8,2,1,4,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:59:57,2022-02-01 11:02:56,0,100,178,1,2022-02-01 11:02:57,R_1MVYEWygsjjYuUi,,,,,anonymous,EN,1,27,2,,,,,,,,,,,,,,,,,3,3,3,2,13,7,2,3,4,4,3,14,2,2,2,2,6,2,3,3,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:59:56,2022-02-01 11:02:58,0,100,181,1,2022-02-01 11:02:58,R_3O1X5fc0veE5kRg,,,,,anonymous,EN,1,25,1,,,,,,,,,,,,1,1,1,1,0,,,,,,2,2,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,0,1,1,2,1,0,,,,,,,,,,
2022-02-01 10:58:40,2022-02-01 11:02:58,0,100,257,1,2022-02-01 11:02:58,R_UhwSe3QCnhIZVgR,,,,,anonymous,EN,1,19,1,,1,2,4,5,5,,,,,,3,4,2,5,30,,,,,,7,5,,,,,,1,3,7,4,11,,,,,,1,2,4,6,13,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:57:09,2022-02-01 11:03:00,0,100,350,1,2022-02-01 11:03:01,R_3NxpX8mpVRXVGeD,,,,,anonymous,EN,1,19,2,,,,,,,,,,,,4,5,5,5,50,,,,,,7,2,,,,,,,,,,,,,,,,2,2,4,2,14,3,3,3,4,30,4,3,2,2,30,,,,,,,,,,
2022-02-01 10:59:04,2022-02-01 11:03:05,0,100,240,1,2022-02-01 11:03:06,R_3GANMJBV8H3rnuz,,,,,anonymous,EN,1,19,2,,1,2,4,2,10,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:58:35,2022-02-01 11:03:05,0,100,270,1,2022-02-01 11:03:06,R_32PxGG5eD0x01TC,,,,,anonymous,EN,1,20,1,,2,2,2,2,15,2,2,1,2,14,3,3,4,2,25,1,1,1,1,0,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:58:49,2022-02-01 11:03:11,0,100,262,1,2022-02-01 11:03:11,R_9uz4MJIsnh3jrQR,,,,,anonymous,EN,1,25,2,,2,2,4,2,31,,,,,,4,4,7,3,31,,,,,,1,2,,,,,,1,1,1,1,9,,,,,,4,1,3,3,29,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:56:59,2022-02-01 11:03:14,0,100,374,1,2022-02-01 11:03:14,R_115tFFwTvBaHTwP,,,,,anonymous,EN,1,25,1,,,,,,,,,,,,,,,,,1,1,1,1,0,7,5,,,,,,,,,,,,,,,,,,,,,3,2,5,4,62,2,3,1,2,22,3,3,5,3,37,,,,,
2022-02-01 10:57:37,2022-02-01 11:03:18,0,100,340,1,2022-02-01 11:03:18,R_3FXazjeb7Z2uGXe,,,,,anonymous,EN,1,21,1,,,,,,,,,,,,,,,,,2,2,2,1,10,7,2,2,2,4,1,20,3,2,1,1,10,3,2,2,2,20,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 11:00:00,2022-02-01 11:03:38,0,100,217,1,2022-02-01 11:03:38,R_czN6Qigc97HtlZL,,,,,anonymous,EN,1,24,2,,1,2,5,3,31,3,5,2,3,33,1,3,5,4,24,2,2,3,5,34,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:57:10,2022-02-01 11:03:44,0,100,393,1,2022-02-01 11:03:44,R_232B5oMDbPTbj2g,,,,,anonymous,EN,1,18,1,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,3,2,2,2,12,,,,,,,,,,,3,2,3,2,12,,,,,,4,4,5,3,39,2,2,3,2,12
2022-02-01 10:57:47,2022-02-01 11:03:48,0,100,361,1,2022-02-01 11:03:48,R_2YG29dlgKspbG2x,,,,,anonymous,EN,1,47,2,,,,,,,,,,,,,,,,,3,4,4,3,35,7,5,,,,,,,,,,,,,,,,,,,,,4,3,3,4,35,4,4,3,3,35,4,3,4,4,45,,,,,
2022-02-01 10:57:16,2022-02-01 11:03:56,0,100,400,1,2022-02-01 11:03:56,R_1gNGE5ykgUEDWcY,,,,,anonymous,EN,1,20,2,,3,3,4,3,36,3,3,2,3,20,1,1,4,3,29,3,3,4,3,38,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 11:00:27,2022-02-01 11:03:56,0,100,209,1,2022-02-01 11:03:56,R_vUp0wWKzEDv6He1,,,,,anonymous,EN,1,19,2,,3,3,3,3,41,3,4,1,2,29,3,3,3,3,39,3,3,4,3,44,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:58:36,2022-02-01 11:04:04,0,100,328,1,2022-02-01 11:04:04,R_2QsSsjzBbGMCybw,,,,,anonymous,EN,1,20,2,,,,,,,,,,,,,,,,,2,1,2,2,11,7,2,1,1,4,1,0,1,1,1,1,0,3,1,3,1,19,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:58:48,2022-02-01 11:04:06,0,100,317,1,2022-02-01 11:04:06,R_2S8rAN0PzPc3HTN,,,,,anonymous,EN,1,20,2,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,3,3,2,2,30,,,,,,,,,,,2,2,4,3,33,,,,,,4,4,4,4,50,4,4,5,4,50
2022-02-01 10:57:05,2022-02-01 11:04:09,0,100,424,1,2022-02-01 11:04:09,R_2zH1eIrVDZOwvz9,,,,,anonymous,EN,1,19,3,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,1,1,1,1,0,,,,,,,,,,,1,1,2,1,7,,,,,,4,4,5,4,50,1,1,2,1,5
2022-02-01 11:01:23,2022-02-01 11:04:27,0,100,183,1,2022-02-01 11:04:27,R_24c1FvMygBLZIw8,,,,,anonymous,EN,1,23,2,,3,4,4,3,59,3,2,1,2,70,3,4,4,4,69,2,1,3,2,72,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:57:16,2022-02-01 11:04:27,0,100,431,1,2022-02-01 11:04:27,R_wX0JrOvaLhU7ldf,,,,,anonymous,EN,1,21,2,,,,,,,,,,,,,,,,,1,1,4,1,5,7,2,2,2,4,3,11,1,1,1,1,11,1,1,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:59:53,2022-02-01 11:04:35,0,100,281,1,2022-02-01 11:04:36,R_1IY1CybCxSVfqkF,,,,,anonymous,EN,1,21,2,,,,,,,,,,,,,,,,,1,1,3,1,10,7,5,2,2,3,2,19,2,2,1,2,12,3,3,4,3,30,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:58:55,2022-02-01 11:04:35,0,100,340,1,2022-02-01 11:04:36,R_72SNUy2aZuQPReh,,,,,anonymous,EN,1,20,2,,2,2,3,3,2,1,2,1,1,4,2,3,4,2,5,2,2,3,2,3,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:57:15,2022-02-01 11:04:40,0,100,445,1,2022-02-01 11:04:41,R_3emEF4IvUOV9WBb,,,,,anonymous,EN,1,28,2,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,1,2,1,1,14,,,,,,,,,,,1,1,4,4,24,,,,,,2,3,5,4,37,1,1,5,4,7
2022-02-01 10:57:27,2022-02-01 11:04:42,0,100,435,1,2022-02-01 11:04:43,R_3k7KfvBjU8AH8l8,,,,,anonymous,EN,1,38,2,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,3,4,2,2,35,,,,,,,,,,,4,4,4,4,35,,,,,,3,2,1,1,50,3,3,4,3,35
2022-02-01 10:58:09,2022-02-01 11:04:51,0,100,402,1,2022-02-01 11:04:52,R_26gVT5rK8ov5wp6,,,,,anonymous,EN,1,20,2,,,,,,,,,,,,3,4,6,4,43,,,,,,7,5,,,,,,,,,,,,,,,,2,2,5,3,28,4,3,5,5,42,4,2,3,4,39,,,,,,,,,,
2022-02-01 10:57:09,2022-02-01 11:05:10,0,100,481,1,2022-02-01 11:05:11,R_1gthlB8EgozM7ZB,,,,,anonymous,EN,1,56,1,,,,,,,,,,,,,,,,,2,2,5,2,8,1,2,,,,,,,,,,,,,,,,,,,,,2,2,1,2,7,2,2,2,2,9,4,4,6,6,54,,,,,
2022-02-01 10:59:08,2022-02-01 11:05:12,0,100,363,1,2022-02-01 11:05:12,R_3NUbNzcMUisg8ud,,,,,anonymous,EN,1,34,2,,,,,,,,,,,,,,,,,4,4,5,4,43,2,5,3,3,4,3,35,4,4,3,4,50,3,3,5,3,40,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:57:26,2022-02-01 11:05:19,0,100,472,1,2022-02-01 11:05:19,R_1n8BBA0fBhClX73,,,,,anonymous,EN,1,22,1,,4,4,4,3,47,,,,,,3,3,3,1,42,,,,,,7,5,,,,,,3,3,2,3,45,,,,,,4,4,4,4,49,,,,,,,,,,,,,,,,,,,,
2022-02-01 11:00:29,2022-02-01 11:05:21,0,100,291,1,2022-02-01 11:05:23,R_3iOTTwFh7Jr0gMs,,,,,anonymous,EN,1,20,1,,,,,,,,,,,,1,2,5,4,28,,,,,,7,2,,,,,,,,,,,,,,,,2,2,4,2,19,2,2,3,3,22,2,1,1,1,14,,,,,,,,,,
2022-02-01 10:59:50,2022-02-01 11:05:49,0,100,358,1,2022-02-01 11:05:49,R_3QDJk5NXE4jleMt,,,,,anonymous,EN,1,18,1,,3,3,3,3,35,,,,,,2,3,3,3,30,,,,,,6,2,,,,,,2,3,2,3,22,,,,,,2,3,2,2,18,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:58:44,2022-02-01 11:06:00,0,100,436,1,2022-02-01 11:06:00,R_2SeRzoT13seY90C,,,,,anonymous,EN,1,18,1,,,,,,,,,,,,3,3,4,4,40,,,,,,3,2,,,,,,,,,,,,,,,,2,2,3,2,20,2,3,2,3,30,2,1,1,2,5,,,,,,,,,,
2022-02-01 10:59:54,2022-02-01 11:06:14,0,100,380,1,2022-02-01 11:06:14,R_27VtWpPnu7kfXnv,,,,,anonymous,EN,1,28,1,,,,,,,,,,,,,,,,,1,1,3,1,0,7,5,,,,,,,,,,,,,,,,,,,,,3,1,4,1,0,1,1,1,1,0,1,1,4,1,0,,,,,
2022-02-01 11:02:42,2022-02-01 11:06:34,0,100,231,1,2022-02-01 11:06:34,R_3D1MzU6kDixR5zo,,,,,anonymous,EN,1,21,2,,1,2,1,3,21,2,1,2,3,24,2,3,4,4,28,1,1,3,2,21,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 11:01:26,2022-02-01 11:06:35,0,100,308,1,2022-02-01 11:06:35,R_1nZzAd0VsA2AwcC,,,,,anonymous,EN,1,40,1,,,,,,,,,,,,4,4,4,1,50,,,,,,7,2,,,,,,,,,,,,,,,,1,1,1,1,0,4,4,4,1,32,1,1,1,1,20,,,,,,,,,,
